DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011
4595936;1;3;1;70;2;8;48;1; ;2;8;1; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;00;79;18;1;1;04;1810;05;704,661264631263
4595964;1;3;1;70;2;29;48;1; ;2;52;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;39;39;85;1;2;04;8511;05;3313,72108052071
4595965;1;3;1;70;2;24;24;3; ;2;144;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;54;54;95;1;2;04;9500;05;3313,72108052071
4595965;1;4;1;70;2;96;48;1; ;2;120;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;782000;2; ;45;53;55;1;2;04;5521;05;3313,72108052071
4595965;1;5;1;70;2;20;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;782000; ; ;45; ; ;1;2;04; ;05;3313,72108052071
4595998;1;3;1;70;2;4;48;1; ;2;4;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;1;860000;800000;2; ;45;39;51;1;1;04;5125;05;8552,24679948363
4596024;1;2;1;70;2;8;40;3; ;2;8;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;54;54;95;1;1;04;9500;54;877,884085766952
4596024;1;3;1;70;2;36;45;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;600000; ; ;03; ; ;1;2;04; ;54;877,884085766952
4596082;1;1;1;70;2;4;48;1; ;2;4;8; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;58;62;01;1;1;04;0121;05;5297,46398689402
4597108;1;3;1;70;2;8;40;1; ;2;8;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;62;95;45;1;1;04;4521;20;848,50378762107
4597111;1;1;1;70;2;16;40;1; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;58;41;52;1;2;04;5225;20;1467,03234165035
4597215;1;2;1;70;2;10;48;1; ;2;10;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;97;90;25;1;1;04;2529;76;2424,1943242111
4597216;2;2;2;70;2;17;24;3; ;2;17;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;54;53;74;1;2;04;7499;76;3285,1401066636
4597222;1;2;1;70;2;2;48;1; ;2;2;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;781242;781242;2; ;97;97;24;1;1;04;2424;76;4048,05943352238
4597245;1;2;1;70;2;2;40;4; ;2;3;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;1100000;800000;2; ;59;59;85;1;1;04;8532;76;2394,52238020118
4598513;1;5;1;70;2;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;400000; ; ;45; ; ;1;1;04; ;23;2249,72743872829
4598518;1;2;1;70;2;52;36;4; ;2;104;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;57;54;95;1;2;04;9500;23;7108,26358410333
4598523;1;3;1;70;2;4;48;8; ;2;4;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;500000;2; ;62;62;01;1;1;04;0121;23;4841,88919207108
4598527;1;2;1;70;2;52;40;3; ;2;416;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;54;54;95;1;2;04;9500;23;7308,97408570783
4598593;1;3;1;70;2;13;48;1; ;2;13;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;90;25;1;1;04;2529;17;386,71641932439
4598596;1;3;1;70;2;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;97; ; ;1;1;04; ;17;386,71641932439
4598615;1;1;1;70;2;6;48;1; ;2;4;1; ;5;2;1; ; ;1; ; ; ; ; ; ; ; ;1;782000;781242;1;2;77;77;15;1;1;04;1551;17;791,14963915303
4598655;1;2;1;70;2;14;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;54; ; ;1;2;04; ;17;788,327049650915
4598672;1;1;1;70;2;8;48;3; ;2;8;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;54;62;01;1;1;04;0116;17;756,969282133884
4598694;1;2;1;70;2;52;22;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;200000; ; ;53; ; ;1;2;04; ;17;988,534932965978
4598696;1;4;1;70;2;36;48;1; ;2;36;1; ;8;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;95;95;45;1;2;04;4530;17;704,661264631263
4598701;1;2;1;70;2;28;48;1; ;2;30;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;39;51;1;2;04;5155;17;704,661264631263
4601474;1;1;1;70;2;2;30;3; ;2;12;1; ;2;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;300000;2; ;54;45;52;1;1;04;5233;52;1038,25930640876
4601488;1;1;1;70;2;48;24;1; ;2;240;1; ;4;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;300000;2; ;45;45;52;1;2;04;5233;52;1801,68245503459
4601498;1;2;1;70;2;4;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;39; ; ;1;1;04; ;52;2045,0464428979
4601543;1;2;1;70;2;156;30;3; ;2;17;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;200000;2; ;54;62;01;1;2;04;0121;52;2219,20710356794
4601559;1;3;1;70;2;8;48;1; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;37;95;45;1;1;04;4521;52;1894,45063222871
