DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4586014;1;3;1;70;05;208;48;1; ;2;68;1; ;6;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;1300000;1;1;19;39;45;1;2;4521;04;05;1200,36221936745
4586034;1;1;1;70;05;6;48;1; ;2;6;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;95;95;45;1;1;4522;04;05;659,563544693094
4586039;1;2;1;70;05;52;48;4; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;98;98;60;1;2;6031;04;05;1105,33361729142
4586039;1;3;1;70;05;25;48;1; ;2;25;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;54;99;90;1;2;9000;04;05;1105,33361729142
4586042;1;1;1;70;05;12;24;1; ;2;104;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;33;45;55;1;1;5521;04;05;1352,79818406585
4586044;1;2;1;70;05;104;48;1; ;2;36;1; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;55;97;19;1;2;1939;04;05;1061,69435327316
4586046;1;2;1;70;05;2;48;1; ;2;23;1; ;9;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;19;19;64;1;1;6421;04;05;877,229741143799
4586047;1;2;1;70;05;4;48;1; ;2;12;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;33;17;92;1;1;9213;04;05;851,821043290687
4586058;1;3;1;70;05;104;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;57; ; ;1;2; ;04;05;1130,86094839703
4586059;1;1;1;70;05;104;48;1; ;2;104;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;98;98;60;1;2;6021;04;05;1149,54482366122
4586062;1;3;1;70;05;2;48;1; ;2;12;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;97;97;52;1;1;5211;04;05;988,752109766518
4586062;1;4;1;70;05;48;48;4; ;2;48;3; ;1;2;1; ; ;1; ; ; ; ; ; ; ; ;1;20000;781242;1;2;79;54;95;1;2;9500;04;05;988,752109766518
4586066;1;1;1;70;05;16;48;1; ;2;24;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;53;55;1;2;5529;04;05;1428,41844789929
4586066;1;2;1;70;05;12;48;1; ;2;12;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;55;59;52;1;1;5233;04;05;1428,41844789929
4586067;1;3;1;70;05;8;30;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;39; ; ;1;1; ;04;05;811,620816226524
4586069;1;2;1;70;05;13;48;1; ;2;12;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;1;5233;04;05;1429,91285255935
4586073;1;2;1;70;05;24;48;1; ;2;104;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2500000;1;1;84;84;50;1;2;5040;04;05;1367,70641094727
4586079;1;1;1;70;05;32;48;1; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;781242;2; ;53;41;52;1;2;5223;04;05;791,897106022726
4586080;1;2;1;70;05;4;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;54;54;01;1;1;0140;04;05;1626,28620347366
4586093;1;2;1;70;05;12;40;4; ;2;20;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;79;18;1;1;1810;04;05;1205,36664661832
4586094;1;2;1;70;05;5;48;1; ;2;108;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;1;5211;04;05;1139,75772170105
4586101;1;2;1;70;05;4;48;4; ;2;12;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;54;54;74;1;1;7493;04;05;899,471286614585
4586110;1;4;1;70;05;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;45; ; ;1;2; ;04;05;886,627585901104
4586112;1;3;1;70;05;52;48;1; ;2;24;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;45;95;45;1;2;4530;04;05;1142,92487408338
4586112;1;4;1;70;05;156;48;1; ;2;20;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;45;45;52;1;2;5233;04;05;1142,92487408338
4586114;1;2;1;70;05;8;48;1; ;2;20;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781000;2; ;95;95;45;1;1;4521;04;05;1185,91356036489
4586125;1;4;1;70;05;3;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;45; ; ;1;1; ;04;05;704,046635634665
4586141;1;2;1;70;05;16;48;1; ;2;16;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;33;45;52;1;2;5233;04;05;987,321757002645
4586142;1;3;1;70;05;12;48;1; ;2;12;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;07;07;85;1;1;8512;04;05;1120,30463544762
4586150;1;1;1;70;05;4;48;2; ;2;64;1; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;13;21;80;1;1;8011;04;05;990,879427209239
4586153;1;3;1;70;05;104;48;1; ;2;156;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;55;57;93;1;2;9302;04;05;793,327458786598
4586157;1;1;1;70;05;20;48;1; ;2;24;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1100000;2; ;45;45;51;1;2;5139;04;05;1182,74640798257
4586172;1;4;1;70;08;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781000; ; ;59; ; ;1;1; ;04;08;427,847698887357
4586175;1;8;1;70;08;16;48;1; ;2;16;1; ;5;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;84;85;50;1;2;5020;04;08;583,957476705443
4586182;1;2;1;70;08;16;48;1; ;2;18;1; ;9;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;1800000;2; ;13;13;80;1;2;8050;04;08;497,671532992403
4586189;1;3;1;70;08;40;48;1; ;2;44;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;33;33;15;1;2;1589;04;08;545,442024032601
4586198;1;3;1;70;13;54;48;1; ;2;54;4; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1250000;2; ;19;41;52;1;2;5211;04;13;380,619799321785
4586201;1;4;1;70;13;16;40;1; ;2;16;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;15;15;75;1;2;7512;04;13;389,107046765938
4586303;1;3;1;70;17;4;48;1; ;2;7;1; ;9;2;2; ; ; ; ; ; ; ; ;1;ESTUDIAR; ;2; ;781242;2; ;45;45;52;1;1;5233;04;17;117,623094977843
4586304;1;4;1;70;17;4;48;1; ;2;5;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;1;1500000;900000;2; ;45;45;36;1;1;3611;04;17;253,39705026636
4586306;1;1;1;70;17;46;48;1; ;2;52;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;03;03;72;1;2;7220;04;17;180,344404603582
4586315;1;1;1;70;17;54;48;1; ;2;54;2; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;21;21;65;1;2;6512;04;17;230,46453128231
4586317;1;4;1;70;17;34;48;1; ;2;34;1; ;9;2;1; ; ; ; ; ; ; ; ;1;ESTUDIAR; ;2; ;1500000;1;1;02;02;29;1;2;2919;04;17;122,014414117914
4586318;1;2;1;70;17;158;48;1; ;2;158;1; ;9;2;1; ; ; ; ; ; ; ; ;1;BUSCANDO EMPLEO; ;2; ;1500000;2; ;02;02;02;1;2;0201;04;17;193,488977616103
4586323;1;1;1;70;17;4;48;1; ;2;4;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;1;4500000;4000000;1;2;06;06;74;1;1;7499;04;17;138,89336684858
4586324;1;3;1;70;17;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;700000;781242;2; ;84;39;19;1;1;1929;04;17;180,293385292999
4586325;1;2;1;70;17;208;48;1; ;2;208;1; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;2;5235;04;17;193,488977616103
4586326;1;2;1;70;17;3;48;1; ;2;3;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;1;720000;781242;2; ;37;95;45;1;1;4552;04;17;131,598862835155
4586333;1;1;1;70;17;3;48;1; ;2;3;1; ;3;2;1; ; ;1; ; ; ; ; ; ; ; ;1;1100000;781242;1;1;37;59;74;1;1;7493;04;17;180,623873161275
