DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;CLASE;DPTO;ORDEN;AREA;fex_c_2011
525523;1;4;2;1;1;1;1;1;4;3; ; ; ; ;280000;1;1;1;1;1;1;1;2;1;2;1;1;1;1;2;2;2;1;1;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;1;05;1;05;1018,8135035924
525528;1;5;1;1;1;1;1;1;1;4; ; ; ;600000; ;1;1;1;2;1;1;1;1;1;2;1;2;1;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;4;2;1;01;1;05;1;05;746,699303735301
525529;1;7;2;1;1;1;1;1;4;1; ; ;90000000;400000; ;1;2;2;1;1;1;1;1;2;2;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;1;05;1;05;750,599510890722
525530;1;4;1;1;1;1;1;1;4;2; ;300000;40000000;200000; ;1;1;2;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;1;05;1;05;769,932588527601
525531;1;3;2;1;1;1;1;1;1;3; ; ; ; ;150000;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;803,067388034289
525532;1;4;2;1;1;1;1;1;4;3; ; ; ; ;200000;1;1;2;1;1;1;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;1065,37111433288
525533;1;2;1;1;1;1;1;1;1;4; ; ; ;150000; ;2;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;754,606198819736
525534;1;4;2;1;1;1;1;1;3;3; ; ; ; ;200000;1;2;2;1;1;1;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;787,013614258161
525535;1;5;2;1;1;1;1;1;3;4; ; ; ;650000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;2;1;2;1;4;1;1;1;1;1;4;2;1;01;1;05;1;05;967,716280391883
525536;1;2;1;1;1;1;1;1;1;3; ; ; ; ;110000;1;2;2;1;1;1;1;2;2;1;1;1;1;2;2;2;2;1;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;750,599510890722
525537;1;2;1;1;1;1;1;1;1;3; ; ; ; ;110000;1;2;1;1;1;1;1;2;1;2;1;2;2;1;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;698,695964389353
525538;1;4;2;1;1;1;1;1;4;1; ; ;25000000;170000; ;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;1;05;1;05;961,564021330142
525542;1;5;3;1;1;1;1;1;4;1; ; ;68000000;500000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;2;1;1;1;4;1;2;1;1;1;4;2;1;01;1;05;1;05;3091,45964787138
525543;1;5;3;1;1;1;1;1;3;2; ;400000;45000000;500000; ;1;1;2;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;1;2;2;1;1;1;4;1;1;1;1;1;4;2;1;01;1;05;1;05;2840,95235133409
525544;1;5;3;1;1;1;1;1;1;1; ; ;100000;700000; ;1;1;2;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;4;2;1;01;1;05;1;05;3091,45964787138
525545;1;5;1;1;1;1;1;1;1;3; ; ; ; ;400000;1;1;1;1;1;1;1;1;2;1;1;2;1;1;2;2;2;2;2;1;1;1;2;1;4;1;2;1;1;1;4;2;1;01;1;05;1;05;2872,11616810493
525546;1;5;1;1;1;1;1;1;3;1; ; ;98000000;650000; ;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;1;2;1;2;1;4;1;1;1;1;1;4;2;1;01;1;05;1;05;838,964273293867
525548;1;5;3;1;1;1;1;1;3;3; ; ; ; ;650000;1;1;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;4;2;1;01;1;05;1;05;746,699303735301
525550;1;5;1;1;1;1;1;1;1;2; ;300000;90000000;650000; ;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;4;2;1;01;1;05;1;05;718,029042026232
525551;1;5;3;1;1;1;1;1;3;3; ; ; ; ;650000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;2;1;2;1;4;1;1;1;1;1;4;2;1;01;1;05;1;05;758,241427179471
