DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6050;P6060;P6060S1;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6180;P6180S1;P6180S2;P6190;P6190S1;P6200;P6200S1;P6210;P6210S1;P6220;P6177S1;P6040;DPTO;fex_c_2011
525523;1;1;05;10;1;2;1;3;1965;1;2; ;3;1; ; ;1;1;28000;2;1;2; ; ; ; ; ; ; ; ;6;3;3; ;42;05;1018,8135035924
525523;1;2;05;10;2;2;1;6;1989;3;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;6;0;2; ;18;05;1018,8135035924
525523;1;3;05;10;1;2;1;3;2000;3;2; ; ;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;3;1; ; ;7;05;1018,8135035924
525523;1;4;05;10;4;2;1;5;1986;3;2; ;6;1; ; ;1;5; ;2;1;1;1;2; ; ;1;2223000;2; ;6;5;2; ;21;05;1018,8135035924
525523;1;5;05;10;5;1;1;4;1982;5;2; ;6;1; ; ;1;1;33520;2;1;2; ; ; ; ;2; ;2; ;6;3;3; ;25;05;1018,8135035924
525523;1;6;05;10;6;1;1;7;1944;5;2; ;3;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;4;8; ; ;63;05;1018,8135035924
525528;1;1;05;10;1;2;1;1;1929;1;2; ;5;1; ; ;1;2;54200;2;1;2; ; ; ; ; ; ; ; ;6;5;4; ;78;05;746,699303735301
525529;1;1;05;10;1;1;1;5;1979;1;2; ;5;1; ; ;1;1;17320;2;1;1;1;2; ; ;1;900000;2; ;6;1;2; ;28;05;750,599510890722
525529;1;2;05;10;2;2;1;6;1982;5;2; ;5;1; ; ;1;1;17320;2;1;1;1;2; ; ;2; ;2; ;6;3;2; ;25;05;750,599510890722
525529;1;3;05;10;2;1;1;12;2002;5;2; ; ;1; ; ;1;5; ;2;2;1;1;1;1000;20000;2; ;2; ;2;0; ; ;4;05;750,599510890722
525530;1;1;05;10;1;1;1;6;1968;1;2; ;6;1; ; ;1;1;32800;2;1;2; ; ; ; ; ; ; ; ;6;2;3; ;39;05;769,932588527601
525530;1;2;05;10;2;2;1;10;1970;2;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;37;05;769,932588527601
525531;1;1;05;10;1;1;1;5;1971;1;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;36;05;803,067388034289
525531;1;2;05;10;2;2;1;12;1967;2;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;39;05;803,067388034289
525531;1;3;05;10;1;2;1;8;2000;3;2; ; ;1; ; ;3; ; ;2;1;1;1;1;200;2000;2; ;2; ;2;1; ; ;7;05;803,067388034289
525532;1;1;05;10;1;1;1;5;1931;1;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ; ;76;05;1065,37111433288
525532;1;2;05;10;2;2;1;8;1938;2;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ; ;69;05;1065,37111433288
525532;1;3;05;10;3;1;1;12;1965;3;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;41;05;1065,37111433288
525532;1;4;05;10;4;1;1;12;1967;3;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;39;05;1065,37111433288
525532;1;5;05;10;2;1;1;9;1989;4;2; ;5;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;6;0;2; ;18;05;1065,37111433288
525533;1;1;05;10;1;1;1;5;1985;1;2; ;1;1; ; ;1;1;17320;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;22;05;754,606198819736
525533;1;2;05;10;2;2;1;8;1988;2;2; ;1;1; ; ;1;1;17320;2;1;2; ; ; ; ;2; ;2; ;4;8; ; ;19;05;754,606198819736
