DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7250;P7260;P7280;P7280S1;P7290;P7300;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P7424;P7424S1;CLASE;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DSI;DPTO;fex_c_2011
542490;1;3;70;3;48;3; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;25;2795,07712712019
542506;1;1;70;16;48;1; ;2;2;2;16;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3360000;2;95;95;4521;45;1;25;2701,17501308793
542508;1;3;70;24;48;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;25;3243,82954550264
542514;1;2;70;6;48;1; ;2;2;2;24;2; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;53;8012;80;1;25;3079,72032698729
542520;1;2;70;8;48;1; ;1;1;2;336;1; ;6;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;0116;01;1;25;2385,36943986735
542533;1;3;70;6;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;97; ; ; ;1;25;2486,73891770391
542540;1;2;70;16;48;1; ;1;1;2;2;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;40000;2; ;2;91;54;9500;95;1;25;2486,73891770391
542544;1;5;70;12;48;1; ;2;2;2;52;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;87;99;5020;50;1;25;2245,2202473475
542817;1;2;70;24;60;2; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;58; ; ; ;1;17;1047,41718777963
542828;1;2;70;8;48;1; ;1;1;2;9;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;500000;2;45;45;5211;52;1;17;653,414327465343
542840;1;1;70;36;48;3; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;17;1012,33658020025
542845;1;3;70;5;30;3; ;1;1;2;10;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;140000;2;54;54;9500;95;1;17;433,509563213594
542875;1;4;70;3;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;17;1499,84022261477
542889;1;3;70;2;50;8; ;1;1;2;2;8; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;36000;1;450000;2;62;62;0121;01;1;17;1259,11305543848
542897;1;4;70;2;48;3; ;1;1;2;2;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;120000;2; ;2;54;54;9500;95;1;17;785,530410262199
542926;1;2;70;48;40;3; ;1;1;2;48;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;17;649,569460275941
543327;1;7;70;2;48;8; ;1;1;2;1;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;100000;1;600000;2;62;62;0111;01;1;19;1164,77883535741
543327;1;8;70;3;48;8; ;1;1;2;2;3; ;2;6; ; ; ; ; ; ; ; ; ;1; ;1;120000;1;320000;2;62;54;9500;95;1;19;1164,77883535741
543333;1;2;70;1;40;2; ;1;1;2;1;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;155000;2;55;54;9500;95;1;19;2120,80032866987
543333;1;3;70;1;48;8; ;1;1;2;1;8; ;3;6; ; ; ; ; ; ; ; ; ;1; ;1;80000;1;750000;2;62;62;0115;01;1;19;2120,80032866987
543353;1;3;70;8;48;1; ;2;2;2;86;1; ;2;1; ; ; ; ; ; ; ; ;1; ;NO LO HA CONSIDERADO;2; ;2; ;2;54;54;9500;95;1;19;1571,38686774868
543383;1;4;70;52;40;4; ;2;2;2;108;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;97;98;6021;60;1;19;758,769070533953
543387;1;2;70;8;48;3; ;2;1;2;156;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;19;3035,07628213581
543389;1;2;70;8;50;1; ;1;1;2;60;1; ;2;1; ; ; ; ; ; ; ; ;1; ;NO LO HA CONSIDERADO;2; ;2; ;2;54;54;8532;85;1;19;3035,07628213581
543850;1;2;70;1;20;4; ;1;1;2;216;3; ;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;2;79;54;9500;95;1;23;2106,31138527926
543858;1;1;70;12;48;1; ;1;1;2;12;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1000000;2;95;98;6031;60;1;23;2473,40265113795
544942;1;1;70;8;48;1; ;1;1;2;12;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3150000;2;45;45;5244;52;1;73;1883,69555138964
544946;1;1;70;4;60;8; ;1;1;2;4;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;2;62;62;0118;01;1;73;1619,96897555668
544960;1;4;70;8;60;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;73;2148,4719187342
544994;1;1;70;4;56;1; ;1;1;2;5;8; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;48000;1;800000;2;95;62;0115;01;1;73;1921,4295248207
545034;1;3;70;4;60;8; ;1;1;2;4;8; ;4;4; ; ; ; ; ; ; ; ; ;1; ;1;60000;1;500000;2;62;62;0115;01;1;73;5028,56175143096
545034;1;4;70;4;60;8; ;1;1;2;4;8; ;4;6; ; ; ; ; ; ; ; ;1; ;ESTUDIANDO;2; ;1;900000;2;62;62;0115;01;1;73;5028,56175143096
545034;1;7;70;2;60;8; ;1;1;2;2;8; ;4;6; ; ; ; ; ; ; ; ; ;1; ;1;360000;1;3600000;2;62;62;0115;01;1;73;5028,56175143096
545035;1;1;70;3;48;1; ;1;1;2;3;9;SUBCONTRATISTA;8;1; ; ; ; ; ; ; ; ; ;1; ;1;40000;1;700000;2;95;99;7512;75;1;73;3384,86459735276
545035;1;4;70;4;60;1; ;1;1;2;3;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;1;600000;2;58;62;0117;01;1;73;3384,86459735276
545050;1;2;70;48;48;4; ;1;1;2;312;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;40000;1;200000;2;56;54;9500;95;1;73;1770,76523450057
545080;1;2;70;6;48;3; ;1;1;2;4;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;20000;1;350000;2;56;56;9500;95;1;73;1846,3370215584
545130;1;1;70;24;40;1; ;1;1;2;24;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;300000;2;60;62;0115;01;1;73;2806,64520399399
545136;1;3;70;16;20;8; ;1;1;2;16;8; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;100000;2;62;62;0121;01;1;73;1660,8879898229
545349;1;3;70;10;50;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;17;800,581520652292
545606;1;1;70;104;56;3; ;1;1;2;104;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;77;1551;15;1;13;2064,3993667773
545609;1;3;70;52;56;1; ;1;1;2;77;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;58;45;5211;52;1;13;1515,85597270252
545618;1;2;70;208;48;1; ;1;1;2;312;2; ;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;2;55;58;7512;75;1;13;1103,09963334382
545619;1;1;70;12;48;1; ;1;1;2;12;1; ;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;1;1440000;2;62;62;0118;01;1;13;2835,36661504149
545619;1;7;70;16;48;1; ;1;1;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1500000;2;98;98;6031;60;1;13;2835,36661504149
545630;1;5;70;20;48;3; ;1;1;2;364;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;13;2220,85111779756
545654;1;1;70;104;42;1; ;1;1;2;124;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;64;64;0501;05;1;13;1845,14996048087
545660;1;3;70;14;56;8; ;1;1;2;13;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1750000;2;62;62;0116;01;1;13;2078,22567408584
545660;1;4;70;36;70;8; ;1;1;2;13;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1860000;2;62;62;0118;01;1;13;2078,22567408584
545687;1;2;70;4;48;2; ;1;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;00; ; ; ;1;13;1053,4464852881
545687;1;4;70;12;40;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;19; ; ; ;1;13;1053,4464852881
545690;1;3;70;4;56;3; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;13;1753,07561290006
545690;1;4;70;20;40;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;00; ; ; ;1;13;1753,07561290006
545736;1;2;70;4;10;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;39; ; ; ;1;13;2205,22654815691
545741;1;1;70;60;24;1; ;1;1;2;60;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;55;64;0501;05;1;13;2295,51505727214
545741;1;3;70;100;40;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;13;2295,51505727214
545937;1;4;70;2;50;3; ;1;1;2;2;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1100000;2;54;54;9500;95;1;18;263,718106434003
545963;1;3;70;24;48;8; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;18;243,496429911625
545965;1;1;70;3;60;3; ;1;1;2;3;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;100000;1;1000000;2;54;54;9500;95;1;18;134,397085258044
545979;1;1;70;4;40;4; ;1;1;2;4;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;4000000;2;61;61;0121;01;1;18;286,784928720649
546018;1;2;70;4;40;3; ;1;1;2;12;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;18;1216,65306539971
546174;1;2;70;10;70;8; ;1;1;2;3;8; ;2;4; ; ; ; ; ; ;1; ; ; ; ;1;300000;1;1250000;2;62;62;0118;01;1;18;226,750915697845
546181;1;1;70;72;72;8; ;1;1;2;48;5; ;2;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;50;5511;55;1;18;308,570481521789
546218;1;1;70;4;72;8; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;18;285,998423592344
546247;1;2;70;20;50;3; ;1;1;2;40;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;120000;2;54;54;9500;95;1;18;245,73351720593
546267;1;3;70;15;50;3; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;18;351,942684878891
546330;1;3;70;2;48;4; ;1;1;2;36;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;61;61;0118;01;1;18;273,463898141269
546346;1;2;70;2;48;3; ;1;1;2;50;1; ;3;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;55;5522;55;1;18;243,418618616279
546374;1;2;70;8;45;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;00; ; ; ;1;18;330,997318122396
546376;1;1;70;16;50;8; ;1;1;2;16;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;4000000;2;60;62;0121;01;1;18;248,439924710484
546382;1;3;70;8;45;2; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;00; ; ; ;1;18;385,587149259702
546385;1;3;70;8;50;2; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;32; ; ; ;1;18;260,759064302513
546407;1;2;70;8;45;9;L;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;00; ; ; ;1;18;305,864074017234
546929;1;3;70;36;50;1; ;1;1;2;36;1; ;8;8; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2190000;2;45;33;9000;90;1;47;2520,09783429562
547093;1;3;70;12;42;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;84; ; ; ;1;47;2642,19089890752
547247;1;1;70;2;48;4; ;1;1;2;2;8; ;2;3; ; ; ; ; ; ; ; ; ;1; ;1;220000;1;3200000;2;62;62;0121;01;1;50;2055,27617129672
547284;1;2;70;24;12;1; ;1;1;2;24;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;45;5233;52;1;50;465,052684659745
547288;1;1;70;6;84;4; ;1;1;2;104;3; ;1;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;2;41;54;9500;95;1;50;910,365859111777
547290;1;3;70;12;8;3; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;50;1072,86522249773
547290;1;4;70;5;6;8; ;1;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;50;1072,86522249773
547318;1;2;70;52;48;1; ;1;1;2;54;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;45;5244;52;1;50;1510,17137361173
