DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;CLASE;DPTO;ORDEN;fex_c_2011
536655;1;2;1;2;1;4;2;1;4;4; ; ; ;180000; ;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;1;1;2;2;1;2;1;3;1;2;2;2;2;0; ; ;01;2;25;1;2546,34598775977
536656;1;2;2;2;1;4;2;1;4;4; ; ; ;130000; ;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;5;3;1;2;2;2;2;0; ; ;01;2;25;1;2199,49761515688
536657;1;4;3;1;1;1;1;1;5;1; ; ;20000000;100000; ;2;2;2;2;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;2;1;1;01;2;25;1;1849,03950398635
536658;1;3;2;1;1;1;1;1;4;3; ; ; ; ;100000;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;2;1;1;01;2;25;1;2506,58497417441
536662;1;1;1;3;1;4;4;1;4;4; ; ; ;100000; ;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2; ; ;01;2;25;1;2214,19524210927
536664;1;2;2;3;1;4;3;1;4;4; ; ; ;50000; ;2;2;2;2;2;2;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;3;1;2;2;2;2;2; ; ;01;2;25;1;2025,39148296403
536665;1;2;2;2;1;4;9;1;4;4; ; ; ;120000; ;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2; ; ;01;2;25;1;2290,35870020914
536676;1;1;1;2;2;4;4;2;4;4; ; ; ;60000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;25;1;2544,56980034078
536677;1;2;1;2;2;4;4;1;5;3; ; ; ; ;100000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;1;2;1;2;2;2;2;2; ; ;01;2;25;1;2371,69273480313
536678;1;2;2;3;1;3;3;1;4;4; ; ; ;100000; ;2;2;2;2;2;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2; ; ;01;2;25;1;2841,6437967219
