Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s2;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s20;P5210s21;P5210s22;P5210s24;P5220;P5220s1;P6006;P6008;P6007;P6007s1;Hogar;P4000;P4010;P4020;P4030s1;P4030s1a1;P4030s2;P4030s3;P4030s4;P4030s4a1;P4030s5;P4040;Regis;Clase;Mes;Dpto;Fex_c_2011
4058586;1;4;3;1;1;4;2;1;5;1; ; ;20000000;200000; ;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1; ;4;2; ;1;1;1;2;1;2;2;1;2; ;1;1;01;2;05;05;4120,55431510738
4058587;1;4;1;1;1;4;1;1;4;1; ; ;80000000;140000; ;2;1;2;2;1;1;1;2;2;1;1;2;1;2;2;2;2;2;2;2;2;1;2; ;2;2; ;1;1;3;2;1;2;2;1;2; ;1;1;01;2;05;05;2723,45738673771
4058588;1;4;3;1;1;5;1;1;4;1; ; ;60000000;150000; ;2;1;2;1;1;1;1;1;2;2;1;2;1;2;2;2;2;1;2;2;2;1;1; ;5;2; ;1;1;1;2;1;2;2;1;2; ;1;1;01;2;05;05;5650,96637471548
4058589;1;1;1;1;1;4;2;1;4;1; ; ;12000000;40000; ;2;2;2;2;1;1;1;2;2;1;1;1;1;2;2;2;2;2;1;2;2;1;2; ;2;2; ;1;1;1;2;1;2;2;1;2; ;1;1;01;2;05;05;2723,45738673771
4058590;1;2;2;1;1;5;6;1;4;1; ; ;15000000;100000; ;2;1;2;2;1;2;1;2;2;2;1;2;1;2;2;2;2;2;1;2;2;1;3; ;5;2; ;1;1;1;2;1;2;2;1;2; ;1;1;01;2;05;05;2777,02774506774
4058591;1;1;1;1;2;4;1;1;5;4; ; ; ;80000; ;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1; ;1;1;1;1;1;4;1;1;0;2;1;2; ;1;1;01;2;05;05;2858,17161095427
4058592;1;1;1;1;1;4;2;2;4;1; ; ;10000000;20000000; ;2;2;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1; ;1;2; ;1;1;1;2;1;2;2;1;2; ;1;1;01;2;05;05;3800,73059204342
4058593;1;4;2;1;2;4;1;1;5;4; ; ; ;80000; ;2;2;2;2;1;1;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2; ;2;2; ;1;1;3;2;1;0;2;1;2; ;1;1;01;2;05;05;2302,56189591262
4058594;1;4;2;1;1;5;1;1;5;1; ; ;15000000;100000; ;2;2;2;2;1;1;1;2;1;2;1;2;1;2;2;2;2;2;2;2;2;1;2; ;2;2; ;1;1;1;4;1;2;2;1;2; ;1;1;01;2;05;05;3222,94138309081
4058595;1;1;1;1;2;4;1;1;4;4; ; ; ;80000; ;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1; ;1;2; ;1;1;3;2;1;0;2;1;2; ;1;1;01;2;05;05;4470,40956760867
