Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s1a1;P7480s3;P7480s3a1;P7480s4;P7480s4a1;P7480s5;P7480s5a1;P7480s6;P7480s6a1;P7480s7;P7480s7a1;P7480s8;P7480s8a1;P7480s9;P7480s9a1;P7480s10;P7480s10a1;P7480s11;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011
4058586;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;4120,55431510738
4058586;1;2;1;90;1;7;1;42;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;4120,55431510738
4058586;1;3;1;90;2; ;1;42;2; ;1;36;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;4120,55431510738
4058587;1;1;1;90;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;20;2;05;05;2723,45738673771
4058587;1;2;1;90;1;14;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;2723,45738673771
4058588;1;1;1;90;1;10;1;10;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;5650,96637471548
4058588;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;5650,96637471548
4058588;1;4;1;90;2; ;1;40;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;5650,96637471548
4058589;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;2723,45738673771
4058589;1;2;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;2723,45738673771
4058590;1;1;1;90;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;2777,02774506774
4058590;1;2;1;90;1;10;1;40;2; ;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2;05;05;2777,02774506774
4058590;1;3;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;2777,02774506774
4058590;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;2777,02774506774
4058590;1;5;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;2777,02774506774
4058591;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;2858,17161095427
4058592;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;3800,73059204342
4058593;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;2302,56189591262
4058593;1;2;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;2302,56189591262
4058594;1;1;1;90;1;10;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;3222,94138309081
4058594;1;2;1;90;1;15;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;3222,94138309081
4058595;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;4470,40956760867
4058601;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;3757,74007966473
4058601;1;2;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;3757,74007966473
4058602;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;2302,56189591262
4058602;1;2;1;90;1;13;1;28;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;2302,56189591262
4058602;1;3;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;2302,56189591262
4058602;1;4;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;2302,56189591262
4058602;1;5;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;2302,56189591262
4058603;1;1;1;90;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;2723,45738673771
4058603;1;2;1;90;1;7;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;2723,45738673771
4058604;1;1;1;90;1;7;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;2858,17161095427
4058605;1;1;1;90;1;10;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;3222,94138309081
4058605;1;2;1;90;1;12;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;05;3222,94138309081
4059633;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;63;1365,20489551533
4059634;1;1;1;90;2; ;1;1;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2;05;63;1981,55491390563
4059634;1;2;1;90;2; ;1;35;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2;05;63;1981,55491390563
4059635;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;63;703,172433081669
4059635;1;2;1;90;2; ;1;42;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;63;703,172433081669
4059635;1;3;1;90;1;4;1;18;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;63;703,172433081669
