Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7452;P7454;P7456;P7458;P7458s1;P7460;P7470;P7472;P7472s1;Ini;Mes;Dpto;Fex_c_2011
4058586;1;1;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ;1;05;05;4120,55431510738
4058586;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;05;4120,55431510738
4058587;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;2723,45738673771
4058588;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;05;05;5650,96637471548
4058588;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;5650,96637471548
4058589;1;2;1;80;2;2; ; ; ; ;1;4;9; ;2; ;2; ;1;05;05;2723,45738673771
4058590;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;2777,02774506774
4058590;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;2777,02774506774
4058590;1;5;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;2777,02774506774
4058593;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;2302,56189591262
4058594;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;3222,94138309081
4058602;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;05;2302,56189591262
4058602;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;2302,56189591262
4058602;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;2302,56189591262
4058602;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;2302,56189591262
4058604;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;2858,17161095427
4058605;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;3222,94138309081
4059635;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;05;63;703,172433081669
4059635;1;3;1;80;2;1;1;7; ;2; ; ;11; ;2; ;1;452000;1;05;63;703,172433081669
4059637;1;3;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;05;63;738,593135585863
4059638;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;63;1816,24736138683
4059639;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;63;1013,37568032937
4059639;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;63;1013,37568032937
4059640;1;2;1;80;2;1;1;4; ;1; ;1;4; ;2; ;2; ;1;05;63;2812,68973232668
4059641;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;63;1941,43528345962
4059645;1;2;1;80;2;1;2;7; ;2; ; ;11; ;3; ;2; ;1;05;63;984,24434889266
4059647;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;63;2186,62742161756
4059647;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;63;2186,62742161756
4059650;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;63;1981,55491390563
4059651;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;63;1734,98776029282
4059651;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;63;1734,98776029282
4062569;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;63;739,339625277345
4062570;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;63;800,533158351132
4062570;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;63;800,533158351132
4062571;1;1;1;80;2;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;63;871,883909041713
4062572;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;63;792,125661803253
4062572;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;63;792,125661803253
4062574;1;2;1;80;2;1;1;4; ;2; ; ;4; ;1;1;2; ;1;05;63;800,533158351132
4062574;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;63;800,533158351132
4062574;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;63;800,533158351132
4062575;1;1;1;80;2;1;3;6; ;2; ; ;10; ;3; ;2; ;1;05;63;1099,67941447957
4062575;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;63;1099,67941447957
4062576;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;63;739,339625277345
4062577;1;1;1;80;2;1;2;8; ;2; ; ;6; ;3; ;2; ;1;05;63;739,339625277345
4062577;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;63;739,339625277345
4062578;1;3;1;80;2;1;1;8; ;2; ; ;8; ;2; ;2; ;1;05;63;1333,41607149935
4062589;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;63;1272,15563655613
4062590;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;63;806,928157162567
4062590;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;63;806,928157162567
4062590;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;63;806,928157162567
4062592;1;3;1;80;2;1;4;7; ;2; ; ;1; ;2; ;2; ;1;05;63;807,795044928779
4062594;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;63;1599,25528222817
4062594;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;63;1599,25528222817
4062595;1;2;1;80;2;1;2;8; ;1; ;1;2; ;2; ;2; ;1;05;63;1394,69332860252
4062595;1;3;1;80;2;1;2;8; ;1; ;2;2; ;2; ;2; ;1;05;63;1394,69332860252
4062597;1;2;1;80;2;1;2;6; ;2; ; ;9; ;2; ;2; ;1;05;63;1272,15563655613
4062597;1;3;1;80;2;1;2;6; ;2; ; ;9; ;2; ;2; ;1;05;63;1272,15563655613
4062600;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;63;1324,4880696161
4062605;1;2;1;80;2;1;4;6; ;2; ; ;9; ;2; ;2; ;1;05;63;703,172433081669
4062605;1;4;1;80;2;1;1;9;PROBLEMAS CON UN COMPANERO DE TRABAJO;2; ; ;1; ;2; ;2; ;1;05;63;703,172433081669
4062605;1;5;1;80;2;1;4;8; ;2; ; ;8; ;2; ;2; ;1;05;63;703,172433081669
4062605;1;7;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;63;703,172433081669
4062605;1;11;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;63;703,172433081669
4062609;1;2;1;80;2;1;2;4; ;2; ; ;4; ;2; ;2; ;1;05;63;943,104378244651
4062613;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;05;63;703,172433081669
4062615;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;63;703,172433081669
4063043;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;73;899,979663547011
4063046;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;73;642,971321554816
4063049;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;73;1113,94578861027
4063049;1;3;1;80;2;1;1;1; ;2; ; ;9; ;2; ;2; ;1;05;73;1113,94578861027
4063049;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;73;1113,94578861027
4063052;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;73;642,971321554816
4063054;1;1;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ;1;05;73;799,084547267093
4063054;1;2;1;80;2;1;1;3; ;2; ; ;9; ;2; ;2; ;1;05;73;799,084547267093
