Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P9460;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s4;P7420s3;P7420s5;P7420s6;P7420s7;P7420s7a1;P7420s8;P7422;P7422s1;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
4048849;1;2;1;70;05;52;48;1; ;2;8;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;2;5223;05;05;1245,37961817836
4048854;1;4;1;70;05;3;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;05;05;887,965855802537
4048868;1;2;1;70;05;52;48;4; ;2;16;5; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;41;51;55;1;2;5521;05;05;1385,93078757857
4048873;1;3;1;70;05;2;48;1; ;2;2;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;1;600000;45;53;55;1;1;5521;05;05;1189,48086841512
4048877;1;1;1;70;05;24;48;4; ;2;12;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;84;90;25;1;2;2529;05;05;1364,03964176755
4048880;1;1;1;70;05;8;48;1; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;32;52;1;1;5272;05;05;875,776621341226
4048885;1;2;1;70;05;8;48;1; ;2;8;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;53;54;95;1;1;9500;05;05;1122,03994455706
4048887;1;3;1;70;05;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;34; ; ;1;1; ;05;05;1074,96132905794
4048892;1;1;1;70;05;28;48;1; ;2;28;1; ;3;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;33;33;52;1;2;5272;05;05;1397,3104266838
4048893;1;1;1;70;05;16;48;1; ;2;96;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;30;52;74;1;2;7493;05;05;1412,58123007231
4048904;1;3;1;70;05;48;48;1; ;2;43;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;97;77;55;1;2;5529;05;05;1040,0095972904
4048908;1;1;1;70;05;52;48;4; ;2;70;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;98;98;51;1;2;5169;05;05;1151,20045153044
4048917;1;1;1;70;05;4;48;1; ;2;36;1; ;3;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5237;05;05;1081,40756116692
4048918;1;1;1;70;05;12;48;1; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;45;92;1;1;9242;05;05;946,03304940557
4048923;1;5;1;70;05;2;48;1; ;2;4;4; ;2;2;3; ; ; ; ; ; ; ; ; ; ;1;1;200000;01;53;55;1;1;5529;05;05;1047,8161150107
4048926;1;1;1;70;05;4;24;1; ;2;30;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;59;39;85;1;1;8512;05;05;1088,43262670001
4048931;1;2;1;70;05;8;48;1; ;2;16;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;30;30;85;1;1;8511;05;05;1137,72915388836
4048931;1;3;1;70;05;12;48;1; ;2;18;4; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;75;1;1;7512;05;05;1137,72915388836
4048931;1;4;1;70;05;16;48;1; ;2;18;1; ;8;2;4; ; ; ; ; ; ; ; ; ; ;1;1;45000;39;39;51;1;2;5132;05;05;1137,72915388836
4048934;1;1;1;70;05;2;48;1; ;2;48;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;55;1;1;5521;05;05;1081,40756116692
4048935;1;1;1;70;05;6;36;5; ;2;98;1; ;9;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;51;97;33;1;1;3311;05;05;1015,73389417755
4048941;1;2;1;70;05;16;48;1; ;2;144;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;55;55;85;1;2;8512;05;05;967,164819805187
4048948;1;3;1;70;05;24;48;1; ;2;28;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;15;15;91;1;2;9192;05;05;967,110820433978
4048951;1;3;1;70;05;52;48;1; ;2;900;1; ;9;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;06;37;63;1;2;6340;05;05;1165,45320135971
4048952;1;3;1;70;05;12;48;1; ;2;16;4; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;38;59;75;1;1;7513;05;05;1121,78398663076
4048956;1;5;1;70;05;16;48;1; ;2;32;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;02;39;25;1;2;2529;05;05;1163,85282952293
4048973;1;1;1;70;05;16;48;1; ;2;16;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;11;08;75;1;2;7512;05;05;1250,41023085448
4048978;1;2;1;70;05;6;8;1; ;2;216;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5211;05;05;987,863801743445
4048989;1;1;1;70;05;2;24;3; ;2;104;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;79;18;1;1;1810;05;05;973,75709687692
4048991;1;5;1;70;05;8;48;1; ;2;20;1; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;18;75;36;1;1;3699;05;05;967,256865396731
4049008;1;2;1;70;05;28;48;1; ;2;28;4; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;18;39;75;1;2;7512;05;05;1137,63710829682
4049009;1;2;1;70;05;12;48;1; ;2;20;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;05;05;73;1;1;7310;05;05;1102,68537652929
4049028;1;5;1;70;05;4;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;900000;95;95;45;1;1;4521;05;05;1492,73495572918
4049031;1;2;1;70;05;3;48;1; ;2;42;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;33;33;52;1;1;5211;05;05;1170,20701604037
4049047;1;2;1;70;05;5;48;1; ;2;5;1; ;6;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4522;05;05;973,75709687692
4049048;1;2;1;70;05;5;48;1; ;2;104;1; ;6;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;79;79;18;1;1;1810;05;05;1074,96132905794
4049059;1;1;1;70;05;6;48;1; ;2;6;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;58;58;70;1;1;7020;05;05;1123,38435846754
4049062;1;2;1;70;05;20;48;1; ;2;20;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;2;4522;05;05;1037,10375513146
4049072;1;4;1;70;05;48;48;1; ;2;16;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;39;97;15;1;2;1589;05;05;1096,2391444203
