Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s2;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s20;P5210s21;P5210s22;P5210s24;P5220;P5220s1;P6006;P6008;P6007;P6007s1;Hogar;P4000;P4010;P4020;P4030s1;P4030s1a1;P4030s2;P4030s3;P4030s4;P4030s4a1;P4030s5;P4040;Regis;Area;Mes;Dpto;Fex_c_2011
4048843;1;2;2;1;1;1;1;1;3;3; ; ; ; ;280000;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;1;4; ;4;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;05;05;831,644263081089
4048844;1;2;1;1;1;1;1;1;3;3; ; ; ; ;250000;2;1;2;1;1;1;1;2;2;1;1;1;1;2;2;2;1;2;1;2;2;1;2; ;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;05;05;1060,70857922866
4048845;1;3;2;1;1;1;1;1;1;3; ; ; ; ;400000;1;1;2;2;1;2;2;1;1;1;1;1;2;2;2;2;2;2;1;2;2;1;2; ;3;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;05;05;05;880,213337453449
4048847;1;1;1;1;2;1;1;1;3;3; ; ; ; ;200000;2;2;1;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1; ;1;2; ;1;3;1;2;1;3;1;1;1;3;1;1;01;05;05;05;1258,85091582043
4048848;1;2;1;1;1;1;1;1;3;1; ; ;18000000;200000; ;1;1;2;2;1;1;1;2;2;2;1;1;2;2;2;2;1;2;2;2;2;1;1; ;1;2; ;1;3;1;2;1;3;1;1;1;3;1;1;01;05;05;05;1258,85091582043
4048849;1;3;2;1;1;1;1;1;3;1; ; ;30000000;250000; ;2;1;2;1;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1; ;3;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;05;05;1245,37961817836
4048850;1;4;2;1;1;1;1;1;3;4; ; ; ;500000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1; ;2;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;05;05;05;893,830680058273
4048851;1;5;1;1;1;1;1;1;3;3; ; ; ; ;450000;1;1;1;1;1;1;1;2;1;2;1;1;1;1;2;2;1;1;2;1;2;1;2; ;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;05;05;1102,68537652929
4048852;1;2;2;1;1;1;1;1;4;3; ; ; ; ;140000;2;1;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2; ;2;2; ;1;2;1;4;1;3;2;1;1;3;1;1;01;05;05;05;1095,66031099619
4048853;1;1;1;1;2;1;1;6; ;3; ; ; ; ;200000;2;1;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;1;2;2;2;2; ; ;1;2; ;1;3;1;2;1;3;2;1;1;3;1;1;01;05;05;05;1123,38435846754
