DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5246960;1;4;1;70;17;1;100;100;1; ;2;100;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;10;77;77;1;2;10;1082;17;154,12844875229
5246961;1;4;1;70;17;1;28;48;1; ;2;28;1; ;4;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;877801;2; ;01;03;03;1;2;10;0121;17;217,907035562624
5246969;1;1;1;70;50;1;24;48;1; ;2;26;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;45;44;44;1;2;10;4511;50;201,793258435036
5246972;1;1;1;70; ;1;4;48;1; ;2;54;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877000;2; ;43;03;55;1;1;10;4321;76;3120,51223800177
5246973;1;3;1;70; ;1;32;48;1; ;2;32;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;52;58;97;1;2;10;5224;76;2016,79111174572
5246974;2;2;2;70;23;1;24;48;1; ;2;52;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;97;45;54;1;2;10;9700;23;174,793541216436
5246976;2;1;2;70;23;1;24;48;1; ;2;32;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;47;45;45;1;2;10;4771;23;186,962486397746
5246979;1;1;1;70; ;1;28;48;1; ;2;28;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;52;97;97;1;2;10;5224;76;2507,21577087378
5247000;1;1;1;70;17;1;16;48;1; ;2;48;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;56;32;50;1;2;10;5630;17;291,605505813358
5247000;1;3;1;70;17;1;16;48;1; ;2;20;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;77;97;97;1;2;10;7730;17;291,605505813358
5247013;1;1;1;70;52;1;8;48;1; ;2;17;1; ;2;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;47;45;45;1;1;10;4721;52;265,618733692594
5247015;1;1;1;70;52;1;17;40;1; ;2;17;4; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;84;98;35;1;2;10;8412;52;180,57921314596
