DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5258073;1;2;1;70;2;12;40;1; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;210000;877803;2; ;56;55;59;1;1;10;5611;15;4642,53680229525
5258076;1;7;1;70;2;30;40;1; ;2;30;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;56;53;53;1;2;10;5611;15;7278,28760528106
5258082;1;2;1;70;2;4;40;1; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877800;2; ;01;45;62;1;1;10;0141;15;4479,59575926599
5258189;1;1;1;70;2;2;48;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;700000;800000;2; ;01;61;61;1;1;10;0122;50;1114,43134889952
5258193;1;1;1;70;2;52;48;2; ;2;53;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;86;34;34;1;2;10;8610;50;481,360246232761
5258336;1;1;1;70;2;4;40;1; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;900000;2; ;41;98;95;1;1;10;4111;15;2344,95852513171
5258660;1;1;1;70;2;4;48;8; ;2;3;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;878000;2; ;01;62;62;1;1;10;0127;05;5065,80558130264
5258672;1;3;1;70;2;48;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;878000; ; ; ;99; ;1;2;10;.;05;1899,00276971886
5259147;1;4;1;70;2;40;48;1; ;2;40;4; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;877000;2; ;56;53;53;1;2;10;5619;41;659,472039342716
5259771;1;3;1;70;2;12;40;1; ;2;24;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;56;53;53;1;1;10;5611;70;1790,43434000263
5260086;1;3;1;70;2;8;48;8; ;2;30;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;870000;2; ;01;62;62;1;1;10;0122;50;534,963304358766
5260088;1;3;1;70;2;18;48;1; ;2;20;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;47;34;97;1;2;10;4752;50;999,436977360952
5260481;1;3;1;70;2;20;56;1; ;2;52;1; ;6;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;01;03;60;1;2;10;0141;05;3146,20776797052
5260490;1;6;1;70;2;20;55;8; ;2;22;8; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;1;100000;800000;2; ;01;62;62;1;2;10;0122;05;4757,89823942909
5260491;1;2;1;70;2;8;24;1; ;2;32;4; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;56;45;77;1;1;10;5619;05;3935,57033682946
5260493;1;2;1;70;2;4;40;3; ;2;80;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;97;54;54;1;1;10;9700;05;3296,53885614026
5260493;1;7;1;70;2;1;48;1; ;2;28;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;97;53;54;1;1;10;9700;05;3296,53885614026
5260500;1;2;1;70;2;3;50;8; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;400000; ; ; ;62; ;1;1;10;.;05;2589,77960100623
5260501;1;1;1;70;2;1;48;4; ;2;1;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;80000;800000;2; ;14;41;79;1;1;10;1410;05;2455,43093668316
5260519;1;1;1;70;2;52;48;3; ;2;52;3; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;97;54;54;1;2;10;9700;05;2734,8819077902
