DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4273685;1;3;1;70;05;8;48;1; ;2;8;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;60000;79;79;18;1;1;1810;03;05;999,417715910887
4273694;1;9;1;70;05;8;48;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5233;03;05;1042,14248505207
4273695;1;3;1;70;05;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;01; ; ;1;1; ;03;05;1002,0709660075
4273702;1;1;1;70;05;6;48;1; ;2;4;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;1;600000;02;02;45;1;1;4522;03;05;1013,53639850304
4273704;1;2;1;70;05;4;16;4; ;2;10;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;79;79;52;1;1;5271;03;05;987,329457777555
4273734;1;3;1;70;05;4;48;1; ;2;10;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;55000;55;80;19;1;1;1925;03;05;894,841158806169
4273759;1;2;1;70;05;24;48;1; ;2;36;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;77;52;1;2;5211;03;05;1077,37161864812
4273760;1;2;1;70;05;4;48;1; ;2;96;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;83;36;1;1;3699;03;05;1134,05464942997
4273778;1;5;1;70;13;32;40;1; ;2;32;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;55;15;1;2;1530;03;13;426,490046811126
4273784;1;3;1;70;13;26;48;1; ;2;26;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;92;1;2;9242;03;13;377,50694304027
4273787;1;2;1;70;13;8;48;3; ;2;8;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;1;9500;03;13;425,731110936649
4273791;1;3;1;70;13;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;2; ;03;13;353,402245754458
4273796;1;2;1;70;13;5;48;1; ;2;5;2; ;9;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;39;32;74;1;1;7493;03;13;457,370800835008
4273796;1;4;1;70;13;12;48;4; ;2;12;1; ;4;2;8; ; ; ; ; ; ; ;1; ; ; ;2; ;95;45;52;1;1;5211;03;13;457,370800835008
4273797;1;2;1;70;13;8;48;3; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;54;97;52;1;1;5211;03;13;348,208367283375
4273801;1;2;1;70;13;24;48;1; ;2;24;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;97;15;1;2;1543;03;13;430,740199306969
4273941;1;2;1;70;17;2;36;1; ;2;48;4; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;05;31;75;1;1;7512;03;17;169,865842269706
4273943;1;1;1;70;17;100;48;1; ;2;100;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;06;44;75;1;2;7530;03;17;144,684712646532
4273947;1;1;1;70;17;8;48;4; ;2;72;1; ;3;2;1; ; ; ; ; ; ; ; ;1;ESPERANDO LA PE; ;2; ;44;05;74;1;1;7414;03;17;167,306885009183
4273950;1;2;1;70;17;52;48;1; ;2;57;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;32;34;15;1;2;1594;03;17;123,730461998944
4273954;1;3;1;70;17;20;50;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;2; ;03;17;262,623419237302
4273956;1;1;1;70;17;24;48;1; ;2;8;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;1;600000;13;45;52;1;2;5231;03;17;154,287869665377
4273968;1;2;1;70;17;12;48;1; ;2;12;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;38;38;64;1;1;6421;03;17;211,23509179673
4273980;1;2;1;70;17;20;48;1; ;2;16;1; ;9;1;1; ; ;1; ; ; ; ; ; ; ; ;2; ;55;55;75;1;2;7530;03;17;281,552992315813
4273982;1;3;1;70;17;16;48;1; ;2;16;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;38;41;52;1;2;5221;03;17;109,384523750034
4273985;1;3;1;70;17;8;8;1; ;2;12;1; ;5;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;11;11;85;1;1;8532;03;17;177,051376338192
4274003;1;5;1;70;17;4;48;1; ;2;4;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;1;250000;87;87;71;1;1;7129;03;17;160,26268525086
4274013;1;5;1;70;17;12;50;1; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;97;63;1;1;6310;03;17;286,136627145413
4274016;1;2;1;70;17;16;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;12; ; ;1;2; ;03;17;173,101238321786
4274017;1;2;1;70;17;24;40;1; ;2;72;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;12;12;75;1;2;7523;03;17;116,686262240622
4274018;1;2;1;70;17;52;48;1; ;2;52;1; ;7;2;1; ; ; ;1; ; ; ; ; ; ; ;2; ;40;44;65;1;2;6512;03;17;177,051376338192
4274018;1;3;1;70;17;156;48;1; ;2;156;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;33;21;40;1;2;4010;03;17;177,051376338192
4274021;1;2;1;70;17;52;48;1; ;2;52;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;19;19;85;1;2;8532;03;17;230,16466487524
4274035;1;1;1;70;17;2;48;1; ;2;2;1; ;7;2;8; ; ; ; ; ; ; ; ; ; ;1;1;900000;95;95;45;1;1;4521;03;17;281,552992315813
4274035;1;2;1;70;17;6;48;1; ;2;6;1; ;4;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;55;53;45;1;1;4521;03;17;281,552992315813
4274038;1;1;1;70;17;12;50;1; ;2;12;1; ;9;1;1; ; ;1; ; ; ; ; ; ; ; ;2; ;58;58;70;1;1;7020;03;17;184,095576096515
4274168;2;2;2;70;23;37;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;2; ;03;23;135,148450088504
4274172;1;6;1;70;23;16;48;1; ;2;50;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;58;45;52;1;2;5239;03;23;203,620109785826
4274361;1;2;1;70;50;3;40;1; ;2;520;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;44;63;1;1;6340;03;50;257,074793474415
4274364;1;2;1;70;50;4;48;1; ;2;4;1; ;3;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;83;83;28;1;1;2811;03;50;254,368054450683
4274370;1;2;1;70;50;6;48;4; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;57;57;93;1;1;9302;03;50;296,636357042862
4274373;1;4;1;70;50;16;48;1; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;33;95;45;1;2;4521;03;50;257,869562229801
4274377;1;3;1;70;50;14;48;1; ;2;9;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;59;59;95;1;2;9500;03;50;248,668780135739
4274383;1;4;1;70;50;4;48;1; ;2;4;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;98;98;51;1;1;5155;03;50;257,869562229801
4274385;1;2;1;70;50;52;48;4; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;98;98;60;1;2;6031;03;50;233,79338298646
4274390;1;1;1;70;50;8;48;1; ;2;8;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;53;55;1;1;5521;03;50;274,656929647424
4274396;1;1;1;70;50;52;48;1; ;2;52;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;33;39;64;1;2;6412;03;50;193,641776737625
4274402;1;5;1;70;50;1;40;1; ;2;8;2; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;53;58;75;1;1;7512;03;50;256,038254014786
4274407;1;2;1;70;50;6;48;1; ;2;6;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4521;03;50;275,485369965452
4274421;1;4;1;70;50;2;48;1; ;2;12;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;39;79;18;1;1;1810;03;50;188,424404797919
