DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4284746;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;18;1067,61668932827
4284746;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;18;1067,61668932827
4285392;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;03;52;2643,83152805318
4285393;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;52;2101,08390197736
4285394;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;03;52;2210,40738761801
4285395;1;2;1;80;2;1;1;7; ;2; ; ;9; ;2; ;2; ;1;03;52;3218,23904482376
4285396;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;52;2895,30624372082
4285397;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;52;1151,42158433798
4285397;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;52;1151,42158433798
4285397;1;6;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;52;1151,42158433798
4285401;1;2;1;80;2;1;1;2; ;2; ; ;2; ; ; ;1;100000;1;03;52;1805,53186462551
4285401;1;3;1;80;2;1;1;2; ;2; ; ;2; ; ; ;1;100000;1;03;52;1805,53186462551
4285403;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;03;52;2304,88443600951
4285410;1;1;1;80;2;1;1;7; ;2; ; ;9; ;2; ;2; ;1;03;52;1805,53186462551
4285410;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;52;1805,53186462551
4285411;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;03;52;2986,63652340573
4285411;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;03;52;2986,63652340573
4285412;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;03;52;1543,73272812728
4285413;1;1;1;80;2;1;1;8; ;2; ; ;9; ;2; ;1;30000;1;03;52;2288,87014506877
4285415;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;1;40000;1;03;52;3635,13475122479
4285416;1;3;1;80;2;1;1;2; ;2; ; ;2; ;2; ;2; ;1;03;52;2101,08390197736
4285417;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;52;2053,40972034187
4285419;1;2;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ;1;03;52;2815,60348020386
4285419;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;52;2815,60348020386
4285419;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;52;2815,60348020386
4285420;1;2;1;80;2;1;2;2; ;2; ; ;2; ;2; ;2; ;1;03;52;1099,32183361337
4285420;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;52;1099,32183361337
4285420;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;52;1099,32183361337
4285421;1;1;1;80;2;1;4;5; ;2; ; ;10; ;3; ;2; ;1;03;52;1972,39215491958
4285421;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;03;52;1972,39215491958
4285425;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;52;2242,81390836956
4285425;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;52;2242,81390836956
4285426;1;2;1;80;2;1;1;3; ;2; ; ;9; ;2; ;2; ;1;03;52;1801,93500467423
4285426;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;52;1801,93500467423
4285426;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;52;1801,93500467423
4285429;1;2;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ;1;03;52;2288,87014506877
4285429;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;52;2288,87014506877
4285430;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;52;1500,23129939958
4285441;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;52;2879,29195278009
4285442;1;1;1;80;2;1;4;3; ;2; ; ;4; ;2; ;2; ;1;03;52;1586,28502433382
4285443;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;52;2390,60266322595
4285444;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;52;2225,18167249255
4285445;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;52;2580,14305547695
4285446;1;1;1;80;2;1;1;9;TRASLADO DE CIUDAD;2; ; ;9; ;2; ;2; ;1;03;52;1882,67982017095
4285446;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;52;1882,67982017095
4285448;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;03;52;3441,63466196935
4285448;1;5;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;52;3441,63466196935
4285448;1;7;1;80;2;1;1;2; ;2; ; ;2; ; ; ;2; ;1;03;52;3441,63466196935
4285448;1;8;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;52;3441,63466196935
4285449;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;52;2022,62114452659
4285452;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;52;1522,39725826311
4285452;1;7;1;80;2;1;1;3; ;2; ; ;9; ;2; ;2; ;1;03;52;1522,39725826311
4285453;1;1;1;80;2;1;1;4; ;2; ; ;4; ;2; ;2; ;1;03;52;1292,25801245964
4285455;1;1;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ;1;03;52;2627,30309401904
4285456;1;3;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;03;52;2401,05158171189
4285461;1;6;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;52;2246,66160177673
4285462;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;52;2170,74982830601
4285462;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;52;2170,74982830601
4285463;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;03;52;3630,38494927369
4285464;1;2;1;80;2;1;4;8; ;2; ; ;8; ;2; ;2; ;1;03;52;3568,41740744017
4285464;1;3;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ;1;03;52;3568,41740744017
4285464;1;6;1;80;2;1;1;8; ;2; ; ;2; ;2; ;2; ;1;03;52;3568,41740744017
4285465;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;52;3076,30540966171
4285466;1;1;1;80;2;1;1;4; ;2; ; ;4; ;2; ;2; ;1;03;52;3351,25294266527
4285466;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;52;3351,25294266527
4285476;1;3;1;80;2;1;1;8; ;2; ; ;8; ; ; ;2; ;1;03;76;3136,66165499083
4285476;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;76;3136,66165499083
4285502;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;76;2406,86770216915
4285502;1;5;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;76;2406,86770216915
4285519;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;76;3726,79906491006
4285520;1;2;1;80;2;1;4;9;CAMBIO DE DOMICILIO;2; ; ;11; ;2; ;2; ;1;03;76;2782,17774584069
4285520;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;76;2782,17774584069
4285520;1;4;1;80;2;1;1;8; ;2; ; ;8; ; ; ;2; ;1;03;76;2782,17774584069
4285520;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;76;2782,17774584069
4285523;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;76;2894,52839352529
4285524;1;1;1;80;2;1;2;8; ;2; ; ;8; ;2; ;2; ;1;03;76;2176,07726763597
4285527;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;76;2851,12818653753
4285528;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;76;1923,92368861558
4285528;2;2;2;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;76;1923,92368861558
4285529;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;76;2522,9607260127
4285529;1;3;1;80;2;2; ; ; ; ;1;4;4; ;2; ;2; ;1;03;76;2522,9607260127
4285529;1;4;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;03;76;2522,9607260127
4285530;1;2;1;80;2;2; ; ; ; ;1;3;2; ;2; ;2; ;1;03;76;5399,15865989117
4285531;1;1;1;80;2;1;4;7; ;2; ; ;8; ;2; ;2; ;1;03;76;3176,24542525418
4285532;1;2;1;80;2;1;1;2; ;2; ; ;2; ;2; ;2; ;1;03;76;1731,81678326759
4285534;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;76;3467,1619384255
4285534;1;4;1;80;2;1;1;3; ;2; ; ;9; ;2; ;2; ;1;03;76;3467,1619384255
4285535;1;1;1;80;2;1;4;6; ;2; ; ;4; ;2; ;2; ;1;03;76;4235,30535050168
4285539;1;5;1;80;2;1;1;2; ;2; ; ;2; ; ; ;2; ;1;03;76;3043,00284194493
4285541;1;1;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ;1;03;76;2522,9607260127
4285541;1;2;1;80;2;1;4;7; ;2; ; ;4; ;2; ;2; ;1;03;76;2522,9607260127
4285544;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;76;3745,47863925974
4289160;1;2;1;80;2;1;2;8; ;2; ; ;1; ;2; ;2; ;1;03;19;1092,33768085507
4289160;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;1092,33768085507
4289161;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;03;19;1638,43648836705
4289162;1;2;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ;1;03;19;1185,09703354212
4289162;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;1185,09703354212
4289163;1;4;1;80;2;1;2;8; ;2; ; ;1; ;2; ;2; ;1;03;19;2224,28504313218
4289164;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;1371,44450658574
4289165;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;1329,37715663961
4289167;1;2;1;80;2;1;4;7; ;2; ; ;8; ;2; ;2; ;1;03;19;1763,02444161022
4289167;1;3;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ;1;03;19;1763,02444161022
4289169;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;1057,48655423011
4289171;1;1;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ;1;03;19;1194,55045400643
4289171;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;1194,55045400643
4289177;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;658,690395884463
4289180;1;5;1;80;2;1;1;2; ;2; ; ;2; ;2; ;2; ;1;03;19;760,740640667191
4289182;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;951,051116624361
4289182;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;951,051116624361
4289190;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;765,903781966292
4289190;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;765,903781966292
4289191;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;1227,16438348825
