DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011;AREA
4273685;1;2;1;80;1;1;3;4; ;2; ; ;4; ;2; ;2; ;1;03;05;999,417715910887;05
4273686;1;1;1;80;1;1;4;7; ;2; ; ;4; ;3; ;2; ;1;03;05;1181,30532659453;05
4273689;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;03;05;879,389498225898;05
4273694;1;2;1;80;1;1;1;4; ;2; ; ;4; ;2; ;2; ;1;03;05;1042,14248505207;05
4273694;1;5;1;80;1;2; ; ; ; ;1;2;9; ;2; ;2; ;1;03;05;1042,14248505207;05
4273696;1;1;1;80;1;1;4;7; ;2; ; ;9; ;2; ;2; ;1;03;05;790,264601701451;05
4273697;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;05;927,668037865374;05
4273699;1;1;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ;1;03;05;1133,02678695506;05
4273699;1;2;1;80;1;1;4;4; ;2; ; ;8; ;2; ;2; ;1;03;05;1133,02678695506;05
4273699;1;3;1;80;1;1;3;4; ;2; ; ;4; ;2; ;2; ;1;03;05;1133,02678695506;05
4273700;1;2;1;80;1;1;1;3; ;2; ; ;9; ;2; ;1;480000;1;03;05;1034,77328529374;05
4273701;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;03;05;1008,56634456826;05
4273702;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;03;05;1013,53639850304;05
4273702;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;05;1013,53639850304;05
4273706;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;05;790,264601701451;05
4273706;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;05;790,264601701451;05
4273707;1;1;1;80;1;1;4;4; ;2; ; ;4; ;3; ;2; ;1;03;05;1016,79293438982;05
4273708;1;1;1;80;1;1;4;5; ;2; ; ;11; ;3; ;2; ;1;03;05;1189,9169297327;05
4273708;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;03;05;1189,9169297327;05
4273710;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;03;05;1029,09307900865;05
4273712;1;1;1;80;1;1;4;1; ;2; ; ;8; ;3; ;2; ;1;03;05;1079,88028545126;05
4273712;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;05;1079,88028545126;05
4273714;1;1;1;80;1;1;4;4; ;2; ; ;4; ;1;2;2; ;1;03;05;1148,47844753533;05
4273714;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;05;1148,47844753533;05
4273717;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;05;912,601390601708;05
4273719;1;1;1;80;1;1;4;9;POR LA EDAD;2; ; ;8; ;2; ;2; ;1;03;05;1029,09307900865;05
4273720;1;1;1;80;1;1;2;8; ;2; ; ;12;EL HIJO MAYOR QUE NO VIVE CON ELLA NO LA DEJA TRABAJAR;2; ;2; ;1;03;05;1002,78111835783;05
4273720;1;2;1;80;1;2; ; ; ; ;1;2;8; ;2; ;2; ;1;03;05;1002,78111835783;05
4273721;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;05;985,784593303944;05
4273721;1;5;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ;1;03;05;985,784593303944;05
4273723;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;05;1023,30785279821;05
4273725;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;03;05;1019,94445035127;05
4273726;1;2;1;80;1;1;4;8; ;2; ; ;8; ;2; ;2; ;1;03;05;1176,23025273442;05
4273728;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;05;996,651213266043;05
4273729;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;05;927,668037865374;05
4273731;1;1;1;80;1;1;2;6; ;2; ; ;11; ;2; ;2; ;1;03;05;1008,56634456826;05
4273733;1;2;1;80;1;1;2;2; ;2; ; ;2; ;2; ;2; ;1;03;05;907,141303424992;05
4273735;1;2;1;80;1;1;2;2; ;2; ; ;2; ;2; ;2; ;1;03;05;930,196728189027;05
4273736;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;05;1016,79293438982;05
4273736;1;2;1;80;1;2; ; ; ; ;1;4;9; ;2; ;2; ;1;03;05;1016,79293438982;05
4273737;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;03;05;1023,30785279821;05
4273737;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;05;1023,30785279821;05
4273738;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;05;939,968182484197;05
4273741;1;6;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;05;704,669914563504;05
4273743;1;2;1;80;1;1;3;3; ;2; ; ;9; ;2; ;2; ;1;03;05;1029,47809232525;05
4273744;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;05;989,426142507332;05
4273745;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;03;05;2017,13268913652;05
4273746;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;03;05;2321,5571843083;05
4273746;1;2;1;80;1;1;1;5; ;2; ; ;10; ;3; ;2; ;1;03;05;2321,5571843083;05
4273748;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;03;05;2362,61065318907;05
4273748;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;05;2362,61065318907;05
4273750;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;05;1783,37928568944;05
4273750;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;05;1783,37928568944;05
4273751;1;1;1;80;1;1;3;5; ;2; ; ;10; ;3; ;2; ;1;03;05;2155,04635311374;05
4273751;1;2;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ;1;03;05;2155,04635311374;05
4273751;1;3;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;03;05;2155,04635311374;05
4273751;1;4;1;80;1;1;4;7; ;2; ; ;9; ;2; ;2; ;1;03;05;2155,04635311374;05
4273751;1;5;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;05;2155,04635311374;05
4273753;1;1;1;80;1;1;3;5; ;2; ; ;10; ;3; ;2; ;1;03;05;2338,01036395142;05
4273753;1;2;1;80;1;1;3;5; ;2; ; ;10; ;3; ;2; ;1;03;05;2338,01036395142;05
4273754;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;03;05;2086,38347616057;05
4273754;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;03;05;2086,38347616057;05
4273754;1;3;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ;1;03;05;2086,38347616057;05
4273754;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;05;2086,38347616057;05
4273754;1;5;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;05;2086,38347616057;05
4273755;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;05;927,668037865374;05
4273756;1;2;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;05;1002,78111835783;05
4273761;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;03;05;1008,56634456826;05
4273762;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;08;597,499905412309;08
4273763;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;03;08;736,464501046822;08
4273763;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;08;736,464501046822;08
4273763;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;08;736,464501046822;08
4273765;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;08;540,650795635877;08
4273767;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;08;542,787267900552;08
4273768;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;03;08;542,537176301052;08
4273769;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;08;621,026840846639;08
4273769;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;08;621,026840846639;08
4273771;1;1;1;80;1;1;1;7; ;2; ; ;8; ;2; ;2; ;1;03;08;536,855206759126;08
4273771;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;08;536,855206759126;08
4273777;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;13;365,535633945303;13
4273778;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;13;426,490046811126;13
4273780;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;13;450,709659438833;13
