DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6410S1;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P7240;P7240S1;OFICIO;RAMA2D;OCI;P6430;RAMA4D;RAMA4DP8;RAMA2DP8;INGLABO;MES;DPTO;fex_c_2011
4284673;1;1;1;60;2;63;1;1; ; ;1; ; ;1;2;2;2;10; ;1; ;2;600000;2; ; ;2; ;1;150000;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;50; ;.;50; ; ;6;8; ;7; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;8;1; ;1;63;3;4; ;336000;2;1;2; ; ; ;1;1;1;1;2;2;2;1;1;2;2; ;2;1;1;2;1;2;1;1;9; ;61;01;1;1;0117; ; ;1086000;03;63;1719,36920926243
4284673;1;2;1;60;2;63;2; ; ; ; ; ; ; ; ; ; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.;12;30;2; ;30; ; ;2;1; ;6; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;8;1; ;2; ; ; ; ; ; ; ;2; ; ; ;1;1;1;1;2;2;2;2;1;2;2; ;2;2;1;2;1;2;1;1;3; ;53;55;1;6;5521; ; ; ;03;63;1719,36920926243
4284674;1;1;1;60;2;63;1;1; ; ;1; ; ;2;2;2;2;3; ;1; ;2;600000;2; ; ;2; ;1;200000;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;40; ;.;40; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;0;8; ;2; ; ; ; ; ; ; ;2; ; ; ;1;1;1;1;2;1;2;1;1;2;2; ;2;1;2;2;1;2;2;1;5; ;62;01;1;8;0113; ; ;800000;03;63;3071,43324657537
4284675;1;1;1;60;2;63;1;1; ; ;1; ; ;1;2;2;2;180; ;1; ;2;600000;2; ; ;1;168000;1;150000;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;50; ;.;50; ; ;6;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;12;4; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;3; ;62;01;1;8;0117; ; ;918000;03;63;2425,1818471862
4284676;1;1;1;60;2;63;1;1; ; ;1; ; ;1;2;2;2;2; ;1; ;2;352000;2; ; ;1;168000;1;50000;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;50; ;.;50; ; ;6;8; ;6; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;2;8; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;1;8; ;62;01;1;8;0117; ; ;570000;03;63;2425,1818471862
4284677;1;1;1;60;2;63;1;1; ; ;1; ; ;1;2;2;2;1; ;1; ;2;520000;2; ; ;2; ;1;150000;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;50; ;.;50; ; ;6;8; ;10; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;3;8; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;5; ;62;01;1;8;0117; ; ;670000;03;63;3228,26843818932
4284678;1;1;1;60;2;63;1;2;2;4;2;1; ;2;1;2;1;4; ;1; ;2;1300000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;83200;2;2; ; ;2; ; ;2; ; ;2; ; ;1;108000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;11;42; ;.;42; ; ;9;7; ;1; ;1;1;1;3;1;1; ; ; ; ; ; ; ; ;1;1;1;1;8;1; ;2; ; ; ; ; ; ; ;2; ; ; ;1;1;1;1;2;1;2;2;2;2;2; ;1;1;2;2;1;2;2;1;8; ;59;85;1;1;8512;7491;74;1300000;03;63;3071,43324657537
4284679;1;1;1;60;2;63;1;1; ; ;1; ; ;1;2;2;2;60; ;1; ;2;500000;2; ; ;1;224000;1;30000;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;1;300000;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;98; ;.;98; ; ;4;8; ;1; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;1;8; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;58;01;1;8;0113; ; ;754000;03;63;3071,43324657537
4284680;1;1;1;60;2;63;1;1; ; ;1; ; ;1;1;2;1;60; ;1; ;2;760000;2; ; ;2; ;1;300000;2; ;2; ;2; ; ;2; ; ;1;33000;2;2; ; ;2; ; ;2; ; ;1;760000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;50; ;.;50; ; ;4;8; ;1; ;1;2;3;7;1;1; ; ; ; ; ; ; ; ;1;2;1;0;18;1; ;1;63;3;4; ;200000;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;8; ;61;01;1;1;0113; ; ;1260000;03;63;1475,51828515562
4284680;1;2;1;60;2;63;2; ; ; ; ; ; ; ; ; ; ;60; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.;12;40; ;.;40; ; ;2;1; ;3; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;36;12;6; ;2; ; ; ; ; ; ; ;2; ; ; ;1;1;2;1;2;2;2;1;1;1;2; ;2;1;2;2;1;2;1;1;3; ;53;55;1;6;5521; ; ; ;03;63;1475,51828515562
4284681;1;2;1;60;2;63;1;2;2;12;2;4;VIPCOL LTDA;1;1;2;1;3; ;2; ;2;737700;1;200000;2;2; ;2; ;2; ;2; ;2; ; ;1;83100;2;1;28000;2;2; ; ;2; ; ;2; ; ;1;690000;2; ;2; ;2; ;2; ;1;15; ; ; ; ; ; ; ; ; ; ; ;11;60; ;.;75; ; ;9;7; ;1; ;1;1;1;4;1;1; ; ; ; ; ; ; ; ;1;1;1;1;12;1; ;2; ; ; ; ; ; ; ;2; ; ; ;1;1;1;1;1;2;2;2;1;2;2; ;2;1;1;2;2;2;1;2;7; ;58;55;1;1;5511;7492;74;737700;03;63;4354,80183761912
