DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011;AREA
4273685;1;3;1;70;1;8;48;1; ;2;8;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;60000;79;79;18;1;1;1810;03;05;999,417715910887;05
4273694;1;9;1;70;1;8;48;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5233;03;05;1042,14248505207;05
4273695;1;3;1;70;1;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;01; ; ;1;1; ;03;05;1002,0709660075;05
4273702;1;1;1;70;1;6;48;1; ;2;4;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;1;600000;02;02;45;1;1;4522;03;05;1013,53639850304;05
4273704;1;2;1;70;1;4;16;4; ;2;10;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;79;79;52;1;1;5271;03;05;987,329457777555;05
4273734;1;3;1;70;1;4;48;1; ;2;10;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;55000;55;80;19;1;1;1925;03;05;894,841158806169;05
4273759;1;2;1;70;1;24;48;1; ;2;36;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;77;52;1;2;5211;03;05;1077,37161864812;05
4273760;1;2;1;70;1;4;48;1; ;2;96;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;83;36;1;1;3699;03;05;1134,05464942997;05
4273778;1;5;1;70;1;32;40;1; ;2;32;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;55;15;1;2;1530;03;13;426,490046811126;13
4273784;1;3;1;70;1;26;48;1; ;2;26;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;92;1;2;9242;03;13;377,50694304027;13
