DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4284700;1;3;1;70;2;20;48;1; ;2;20;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;2;5233;03;63;1319,06857359565
4284702;1;2;1;70;2;6;48;3; ;2;54;3; ;1;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;1;9500;03;63;1079,27270494447
4284718;1;3;1;70;2;3;48;1; ;2;3;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1200000;38;44;64;1;1;6421;03;63;960,866160506655
4285397;1;1;1;70;2;8;40;1; ;2;8;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;53;13;1;1;1320;03;52;1151,42158433798
4285397;1;3;1;70;2;8;40;1; ;2;8;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;58;53;55;1;1;5521;03;52;1151,42158433798
4285400;1;2;1;70;2;104;28;1; ;2;104;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;56;95;1;2;9500;03;52;1835,80629734738
4285410;1;3;1;70;2;8;48;1; ;2;21;6; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;100000;45;61;01;1;1;0140;03;52;1805,53186462551
4285444;1;3;1;70;2;8;44;4; ;2;8;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;59;13;80;1;1;8041;03;52;2225,18167249255
4285445;1;2;1;70;2;2;40;1; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;55;61;01;1;1;0140;03;52;2580,14305547695
4285531;1;3;1;70;2;12;45;8; ;2;12;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;62;62;01;1;1;0111;03;76;3176,24542525418
4289157;1;3;1;70;2;32;32;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;03;19;785,871606642537
4289166;1;3;1;70;2;12;48;1; ;2;12;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;58;58;15;1;1;1530;03;19;1465,57360467144
4289186;1;3;1;70;2;4;40;3; ;2;8;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;1;9500;03;19;1355,28607109103
4289252;2;2;2;70;2;16;40;3; ;2;68;3; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;54;54;95;1;2;9500;03;19;828,09490674396
4289439;1;1;1;70;2;4;40;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;100000;45;45;52;1;1;5262;03;54;1579,49871615206
4289851;1;2;1;70;2;55;50;4; ;2;32;6; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;41;62;01;1;2;0119;03;76;1510,9388786386
4289852;1;4;1;70;2;11;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;03;76;1815,47580673045
4289857;1;2;1;70;2;8;40;1; ;2;17;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;39;53;55;1;1;5529;03;76;1889,23840921838
4289863;1;2;1;70;2;6;40;1; ;2;4;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;1;980000;63;63;02;1;1;0201;03;76;2310,29356272702
4289864;1;1;1;70;2;5;48;1; ;2;7;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;55;1;1;5521;03;76;1874,76824911288
4289873;1;3;1;70;2;35;30;3; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;25000;54;71;13;1;2;1320;03;76;1232,53485118921
4289880;1;1;1;70;2;4;45;4; ;2;4;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;193000;62;62;01;1;1;0111;03;76;2661,34757733475
4289883;1;1;1;70;2;1;45;1; ;2;4;7; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;53;01;1;1;0111;03;76;4890,9795729786
4289909;1;2;1;70;2;17;40;1; ;2;176;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;79;54;55;1;2;5511;03;76;7051,41458404865
4289909;1;3;1;70;2;37;72;1; ;2;43;1; ;8;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;87;98;28;1;2;2811;03;76;7051,41458404865
4289910;1;4;1;70;2;4;48;1; ;2;4;1; ;8;2;7; ; ; ; ; ; ; ; ; ; ;1;1;600000;97;97;45;1;1;4530;03;76;4442,3765220927
4289918;1;5;1;70;2;12;48;1; ;2;12;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;87;87;28;1;1;2811;03;76;3843,13682164832
