DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6440;P6450;P6460;P6460S1;P6400;P6422;P6424;P6424S2;P6424S3;P6424S1;P6426;P6430S1;P6480;P6480S1;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585;P6585S2A1;P6585S3A1;P6585S4A1;P6585S3A2;P6585S2A2;P6585S1A2;P6585S2;P6585S3;P6585S1A1;P6585S4;P6585S1;P6580;P6580S1;P6580S2;P6630;P6630S3;P6630S4A1;P6630S3A1;P6630S2A1;P6630S1A1;P6630S4;P6630S2;P6630S1;P6640;P6642;P6642S2;P6642S1;P6765;P6765S1;P6772;P6750;P6760;P550;P6780;P6780S1;P6790;P6410;P6640S1;P6642S5;P6642S4;P6642S3;P6642S6;P9440;P6630S6;P6630S6A1;P6410S1;P6545S1;P6545;P6545S2;P6585S4A2;P6773S1;P6775;P6772S1;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6835;P6835S1;P6835S2;P6836;P6836S1;P6836S2;P6837;P6837S1;P6837S2;P6870;P6880;P6880S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S8;P6980S7A1;P6990;P7020;P7026;P7028;P7028S1;P7040;P7045;P7050;P7050S1;P7070;P760;P9450;P6915S1;P6915;P6773;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170;P7170S1;P7170S2;P7170S3;P7170S4;P7170S5;P7170S6;P7180;P7190;P7200;P7240;P7240S1;OFICIO;RAMA2D;OCI;P6430;P6420S1;RAMA4D;RAMA4DP8;RAMA2DP8;INGLABO;MES;DPTO;fex_c_2011;P6643;P6643S1;P6643S2;P6644;P6644S1;P6644S2;P6643S3;P6644S3
3040032;1;1;1;60;2;1;1; ; ;1;1; ;2;2;2;36; ;1; ;520000;2; ; ;2; ;1;180000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;1;2; ; ; ; ; ; ; ; ; ; ;12; ;8;12;8; ;4;2;2; ; ; ;2; ; ; ; ; ;40; ;.;48; ; ;1;8;12;1;14;18;2; ; ;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;24;1; ;2; ; ; ; ;5;2; ;2; ; ; ;1;14;1;1;1;1;1;1;2;2;2;2;2;2;2; ;1;1; ;2;2;2;3;3;3;2;3;3;5; ;62;01;1;1; ;0113; ; ;700000;09;63;1196,14406423891;1;14;18;2; ; ;4; 
3040033;1;1;1;60;2;1;1; ; ;1;1; ;1;1;1;156; ;1; ;570000;2; ; ;2; ;1;100000;2; ;2; ; ; ;22000; ;2; ; ;2;1; ;2;2;2; ; ; ;2; ; ;570000; ;2;1;2;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;50; ;.;50; ; ;1;6;12;1;13;17;2; ; ;3;8; ;1;1;1;5;1; ; ; ; ; ; ; ;1; ;1;1;84;4; ;1;5;4; ;30000;0;1; ;1; ;1;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;8; ;60;01;1;1; ;0113; ; ;700000;09;63;938,187981036626; ; ; ; ; ; ; ; 
3040033;1;4;1;60;2;1;1; ; ;1;1; ;2;2;2;24; ;1; ;320000;2; ; ;2; ;1;100000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;50; ;.;50; ; ;1;6;12;1;13;17;2; ; ;3;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;48;8; ;2; ; ; ; ;1;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;8; ;62;01;1;8; ;0113; ; ;420000;09;63;938,187981036626; ; ; ; ; ; ; ; 
3040034;1;1;1;60;2;1;1; ; ;1;1; ;1;1;1;24; ;1; ;570000;2; ; ;2; ;1;100000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ;570000; ;2;1;2;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;50; ;.;50; ; ;1;6;12;1;13;17;2; ; ;3;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;120;1; ;2; ; ; ; ;1;2; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;8; ;60;01;1;1; ;0113; ; ;670000;09;63;857,746894626213; ; ; ; ; ; ; ; 
3040058;1;3;1;60;2;1;1; ; ;1;1; ;1;1;1;72; ;1; ;600000;2; ; ;2; ;1;100000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;1; ;170000;250000;250000;2;1;1;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;50; ;.;50; ; ;1;6;12;1;13;18;2; ; ;4;8; ;1;1;3;5;1;1; ; ; ; ; ; ; ; ;1;2; ; ; ;2; ; ; ; ; ;2; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;8; ;60;01;1;1; ;0113; ; ;700000;09;63;1219,5740183948; ; ; ; ; ; ; ; 
3040060;1;1;1;60;2;1;1; ; ;1;1; ;2;2;2;72; ;1; ;540000;2; ; ;2; ;1;120000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;50; ;.;50; ; ;1;6;12;1;13;18;2; ; ;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;1;1;86;4; ;2; ; ; ; ;0;2; ;2; ; ; ;1;6;2;1;1;1;1;1;2;2;2;2;2;2;2; ;2;1; ;2;2;2;2;2;2;2;2;3;8; ;60;01;1;1; ;0113; ; ;660000;09;63;891,510912866464; ; ; ; ; ; ; ; 
3040061;1;1;1;60;2;1;1; ; ;1;1; ;2;2;2;5; ;1; ;610000;2; ; ;2; ;1;60000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;50; ;.;50; ; ;1;6;12;1;13;18;2; ; ;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;3;4; ;2; ; ; ; ;0;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;3;3;2;2;2;3;8; ;60;01;1;1; ;0117; ; ;670000;09;63;1094,64159982586; ; ; ; ; ; ; ; 
3040062;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;252; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;350000;1;2600000;3; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ;50; ;.;50; ; ;1;6;12;1;13;18;2; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;2; ; ; ;2; ; ; ; ; ;2; ;11; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;2;3;8; ;61;01;1;4; ;0113; ; ;350000;09;63;1067,11298851113; ; ; ; ; ; ; ; 
3040062;1;3;1;60;2;2; ; ; ; ; ; ; ; ; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;240000;1;2888000;3; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ;50; ;.;50; ; ;1;6;12;1;13;18;2; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;2; ; ; ;2; ; ; ; ; ;2; ;2; ; ; ;2; ; ; ;1;1;1;1;1;2;2;2;2;2;2; ;1;1; ;3;3;3;3;3;3;2;2;3;3; ;97;63;1;4; ;6310; ; ;240000;09;63;1067,11298851113; ; ; ; ; ; ; ; 
3040062;1;4;1;60;2;1;2;2;3;1;1; ;2;2;2;1; ;1; ;594000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ;.; ; ; ; ; ;.;5; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;40; ;.;40; ; ;2; ; ; ; ; ; ; ; ;9;7; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;1;1; ;2; ; ; ; ;7;2; ;5; ; ; ;2; ; ; ;1;1;1;1;1;2;2;2;2;2;2; ;1;1; ;3;3;3;3;3;3;2;2;3;3; ;45;52;1;1; ;5233; ; ;594000;09;63;1067,11298851113; ; ; ; ; ; ; ; 
