DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,OFICIO1,OFICIO2,RAMA2D_D,DSI,DSCY,RAMA4D_D,MES,DPTO,AREA,fex_c_2011
2705284,1,2,1,70,1,8,48,4,,2,8,4,,9,1,,,,1,,,,,,,,2,,2,2,39,75,1,1,7512,6,73,73,270.400.597.279.603
2705296,1,2,1,70,1,4,48,1,,2,96,1,,9,2,,,,,,,,,,1,,2,,2,59,33,64,1,1,6411,6,73,73,256.060.732.681.862
2705306,1,3,1,70,1,4,48,1,,2,4,1,,9,1,,,,,,,,,,1,,1,850000,2,97,37,64,1,1,6412,6,73,73,259.507.688.348.929
2705309,1,3,1,70,1,104,48,1,,2,104,1,,9,1,,,,,,,,,,1,,2,,2,21,44,65,1,2,6512,6,73,73,240.824.951.840.563
2705310,1,2,1,70,1,3,30,1,,2,3,1,,6,1,,,1,,,,,,,,,1,950000,2,13,13,80,1,1,8011,6,63,63,150.221.827.040.459
2705311,1,4,1,70,1,1,70,1,,1,,,.,,,.,.,,,,,,,,,.,,,,33,,,1,1,,6,63,63,170.356.113.056.924
2705314,2,2,2,70,1,36,40,1,,2,60,1,,2,2,,,,,,,,,,1,,2,,2,59,45,52,1,2,5233,6,63,63,948.295.336.134.779
2705318,1,2,1,70,1,3,48,1,,2,3,4,,1,1,,,,,,,,,,1,,1,650000,2,93,93,50,1,1,5020,6,63,63,956.861.896.693.971
2705336,1,4,1,70,1,4,48,4,,2,4,4,,1,1,,,,,,,,,,1,,1,400000,2,95,95,45,1,1,4521,6,63,63,100.555.994.754.824
2705337,1,6,1,70,1,36,48,1,,2,136,1,,3,1,,,,,,,,,,1,,2,,2,45,45,52,1,2,5242,6,63,63,152.303.217.190.273
2705353,1,2,1,70,1,40,48,1,,2,780,1,,4,1,,,,,,,,,,1,,2,,2,55,55,15,1,2,1551,6,23,23,145.942.537.898.523
2705355,1,2,1,70,1,4,45,1,,2,4,1,,9,4,,,,,,,,,,1,,1,800000,2,33,8,85,1,1,8532,6,23,23,125.876.275.556.994
2705355,1,3,1,70,1,8,45,1,,2,52,4,,9,4,,,,,,,,,,1,,2,,2,33,39,75,1,1,7512,6,23,23,125.876.275.556.994
2705369,1,2,1,70,1,4,48,1,,2,4,1,,3,2,,,,,,,,,,1,,1,400000,2,87,87,50,1,1,5020,6,15,15,100.207.493.309.278
2705384,1,1,1,70,1,48,24,1,,2,1,1,,9,4,,,,,,,,,,1,,2,,2,45,38,74,1,2,7492,6,27,27,247.686.882.933.719
2705394,1,3,1,70,1,2,15,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,1,,6,68,68,475.831.683.241.686
2705396,1,1,1,70,1,20,48,1,,2,44,4,,1,1,,,,,,,,,1,,YA ES PENSIONADO,2,,2,85,85,74,1,2,7493,6,68,68,719.332.061.429.692
2705416,1,1,1,70,1,21,48,1,,2,24,1,,3,1,,,,,,,,,,1,,2,,2,53,53,55,1,2,5522,6,17,17,167.550.065.137.065
2705417,1,3,1,70,1,24,48,1,,2,4,1,,4,1,,,,,,,,,,1,,1,300000,2,45,45,52,1,2,5234,6,17,17,269.846.707.085.064
2705423,1,2,1,70,1,48,48,1,,2,240,2,,7,2,,,,,,,,,,1,,2,,2,38,55,80,1,2,8043,6,17,17,228.908.525.068.042
2705430,1,2,1,70,1,22,48,4,,2,16,4,,1,1,,,,,,,,,,1,,2,,2,55,55,74,1,2,7493,6,63,63,163.296.914.879.285
2705430,1,6,1,70,1,21,48,1,,2,36,1,,4,1,,,,,,,,,,1,,2,,2,45,45,52,1,2,5233,6,63,63,163.296.914.879.285
2705431,1,4,1,70,1,36,48,1,,2,38,4,,1,1,,,,,,,,,,1,,2,,2,45,97,74,1,2,7495,6,63,63,116.383.121.951.979
2705439,1,2,1,70,1,12,48,1,,2,44,4,,1,2,,,,,,,,,,1,,2,,2,3,3,72,1,1,7250,6,63,63,116.020.855.562.841
2705439,1,3,1,70,1,4,48,4,,2,99,5,,2,2,,,,,,,,,,1,,2,,2,41,53,55,1,1,5522,6,63,63,116.020.855.562.841
2705445,1,3,1,70,1,4,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,1,,6,63,63,133.750.897.675.944
2705447,1,2,1,70,1,156,44,1,,2,48,1,,8,2,,,,,,,,,,1,,2,,2,32,32,18,1,2,1810,6,73,73,269.772.297.548.205
2705448,1,2,1,70,1,8,48,1,,2,12,1,,9,1,,,,,,,,,,1,,2,,2,45,33,52,1,1,5219,6,73,73,215.046.027.026.748
2705448,1,4,1,70,1,104,54,1,,2,104,1,,4,2,,,,,,,,,,1,,2,,2,87,87,50,1,2,5020,6,73,73,215.046.027.026.748
2705451,1,1,1,70,1,2,50,4,,2,2,5,,2,1,,,,,,,,,,1,,1,600000,2,95,95,45,1,1,4521,6,73,73,248.192.550.649.265
2705451,1,3,1,70,1,2,50,1,,2,22,1,,2,1,,,,,,,,,,1,,2,,2,95,95,45,1,1,4522,6,73,73,248.192.550.649.265
2705456,1,5,1,70,1,4,48,4,,2,4,4,,1,1,,,,,,,,,,1,,1,450000,2,93,93,45,1,1,4552,6,73,73,192.348.217.093.753
