Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Area;Mes;Dpto;Fex_c_2011
3332388;1;4;3;1;1;1;1;1;4;1; ; ;20000000;300000; ;2;2;1;1;1;1;2;2;2;1;1;1;2;2;1;1;1;1;1;2;2;1;3;2;2; ;4;1;1;1;2;1;1;1;1;1;2;3;1;01;73;11;73;253,173963280619
3332389;1;3;2;1;1;1;1;1;3;3; ; ; ; ;300000;1;2;1;1;1;2;2;2;2;1;1;2;2;2;2;1;1;1;1;1;2;1;2;2;1;1;4;1;1;1;4;1;1;1;1;1;2;3;2;01;73;11;73;205,67155197142
3332390;1;4;3;1;1;1;1;1;3;3; ; ; ; ;300000;2;2;1;2;2;1;2;2;1;1;2;2;2;2;1;1;1;1;1;1;2;1;2;2;2; ;4;1;1;1;4;1;1;1;1;1;2;3;1;01;73;11;73;172,212214479005
3332391;1;4;1;1;1;1;1;1;3;3; ; ; ; ;210000;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2;1;1;2;2; ;1;1;2;1;2;1;1;1;1;1;2;3;1;01;73;11;73;237,510533884965
3332392;1;6;3;1;1;1;1;1;3;1; ; ;98;400000; ;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;4;1;1;1;4;1;1;1;1;1;2;3;2;01;73;11;73;194,053457539561
3332393;1;3;1;1;1;1;1;1;3;1; ; ;40000000;250000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;1;3;1;01;73;11;73;221,5952399656
3332394;1;4;3;1;1;1;1;1;3;3; ; ; ; ;270000;2;2;1;2;2;1;2;2;2;1;2;1;2;2;2;1;1;1;1;1;2;1;2;2;2; ;4;1;1;1;4;1;1;1;1;1;2;3;1;01;73;11;73;233,069155361424
3332396;1;3;2;1;1;1;1;1;3;3; ; ; ; ;200000;1;2;1;1;2;1;2;2;2;1;2;2;2;2;1;2;1;1;1;2;2;1;2;2;2; ;3;1;2;1;2;1;1;1;1;1;2;3;2;01;73;11;73;199,201087250293
3332397;1;1;1;1;2;1;1;6; ;3; ; ; ; ;50000;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;4;1;2;1;1;1;1;1;2;3;2;01;73;11;73;245,925689998048
3332398;1;4;2;1;1;1;1;1;3;4; ; ; ;150000; ;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;2;1;2;1;1;1;1;1;2;3;1;01;73;11;73;221,756975572855
3332399;1;2;2;1;1;1;1;1;5;1; ; ;10000000;150000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;1;2;2; ;3;1;1;1;2;1;1;1;1;1;2;3;1;01;73;11;73;292,174248420444
3332400;1;3;2;1;1;1;1;1;3;1; ; ;50000000;350000; ;2;2;1;1;1;2;2;2;2;1;2;1;2;2;2;1;1;1;1;2;2;1;3;2;2; ;4;1;1;1;2;1;1;1;1;1;1;3;2;01;73;11;73;233,069155361424
3332401;1;3;3;1;2;1;1;1;4;3; ; ; ; ;300000;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2; ;7;1;3;1;2;1;2;1;1;1;3;7;2;01;73;11;73;372,667748715338
3332402;1;2;2;1;2;1;1;1;4;3; ; ; ; ;280000;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;1;2;2;1;1;2;2; ;4;1;3;1;2;1;2;1;1;1;3;7;2;01;73;11;73;331,960137940353
3332403;1;3;1;1;1;1;1;1;3;4; ; ; ;120000; ;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;1;1;2;1;1;1;1;1;1;3;2;01;73;11;73;208,345985648472
3332404;1;2;1;1;2;1;1;1;4;3; ; ; ; ;210000;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;3;1;4;1;2;1;1;1;3;7;2;01;73;11;73;208,345985648472
3332406;1;4;3;1;1;1;1;1;4;2; ;712000;98;400000; ;1;1;1;2;1;1;2;2;2;1;2;2;1;2;1;1;1;1;1;2;2;1;4;2;2; ;4;1;1;1;4;1;2;1;1;1;4;3;2;01;73;11;73;225,707212747946
3332407;1;3;2;1;1;1;1;1;4;3; ; ; ; ;450000;2;2;1;1;2;1;2;2;2;1;1;2;2;2;1;2;1;1;1;1;2;1;3;2;2; ;3;1;2;1;4;1;2;1;1;1;4;3;2;01;73;11;73;233,960633253775
3332408;1;5;3;1;1;1;1;1;3;2; ;700000;150000000;700000; ;1;2;1;2;1;1;2;2;1;1;2;2;1;2;1;1;1;1;1;1;2;1;3;2;2; ;3;1;1;1;4;1;1;1;1;1;4;3;2;01;73;11;73;213,503555067026
3332409;1;5;1;1;1;1;1;1;3;1; ; ;120000000;600000; ;1;2;1;2;1;2;1;2;1;1;2;2;2;2;2;1;1;1;1;1;2;1;1;2;2; ;1;1;1;1;4;1;1;1;1;1;4;3;1;01;73;11;73;221,5952399656
3332410;1;5;1;1;1;1;1;1;3;1; ; ;200000000;1000000; ;1;2;1;1;1;1;2;2;1;1;2;2;1;2;1;1;1;1;1;1;1;1;1;2;2; ;1;1;1;1;4;1;1;1;1;1;4;3;2;01;73;11;73;208,345985648472
3332411;1;6;1;1;1;1;1;1;3;1; ; ;250000000;1500000; ;1;1;1;1;1;1;1;2;2;1;2;2;1;2;1;1;1;1;1;1;1;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;5;2;1;01;17;11;17;156,120614440727
3332412;1;3;3;1;1;1;1;1;3;1; ; ;700000000;300000; ;1;1;1;1;1;1;2;2;2;1;2;1;2;2;1;1;1;1;1;2;2;1;3;2;2; ;4;1;1;1;2;1;1;1;1;1;2;2;1;01;17;11;17;178,895104995889
3332413;1;5;4;1;1;1;1;1;3;3; ; ; ; ;250000;1;1;1;1;1;1;2;2;2;1;1;1;2;2;1;1;1;1;1;1;1;1;5;2;2; ;6;1;1;1;4;1;1;1;1;1;2;2;1;01;17;11;17;225,81972151258
3332414;1;3;2;1;1;1;1;1;3;2; ;200000;80000000;500000; ;1;1;1;1;2;1;2;2;2;1;1;2;2;2;1;1;1;1;1;2;2;1;3;2;2; ;3;1;1;1;4;1;1;1;1;1;2;2;1;01;17;11;17;121,224754666982
3332416;1;6;4;1;1;1;1;1;3;3; ; ; ; ;1000000;1;1;1;1;2;1;1;2;2;1;1;1;1;2;1;1;1;1;1;1;1;1;4;2;2; ;4;1;1;1;5;1;1;1;1;1;5;2;1;01;17;11;17;159,706352694298
3332417;1;4;2;1;1;1;1;1;3;3; ; ; ; ;800000;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;1;1;1;1;1;1;1;2;2;2; ;3;1;2;1;5;1;1;1;1;1;5;2;1;01;17;11;17;213,623951404266
3332418;1;7;6;1;1;1;1;1;3;1; ; ;40000000;300000; ;1;1;1;1;1;1;1;2;2;1;1;1;2;1;1;1;1;1;1;1;1;1;5;2;2; ;5;1;1;1;4;1;1;1;1;1;2;2;1;01;17;11;17;209,297956725978
3332419;1;4;2;1;1;1;1;1;3;3; ; ; ; ;340000;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;2;1;3;2;2; ;3;1;1;1;4;1;1;1;1;1;2;2;1;01;17;11;17;194,036446885467
3332421;1;5;3;1;1;1;1;1;4;1; ; ;200000000;800000; ;1;1;1;1;1;1;1;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;4;2;2; ;4;1;1;1;5;1;2;1;1;1;5;2;1;01;17;11;17;102,985854049739
3332422;1;5;4;1;1;1;1;1;3;3; ; ; ; ;350000;2;1;1;1;1;1;2;2;2;1;2;1;2;2;1;1;1;1;1;1;2;1;3;2;2; ;6;1;1;1;4;1;1;1;1;1;2;2;1;01;17;11;17;162,137434082229
3332423;1;5;4;1;1;1;1;1;3;2; ;130000;10000000;400000; ;1;2;1;2;1;1;2;2;2;1;1;1;2;2;1;2;1;1;1;2;2;1;3;2;2; ;6;1;1;1;2;1;1;1;1;1;2;2;1;01;17;11;17;198,304570584075
3332424;1;3;2;1;1;1;1;1;3;3; ; ; ; ;270000;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;1;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;1;2;1;01;17;11;17;140,129873740744
3332425;1;3;2;1;1;1;1;1;3;1; ; ;98;200000; ;2;2;1;1;2;1;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;1;1;2;2; ;2;1;1;1;4;1;1;1;1;1;1;2;1;01;17;11;17;163,613781245753
3332427;1;4;3;1;1;1;1;1;4;3; ; ; ; ;320000;2;2;1;2;1;1;2;2;2;2;1;2;2;2;1;2;1;2;1;2;2;1;2;2;2; ;5;1;2;4;3;1;2;1;1;1;3;2;1;01;17;11;17;181,65125834868
3332428;1;2;1;1;2;1;1;1;4;4; ; ; ;300000; ;1;1;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;1;1;3;4;3;1;2;1;1;1;3;2;1;01;17;11;17;175,025733514489
3332429;1;5;3;1;1;1;1;1;4;3; ; ; ; ;500000;1;1;1;1;1;1;1;2;2;1;1;2;1;1;1;1;1;1;1;1;2;1;3;2;2; ;3;1;2;1;3;1;2;1;1;1;3;2;1;01;17;11;17;121,890973123501
3332430;1;2;1;1;2;1;1;1;4;3; ; ; ; ;100000;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2; ;1;1;2;4;6;1;2;1;1;1;3;2;1;01;17;11;17;174,238989391187
3332430;2;4;1;1;2;1;1;1;4;3; ; ; ; ;350000;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;2;2;4;6;1;2;1;1;1;3;2;1;01;17;11;17;174,238989391187
