DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P6440;P6450;P6460;P6460S1;P6400;P6422;P6424;P6424S2;P6424S3;P6424S1;P6426;P6430;P6430S1;P6480;P6480S1;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585;P6585S2A1;P6585S3A1;P6585S4A1;P6585S3A2;P6585S2A2;P6585S1A2;P6585S2;P6585S3;P6585S1A1;P6585S4;P6585S1;P6580;P6580S1;P6580S2;P6630S3;P6630S4A1;P6630S3A1;P6630S2A1;P6630S1A1;P6630S4;P6630S2;P6630S1;P6640;P6642S2;P6642S1;P6765;P6765S1;P6772;P6750;P6760;P550;P6780;P6780S1;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6835;P6835S1;P6835S2;P6836;P6836S1;P6836S2;P6837;P6837S1;P6837S2;P6870;P6880;P6880S1;P6910;P6910S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S8;P6980S7A1;P6990;P7020;P7026;P7028;P7028S1;P7040;P7045;P7050;P7050S1;P7070;P760;P6410;P6640S1;P6642S11;P6642S7;P6642S8;P6642S9;P6642S10;P6642S12;P6642S5;P6642S4;P6642S3;P6642S6;P9440;P9450;P6630S6;P6630S6A1;P6410S1;P6545S1;P6545;P6545S2;P6915S1;P6915;P6585S4A2;P6773;P6773S1;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170;P7170S1;P7170S2;P7170S3;P7170S4;P7170S5;P7170S6;P7180;P7190;P7200;P7240;P7240S1;CLASE;OCI;P6420S1;RAMA4D;OFICIO;RAMA2D;RAMA4DP8;RAMA2DP8;DPTO;fex_c_2011
595481;1;1;60;2;;;;;;;;;;3;8;;1;;340000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;10;44;;.;54;;;1;7;12;1;13;17;2;;;2;8;;;;2;;;;1;;;;;;;;1;;2;1;10;8;;2;;;;;2;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;3;8;;2;1;;124;62;1;;;68;640.817.840.800.999
595481;1;2;60;2;;;;;;;;;;168;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;96000;1;;1;;12;18;1;;18;;;2;;;;;;;;;1;2;;;;2;;;;1;;;;;;;;1;;2;1;54;4;;2;;;;;24;;;;;;;;;;;;;;2;;;;;;;;2;;;;1;20;2;1;1;1;2;1;2;2;2;2;2;2;2;;2;1;;2;3;2;3;3;3;2;2;3;9;;2;1;;7493;55;74;;;68;640.817.840.800.999
595481;1;3;60;2;;;;;;;;;;24;1;;2;;360000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;77;;.;77;;;1;7;12;1;13;19;2;;;4;7;;;;2;;;;1;;;1;;;;;;;2;2;;;;2;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;1;1;1;1;1;1;2;2;2;2;2;;2;1;;3;3;3;3;3;3;2;2;3;2;;2;1;;5522;53;55;;;68;640.817.840.800.999
595481;1;4;60;2;;;;;;;;;;36;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;10000;1;;1;;12;6;2;;6;;;2;;;;;;;;;1;6;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;3;2;3;3;3;2;1;3;8;;2;1;;6310;97;63;;;68;640.817.840.800.999
595483;1;1;60;2;;;;;;;;;;24;1;;1;;400000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;90;;.;90;;;2;;;;;;;;;3;1;;;;2;;;;1;;;;;;;;1;;2;1;12;1;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;11;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;3;8;;2;1;;3691;88;36;;;68;677.720.368.761.381
595483;1;2;60;2;;;;;;;;;;24;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;18;2;;18;;;2;;;;;;;;;3;1;;;;2;;;;1;;;;;;;;1;;2;1;13;4;;2;;;;;8;;;;;;;;;;;;;;2;;;;;;;;8;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;3;3;2;2;2;4;3;;2;1;;3691;88;36;;;68;677.720.368.761.381
595486;1;1;60;2;;;;;;;;;;12;3;;1;;150000;2;;;1;105000;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;60;;.;60;;;1;6;12;1;13;18;2;;;1;2;;;;2;;;;1;;;;;;;;1;;2;1;48;4;;1;9;4;;43000;0;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;1;1;2;1;2;2;2;2;2;2;2;;2;1;;2;3;2;3;3;3;2;3;1;5;;2;1;;9500;54;95;;;68;655.368.263.159.813
595493;1;1;60;2;;;;;;;;;;120;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;300000;1;;1;;12;36;1;;36;;;1;8;14;2;;;;;;1;1;;;;2;;;;1;;;;;;;;1;;2;1;180;1;;2;;;;;0;;;;;;;;;;;;;;2;;;;;;;;2;;;;1;30;2;1;2;;;;;;;;;;;;;;;2;3;2;4;4;3;2;2;3;5;;2;1;;2429;74;24;;;68;611.235.107.443.968
595494;1;1;60;2;;;;;;;;;;144;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;300000;1;;3;;12;60;;.;60;;;1;8;12;1;13;18;2;;;1;2;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;3;2;3;3;3;2;3;3;3;;2;1;;9301;56;93;;;68;650.260.039.479.304
595495;1;1;60;2;;;;;;;;;;300;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;600000;1;;3;;12;45;;.;45;;;1;7;12;1;13;17;2;;;1;7;;;;2;;;;1;;;;;;;;1;;2;1;216;1;;2;;;;;2;;;;;;;;;;;;;;2;;;;;;;;3;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;3;3;8;;2;1;;2899;83;28;;;68;845.341.953.395.774
