DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S4,P7510S6,P7510S2A1,P7510S4A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,CLASE,P7510S7A1,P7510S7,DPTO,fex_c_2011
600658,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,50,717.487.014.688.485
600659,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,50,826.547.707.558.297
600660,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,50,618.699.022.527.488
600660,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,50,618.699.022.527.488
600660,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,50,618.699.022.527.488
600660,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,50,618.699.022.527.488
600660,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,50,618.699.022.527.488
602908,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,20.903.470.195.601
602908,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,20.903.470.195.601
602909,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,198.072.894.507.489
602909,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,198.072.894.507.489
602913,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,312.374.070.989.722
602913,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,312.374.070.989.722
602913,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,312.374.070.989.722
602913,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,312.374.070.989.722
602914,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,300.067.107.318.942
602914,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,300.067.107.318.942
602914,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,300.067.107.318.942
602914,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,300.067.107.318.942
602914,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,300.067.107.318.942
602915,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,35.986.393.052.423
602915,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,35.986.393.052.423
602915,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,35.986.393.052.423
602915,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,35.986.393.052.423
602915,1,5,95,2,,,,,,,,1,2,,2,,,,,,200000,2,1,2,2,,2,25,35.986.393.052.423
602915,1,7,95,2,,,,,,,,1,2,,2,,,,,,800000,2,1,2,2,,2,25,35.986.393.052.423
602916,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,325.097.732.448.215
602916,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,325.097.732.448.215
602916,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,325.097.732.448.215
602916,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,325.097.732.448.215
602916,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,325.097.732.448.215
602920,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,234.798.252.897.812
602920,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,234.798.252.897.812
602920,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,234.798.252.897.812
