DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S4,P7510S6,P7510S2A1,P7510S4A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,CLASE,P7510S7A1,P7510S7,DPTO,fex_c_2011
605955,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,246.015.889.886.663
605955,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,246.015.889.886.663
605972,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,246.168.058.587.424
605972,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,246.168.058.587.424
605973,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,270.693.565.538.133
605973,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,270.693.565.538.133
605974,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,228.201.479.463.523
605974,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,228.201.479.463.523
605974,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,228.201.479.463.523
605975,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,228.201.479.463.523
605975,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,228.201.479.463.523
605975,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,228.201.479.463.523
605984,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,225.060.094.516.922
605984,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,225.060.094.516.922
605985,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,300.673.208.111.519
605985,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,300.673.208.111.519
605985,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,300.673.208.111.519
605987,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,320.174.953.000.036
605987,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,320.174.953.000.036
605987,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,320.174.953.000.036
605987,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,320.174.953.000.036
605988,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,244.958.186.045.964
605988,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,244.958.186.045.964
605988,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,244.958.186.045.964
605988,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,244.958.186.045.964
605993,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,258.709.973.957.259
605993,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,258.709.973.957.259
605993,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,258.709.973.957.259
605994,1,1,95,2,,,,,,,,1,2,,2,,,,,,300000,2,1,2,2,,2,19,26.774.692.173.031
605995,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,210.109.844.811.539
605995,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,210.109.844.811.539
605995,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,210.109.844.811.539
606007,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,254.510.885.169.959
606007,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,254.510.885.169.959
606007,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,254.510.885.169.959
606007,1,4,95,2,,,,,,,,1,2,,2,,,,,,40000,2,1,2,2,,2,19,254.510.885.169.959
606008,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,327.428.524.577.924
606009,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,227.472.847.918.416
606009,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,227.472.847.918.416
606010,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,149.603.568.689.032
606010,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,149.603.568.689.032
606010,1,3,95,2,,,,,,,,1,2,,2,,,,,,400000,2,1,2,2,,2,19,149.603.568.689.032
606011,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,27.493.782.861.935
606011,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,27.493.782.861.935
606011,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,27.493.782.861.935
606011,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,27.493.782.861.935
606011,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,27.493.782.861.935
606025,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,368.766.865.082.049
606025,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,368.766.865.082.049
606025,1,4,95,2,,,,,,,,1,2,,2,,,,,,120000,2,1,2,2,,2,19,368.766.865.082.049
606026,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,246.518.639.106.267
606026,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,246.518.639.106.267
606026,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,246.518.639.106.267
606026,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,246.518.639.106.267
606026,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,246.518.639.106.267
606026,1,6,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,246.518.639.106.267
606027,1,1,95,2,,,,,,,,1,2,,2,,,,,,600000,2,1,2,2,,2,19,270.693.565.538.133
606027,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,270.693.565.538.133
606029,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,27.599.553.246.005
606029,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,27.599.553.246.005
606029,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,27.599.553.246.005
606030,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,192.824.286.308.748
606030,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,192.824.286.308.748
606030,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,192.824.286.308.748
606031,1,1,95,2,,,,,,,,1,2,,2,,,,,,250000,2,1,2,2,,2,19,270.693.565.538.133
606031,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,270.693.565.538.133
606032,1,1,95,2,,,,,,,,1,2,,2,,,,,,600000,2,1,2,2,,2,19,262.349.371.148.922
606032,1,2,95,2,,,,,,,,1,2,,2,,,,,,120000,2,1,2,2,,2,19,262.349.371.148.922
606066,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,225.060.094.516.922
606066,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,225.060.094.516.922
606067,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,22.807.459.805.845
606067,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,22.807.459.805.845
606067,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,22.807.459.805.845
606068,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,267.310.991.082.832
606068,1,2,95,2,,,,,,,,1,2,,2,,,,,,3500000,2,1,2,2,,2,19,267.310.991.082.832
606068,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,267.310.991.082.832
606068,1,4,95,2,,,,,,,,1,2,,2,,,,,,120000,2,1,2,2,,2,19,267.310.991.082.832
606068,1,5,95,2,,,,,,,,1,2,,2,,,,,,50000,2,1,2,2,,2,19,267.310.991.082.832
606068,1,6,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,267.310.991.082.832
606068,1,7,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,267.310.991.082.832
606068,1,8,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,267.310.991.082.832
606071,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,28.014.063.806.196
606071,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,28.014.063.806.196
606071,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,28.014.063.806.196
606071,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,28.014.063.806.196
606072,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,309.518.530.495.314
606072,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,309.518.530.495.314
606072,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,309.518.530.495.314
606072,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,309.518.530.495.314
606079,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,246.015.889.886.663
606079,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,246.015.889.886.663
606080,1,1,95,2,,,,,,,,1,2,,2,,,,,,550000,2,1,2,2,,2,19,280.314.124.395.833
606080,1,2,95,2,,,,,,,,1,2,,2,,,,,,90000,2,1,2,2,,2,19,280.314.124.395.833
606081,1,1,95,2,,,,,,,,1,2,,2,,,,,,150000,2,1,2,2,,2,19,220.386.136.994.662
606081,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,220.386.136.994.662
606082,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,353.335.959.769.084
606082,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,353.335.959.769.084
606082,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,353.335.959.769.084
606083,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,246.015.889.886.663
606083,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,246.015.889.886.663
606084,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,2.754.666.805.397
606084,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,2.754.666.805.397
606084,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,2.754.666.805.397
606084,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,2.754.666.805.397
606098,1,1,95,1,,1,2,,,300000,2,1,2,,2,,,,,,1700000,2,1,2,2,,2,19,232.369.728.575.535
606103,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,2.819.566.798.094
606103,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,2.819.566.798.094
606103,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,2.819.566.798.094
606103,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,2.819.566.798.094
606103,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,2.819.566.798.094
606104,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,32.902.027.538.383
606104,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,32.902.027.538.383
606104,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,32.902.027.538.383
606104,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,32.902.027.538.383
606104,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,32.902.027.538.383
606105,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,250.717.727.893.567
606105,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,250.717.727.893.567
606105,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,250.717.727.893.567
606105,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,250.717.727.893.567
606105,1,6,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,250.717.727.893.567
606107,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,247.904.829.853.786
606107,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,247.904.829.853.786
606107,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,247.904.829.853.786
606107,1,4,95,2,,,,,,,,1,2,,2,,,,,,,2,2,2,2,600000,1,19,247.904.829.853.786
606107,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,247.904.829.853.786
606109,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,199.631.947.126.668
606109,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,199.631.947.126.668
606109,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,199.631.947.126.668
606110,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,353.864.811.689.434
606110,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,353.864.811.689.434
606115,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,24.903.039.342.819
606115,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,24.903.039.342.819
606115,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,19,24.903.039.342.819
606473,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,720.295.800.313.781
606474,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,543.698.551.383.816
606474,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,543.698.551.383.816
606475,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,543.698.551.383.816
606475,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,543.698.551.383.816
606476,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,636.235.264.491.859
606476,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,636.235.264.491.859
606476,1,4,95,2,,,,,,,,1,2,,2,,,,,,1000000,2,1,2,2,,2,54,636.235.264.491.859
606477,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,956.506.098.248.899
606477,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,956.506.098.248.899
606477,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,956.506.098.248.899
606477,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,956.506.098.248.899
606477,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,956.506.098.248.899
606477,1,6,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,956.506.098.248.899
606477,1,7,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,956.506.098.248.899
606478,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,826.547.707.558.297
606479,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,833.400.549.943.144
606479,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,833.400.549.943.144
606479,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,833.400.549.943.144
606479,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,833.400.549.943.144
606479,1,6,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,833.400.549.943.144
606480,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,548.281.127.692.956
606480,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,548.281.127.692.956
606480,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,548.281.127.692.956
606481,1,1,95,2,,,,,,,,1,2,,2,,,,,,1800000,2,1,2,2,,2,54,789.119.532.226.545
606481,1,2,95,2,,,,,,,,1,2,,2,,,,,,480000,2,1,2,2,,2,54,789.119.532.226.545
606482,1,1,95,2,,,,,,,,1,2,,2,,,,,,300000,2,1,2,2,,2,54,543.698.551.383.816
606482,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,543.698.551.383.816
606483,1,1,95,2,,,,,,,,1,2,,2,,,,,,1200000,2,1,2,2,867400,1,54,716.961.367.317.116
606483,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,716.961.367.317.116
606483,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,716.961.367.317.116
606484,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,708.393.429.401.289
606484,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,708.393.429.401.289
606485,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,520.295.151.039.509
606485,1,2,95,2,,,,,,,,1,2,,2,,,,,,125000,2,1,2,2,,2,54,520.295.151.039.509
606486,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,720.295.800.313.781
606487,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,759.530.301.120.322
606487,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,759.530.301.120.322
606487,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,759.530.301.120.322
606487,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,759.530.301.120.322
606487,1,6,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,759.530.301.120.322
606487,1,7,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,759.530.301.120.322
606488,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,569.224.355.803.077
606488,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,569.224.355.803.077
606489,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,639.221.084.097.416
606489,1,2,95,2,,,,,,,,1,2,,2,,,,,,360000,2,1,2,2,,2,54,639.221.084.097.416
606489,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,639.221.084.097.416
606490,1,1,95,2,,,,,,,,1,2,,2,,,,,,3600000,2,1,2,2,,2,54,583.249.130.790.521
606491,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,720.295.800.313.781
606492,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,742.487.171.736.376
606492,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,742.487.171.736.376
606492,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,54,742.487.171.736.376
606849,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,849.557.091.743.428
606892,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,512.768.101.047.102
606892,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,512.768.101.047.102
606892,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,512.768.101.047.102
606892,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,512.768.101.047.102
606893,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,62.529.825.285.474
606893,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,62.529.825.285.474
606893,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,62.529.825.285.474
606893,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,62.529.825.285.474
606893,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,62.529.825.285.474
606893,1,6,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,62.529.825.285.474
606893,1,7,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,62.529.825.285.474
606932,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,733.441.467.867.286
606932,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,733.441.467.867.286
606975,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,934.149.172.384.329
606975,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,934.149.172.384.329
606975,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,934.149.172.384.329
606975,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,934.149.172.384.329
606976,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,576.829.720.879.424
606976,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,576.829.720.879.424
607019,1,1,95,2,,,,,,,,1,2,,2,,,,,,90000,2,1,2,2,,2,73,861.264.564.703.354
607019,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,861.264.564.703.354
607019,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,861.264.564.703.354
607019,2,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,861.264.564.703.354
607021,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,576.102.249.280.411
607021,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,576.102.249.280.411
607021,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,73,576.102.249.280.411
607254,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,339.198.895.573.961
607254,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,339.198.895.573.961
607255,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,441.534.923.225.145
607256,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,353.526.543.117.331
607256,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,353.526.543.117.331
607256,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,353.526.543.117.331
607257,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,363.732.134.564.039
607257,1,2,95,2,,,,,,,,1,2,,2,,,,,,1000000,2,1,2,2,,2,76,363.732.134.564.039
607257,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,363.732.134.564.039
607258,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,466.427.902.479.644
607259,1,1,95,2,,,,,,,,1,2,,2,800000,,,,,,2,2,1,2,,2,76,339.198.895.573.961
607259,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,339.198.895.573.961
607262,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,450.577.052.792.723
607262,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,450.577.052.792.723
607263,1,1,95,2,,,,,,,,1,2,,2,,,,,,2500000,2,1,2,2,,2,76,334.636.270.611.136
607264,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,267.700.320.033.273
607264,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,267.700.320.033.273
607264,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,267.700.320.033.273
607299,1,1,95,2,,,,,,,,1,2,,2,7200000,,,,,,2,2,1,2,,2,76,454.820.522.459.421
607299,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,454.820.522.459.421
607299,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,454.820.522.459.421
607301,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,344.301.691.297.315
607301,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,344.301.691.297.315
607303,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,466.427.902.479.644
607304,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,466.427.902.479.644
607306,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,433.859.621.111.948
607306,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,433.859.621.111.948
607307,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,397.461.908.028.796
607307,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,76,397.461.908.028.796
607307,1,3,95,2,,,,,,,,1,2,,2,2500000,,,,,,2,2,1,2,,2,76,397.461.908.028.796
607529,1,1,95,1,,2,1,,461500,,2,2,,,,,,,,,,,,,2,,,8,403.199.520.118.418
607538,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,8,59.484.684.902.946
607561,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,8,289.997.500.417.191
607561,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,8,289.997.500.417.191
607561,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,8,289.997.500.417.191
607561,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,8,289.997.500.417.191
607562,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,8,418.051.368.313.495
607562,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,8,418.051.368.313.495
607591,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,8,403.199.520.118.418
607643,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,8,450.268.135.666.406
607643,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,8,450.268.135.666.406
607643,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,8,450.268.135.666.406
607643,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,8,450.268.135.666.406
607643,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,8,450.268.135.666.406
607643,1,7,95,2,,,,,,,,1,2,,2,,,,,,300000,2,1,2,2,,2,8,450.268.135.666.406
607644,1,1,95,2,,,,,,,,1,2,,2,,,,,,200000,2,1,2,2,,2,8,403.199.520.118.418
607687,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,8,363.834.777.602.751
607687,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,8,363.834.777.602.751
607687,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,8,363.834.777.602.751
607689,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,8,566.933.508.030.402
607689,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,8,566.933.508.030.402
607690,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,8,596.139.520.163.272
607690,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,8,596.139.520.163.272
607799,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,11.194.772.864.022
607799,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,11.194.772.864.022
607800,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,103.629.259.241.531
607801,1,1,95,2,,,,,,,,1,2,,2,,,,,,600000,2,1,2,2,,2,15,11.194.772.864.022
607801,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,11.194.772.864.022
607802,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,103.225.158.074.218
607802,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,103.225.158.074.218
607803,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,127.596.685.773.245
607803,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,127.596.685.773.245
607803,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,127.596.685.773.245
607803,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,127.596.685.773.245
607803,1,6,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,127.596.685.773.245
607804,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,854.913.301.772.411
607804,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,854.913.301.772.411
607804,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,854.913.301.772.411
607805,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,921.947.318.338.329
