DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S4,P7510S6,P7510S2A1,P7510S4A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,DPTO,fex_c_2011
590777,1,1,5,95,1,,2,1,,1800000,,2,2,,,,,,,,,,,,,,,5,102.504.303.344.291
590777,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,102.504.303.344.291
590777,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,102.504.303.344.291
590777,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,102.504.303.344.291
590777,1,5,5,95,1,,2,1,,461500,,2,2,,,,,,,,,,,,,,,5,102.504.303.344.291
590780,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,595.825.098.075.643
590780,1,2,5,95,2,,,,,,,,1,2,,2,,,,,,1200000,2,1,2,,2,5,595.825.098.075.643
590781,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,789.962.525.434.962
590781,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,789.962.525.434.962
590781,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,789.962.525.434.962
590781,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,789.962.525.434.962
590782,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,699.078.951.928.497
590783,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,736.455.838.096.397
590783,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,736.455.838.096.397
590783,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,736.455.838.096.397
590783,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,736.455.838.096.397
590783,1,5,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,736.455.838.096.397
590783,1,6,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,736.455.838.096.397
590785,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,862.811.927.391.713
590785,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,862.811.927.391.713
590785,1,5,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,862.811.927.391.713
590786,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,834.536.791.075.913
590786,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,834.536.791.075.913
590787,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,955.544.041.112.868
590788,1,1,5,95,1,,2,1,,700000,,2,2,,,,,,,,,,,,,,,5,111.278.653.234.321
590788,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,111.278.653.234.321
590788,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,111.278.653.234.321
590788,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,111.278.653.234.321
590789,1,1,5,95,1,,1,2,,,150000,2,1,2,,2,,,,,,200000,2,1,2,,2,5,750.220.337.076.306
590789,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,750.220.337.076.306
590789,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,750.220.337.076.306
590790,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,621.170.614.977.585
