DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;DSI;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DPTO;fex_c_2011
590789;1;1;5;70;200;60;1;;2;100;1;;9;8;;;;;;;;;1;;ESPERANDO QUE LE DE EL SEGURO LAS SEMANAS COTIZADAS;2;;2;1;79;79;1741;17;5;750.220.337.076.306
590789;1;2;5;70;6;60;1;;2;6;1;;3;8;;;;;;;;;;1;;2;;2;1;37;37;1594;15;5;750.220.337.076.306
590789;1;3;5;70;6;60;1;;2;6;1;;2;1;;;;;;;;;;1;;2;;2;1;45;45;5233;52;5;750.220.337.076.306
590798;1;2;5;70;16;48;1;;2;400;1;;2;3;;;;;;;;;;1;;2;;2;1;34;54;7493;74;5;786.178.193.459.372
590802;1;3;5;70;4;48;1;;2;4;1;;9;4;;;;;;;;;;1;;2;;2;1;33;33;6042;60;5;876.877.990.529.433
590807;1;2;5;70;8;48;4;;2;8;4;;1;1;;;;;;;;;;1;;2;;2;1;95;95;4521;45;5;110.467.405.485.872
590808;1;7;5;70;12;48;3;;2;12;1;;3;1;;;;;;;;;;1;;2;;2;1;55;53;5521;55;5;748.935.903.988.338
590811;1;1;5;70;16;48;3;;2;48;3;;1;2;;;;;;;;;;1;;2;;2;1;54;54;9500;95;5;949.106.098.315.687
590816;1;2;5;70;1;24;1;;2;72;1;;2;9;TIENE EPS;;;;;;;;;1;;2;;2;1;32;16;5244;52;5;719.741.693.995.875
590820;1;3;5;70;50;48;1;;2;54;1;;3;4;;;;;;;;;;1;;2;;2;1;45;45;5234;52;5;109.111.858.279.135
590823;1;2;8;70;156;40;1;;2;156;2;;9;2;;;;;;;;;;1;;2;;2;1;12;12;6390;63;8;547.654.236.748.208
590834;1;4;8;70;26;48;1;;2;26;1;;9;4;;;;;;;;;;1;;2;;2;1;39;39;5125;51;8;393.552.758.627.676
590841;1;1;8;70;8;50;4;;2;186;1;;9;1;;;;;;;;;1;;YA ES PENSIONADO;2;;2;1;41;39;6421;64;8;477.735.303.797.383
590841;1;4;8;70;52;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;59;;;;8;477.735.303.797.383
590841;1;9;8;70;26;48;1;;2;26;1;;9;2;;;;;;;;;;1;;2;;2;1;45;45;5233;52;8;477.735.303.797.383
590844;2;1;8;70;26;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;7;;;;8;868.788.833.854.034
590846;1;2;8;70;54;48;1;;2;54;5;;6;5;;;;;;;;;;1;;2;;2;1;12;21;9242;92;8;507.170.332.195.162
590846;1;4;8;70;54;50;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;39;;;;8;507.170.332.195.162
590852;1;1;8;70;12;60;1;;2;16;4;;2;1;;;;;;;;;;1;;2;;2;1;95;95;4521;45;8;454.382.251.062.289
590871;1;4;8;70;16;48;1;;2;16;1;;9;1;;;;;;;;;;1;;2;;2;1;45;45;1594;15;8;333.906.837.283.608
590871;2;2;8;70;54;48;1;;2;60;1;;9;2;;;;;;;;;;1;;2;;2;1;45;45;5237;52;8;333.906.837.283.608
590876;1;4;8;70;48;48;1;;2;3;1;;3;1;;;;;;;;;;1;;2;;2;1;45;33;1551;15;8;628.070.860.272.774
590879;1;2;8;70;3;50;1;;2;3;1;;3;4;;;;;;;;;;1;;2;;2;1;45;45;5233;52;8;452.612.579.740.039
590880;1;4;8;70;4;50;4;;2;4;5;;2;1;;;;;;;;;;1;;2;;2;1;0;38;6421;64;8;262.960.765.969.709
590880;1;6;8;70;4;60;3;;2;4;3;;1;1;;;;;;;;;;1;;2;;2;1;54;54;9500;95;8;262.960.765.969.709
590890;1;8;8;70;8;48;1;;2;8;1;;8;1;;;;;;;;;;1;;2;;2;1;45;45;5233;52;8;44.297.796.874.277
