DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6050;P6060;P6060S1;P6070;P6081S1;P6081;P6082;P6083S1;P6083;P6084;P6085;P6071S1;P6071;P6085S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6992;P6992S1;P6160;P6170;P6175;P6180;P6180S1;P6180S2;P6190;P6190S1;P6200;P6200S1;P6210;P6210S1;P6220;P6177;P6177S1;P6040;DPTO;fex_c_2011
601173;1;1;11;10;1;2;1;6;1935;1;2;;5;;3;2;;3;2;1;;;3;1;;;2;2;54959;2;;.;1;2;;;;;;;;;3;5;;;;72;11;281.363.944.399.058
601173;1;2;11;10;2;1;1;10;1958;3;2;;6;;3;2;1;1;;1;;;3;1;;;1;1;98;2;;.;1;2;;;;;;;;;4;7;;;;49;11;281.363.944.399.058
601173;1;3;11;10;3;1;1;8;1962;3;2;;6;;3;2;1;1;;2;;;;1;;;1;1;60000;2;;.;1;2;;;;;;;;;4;8;;;;45;11;281.363.944.399.058
601173;1;4;11;10;4;2;1;12;1954;3;2;;4;;3;2;1;1;;2;;;;1;;;1;5;;2;;.;1;2;;;;;;;;;5;11;2;;;53;11;281.363.944.399.058
601173;1;5;11;10;5;1;1;6;1963;3;2;;4;;3;2;1;1;;2;;;;1;;;1;1;98;2;;.;1;2;;;;;;;;;4;9;;;;44;11;281.363.944.399.058
601173;1;6;11;10;6;1;1;10;1986;4;2;;6;5;1;;;2;2;2;;;;2;1;6;;;;2;1;;1;2;;;;;;;;;5;10;1;9;;21;11;281.363.944.399.058
601173;1;7;11;10;7;1;1;12;1990;4;2;;6;5;1;;;2;2;2;;;;1;;;1;5;;2;;.;1;2;;;;;;;;;5;11;2;2;;17;11;281.363.944.399.058
601173;1;8;11;10;8;1;1;12;1990;4;2;;6;5;1;;;2;2;2;;;;1;;;1;5;;2;;.;1;1;1;2;;;2;;2;;5;10;1;;;17;11;281.363.944.399.058
601173;1;9;11;10;9;2;1;9;1967;3;2;;4;;3;2;1;1;;2;;;;1;;;1;3;64300;2;;.;1;1;1;2;;;2;;2;;6;3;2;;;40;11;281.363.944.399.058
601173;1;10;11;10;10;1;1;7;1995;4;2;;6;;2;5;9;1;;2;;;;1;;;1;5;;2;;.;1;1;1;1;0;2000;2;;2;;4;6;;;;12;11;281.363.944.399.058
601174;1;1;11;10;1;1;1;10;1940;1;2;;3;;3;2;;3;1;2;2;1;;1;;;2;2;98;2;;.;1;2;;;;;;;;;3;5;;;;67;11;225.509.962.438.123
601174;1;2;11;10;2;2;1;8;1939;2;2;;3;;3;1;;3;6;2;1;1;;1;;;1;2;98;2;;.;1;2;;;;;;;;;3;5;;;;68;11;225.509.962.438.123
601174;1;3;11;10;3;1;1;5;1977;3;2;;6;1;1;;2;1;;2;;;;1;;;3;;;2;;.;1;2;;;;;;;;;5;11;2;;;30;11;225.509.962.438.123
601174;1;4;11;10;4;1;1;5;1989;4;2;;6;;2;6;;2;6;2;;;;1;;;3;;;2;;.;1;1;1;2;;;2;;2;;5;10;1;;;18;11;225.509.962.438.123
601174;1;5;11;10;5;1;1;12;1990;4;2;;6;;2;6;;2;6;2;;;;1;;;3;;;2;;.;1;1;1;2;;;2;;2;;4;9;;;;17;11;225.509.962.438.123
601174;1;6;11;10;6;1;1;4;1991;4;2;;6;;2;6;;2;6;2;;;;1;;;3;;;2;;.;1;2;;;;;;;;;4;7;;15;ESTA VALIDANDO;16;11;225.509.962.438.123
601174;1;7;11;10;3;1;1;5;2000;4;2;;;3;1;;;2;3;2;;;;1;;;3;;;2;;.;1;1;1;1;0;1000;2;;2;;3;2;;;;7;11;225.509.962.438.123
601174;1;8;11;10;8;1;1;1;1972;5;2;;6;;3;2;;2;2;2;;;;1;;;3;;;2;;.;1;2;;;;;;;;;4;9;;;;36;11;225.509.962.438.123
601175;1;1;11;10;1;1;1;2;1976;1;2;;2;;2;6;;3;6;2;2;1;;2;1;60;;;;2;1;;1;2;;;;;;;;;4;6;;;;32;11;252.727.043.579.696
601175;1;2;11;10;2;2;1;1;1970;2;2;;2;;3;1;;3;1;2;1;1;;2;1;60;;;;2;6;;1;2;;;;;;;;;3;4;;;;38;11;252.727.043.579.696
601176;1;1;11;10;1;2;1;2;1957;1;2;;5;;3;1;;3;1;2;;;;2;2;;;;;2;6;;2;2;;;;;;;;;3;2;;;;51;11;247.055.075.597.255
601178;1;1;11;10;1;1;1;6;1952;1;2;;6;;3;2;;3;2;2;;;;1;;;1;1;98;2;;.;1;2;;;;;;;;;5;11;2;;;55;11;207.656.708.923.417
601181;1;1;11;10;1;2;1;6;1965;1;2;;4;;3;2;;3;2;2;;;;1;;;3;;;2;;.;1;2;;;;;;;;;5;11;2;;;42;11;24.385.774.173.409
601181;1;2;11;10;2;2;1;1;1991;3;2;;6;;2;6;1;1;;2;;;;1;;;3;;;2;;.;1;2;;;;;;;;;4;9;;15;ESTA VALIDANDO EL BACHILLERATO;17;11;24.385.774.173.409
601181;1;3;11;10;2;2;1;6;2007;4;2;;;;2;2;2;1;;2;;;;1;;;3;;;2;;.;;;;;;;;;;;;;;;;0;11;24.385.774.173.409
601181;1;4;11;10;1;1;1;11;2006;3;2;;;;2;2;1;1;;2;;;;1;;;3;;;2;;.;;;;;;;;;;;;;;;;1;11;24.385.774.173.409
601182;1;1;11;10;1;1;1;6;1993;1;2;;6;;2;3;;2;3;2;;;;1;;;3;;;2;;.;1;1;1;2;;;2;;2;;4;7;;;;14;11;270.963.558.312.413
601182;1;2;11;10;2;1;1;6;1990;5;2;;6;;3;2;;2;3;2;;;;1;;;3;;;2;;.;1;1;1;2;;;2;;2;;5;10;1;;;17;11;270.963.558.312.413
601182;1;3;11;10;3;1;1;8;1995;5;2;;6;;2;6;;2;3;2;;;;1;;;3;;;2;;.;1;1;1;2;;;2;;2;;4;0;;;;12;11;270.963.558.312.413
601182;1;4;11;10;2;1;1;3;1998;5;2;;;;2;2;;2;3;2;;;;1;;;3;;;2;;.;1;1;1;1;0;1500;2;;2;;3;3;;;;9;11;270.963.558.312.413
601183;1;1;11;10;1;1;1;5;1969;1;2;;3;;3;2;;2;2;1;2;1;2;1;;;3;;;2;;.;1;2;;;;;;;;;3;5;;;;38;11;258.689.649.222.272
601183;1;2;11;10;2;2;1;1;1974;2;2;;3;;2;6;;2;2;1;1;1;2;1;;;3;;;2;;.;1;2;;;;;;;;;4;7;;;;34;11;258.689.649.222.272
601183;1;3;11;10;3;2;1;7;1995;3;2;;6;1;1;;2;1;;1;;;2;1;;;3;;;2;;.;1;1;1;2;;;2;;2;;4;6;;;;12;11;258.689.649.222.272
601183;1;4;11;10;4;2;1;4;1997;3;2;;6;1;1;;2;1;;1;;;2;1;;;3;;;2;;.;1;1;1;1;0;2000;2;;2;;3;4;;;;10;11;258.689.649.222.272
601183;2;1;11;10;1;1;1;8;1967;1;2;;2;;3;6;;3;6;2;2;1;;2;2;;;;;2;3;;1;2;;;;;;;;;3;5;;;;40;11;258.689.649.222.272
