DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,CLASE,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,fex_c_2011
597100,1,2,70,8,56,4,,2,240,4,,1,6,,,,,,,,,,1,,2,,2,2,1,79,79,1810,18,50,682.828.592.441.891
603090,1,2,70,1,28,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,62,,,,25,836.895.000.124.568
603209,1,1,70,4,48,8,,2,4,8,,2,1,,,,,,,,,,1,,2,,2,2,1,62,62,121,1,18,193.264.666.380.678
604696,1,1,70,2,56,1,,2,2,8,,2,1,,,,,,,,,,1,,2,,2,2,1,81,62,118,1,15,11.234.267.143.436
604711,1,2,70,8,40,3,,2,352,3,,1,1,,,,,,,,,,1,,2,,2,2,1,54,54,9500,95,15,982.444.519.405.558
604716,1,2,70,12,40,4,,2,999,3,,1,1,,,,,,,,,,1,,2,,2,2,1,41,54,9500,95,15,118.331.158.848.031
604720,1,1,70,2,40,4,,2,3,4,,1,1,,,,,,,,,,1,,1,200000,2,2,1,77,77,1572,15,15,879.386.515.640.419
604726,1,3,70,1,40,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,54,,,,15,148.604.436.330.868
604834,1,1,70,2,48,1,,2,4,1,,2,1,,,,,1,,,,,,,1,250000,2,2,1,98,98,6031,60,15,148.100.497.623.394
604835,1,3,70,9,48,1,,2,9,1,,9,1,,,1,,1,,,,,,,2,,2,2,1,97,97,7512,75,15,164.061.861.829.647
604837,1,3,70,8,48,1,,2,13,1,,2,1,,,,,,,,,,1,,2,,2,2,1,45,45,5211,52,15,131.984.104.055.557
604851,1,4,70,5,48,3,,2,52,3,,1,8,,,,,,,,,,1,,2,,2,2,1,54,54,9500,95,15,91.485.279.501.064
604860,1,2,70,12,36,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,53,,,,15,104.288.556.419.339
604862,1,7,70,8,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,45,,,,15,972.613.594.975.059
604869,1,2,70,13,36,4,,2,39,8,,5,1,,,,,,,,,,1,,2,,2,2,1,53,53,114,1,15,117.601.852.190.126
604886,1,2,70,48,20,8,,2,240,8,,3,1,,,,,,,,,,1,,2,,2,2,1,53,53,1572,15,15,878.630.264.560.049
604917,1,2,70,2,40,3,,2,3,8,,3,1,,,,,,,,,,1,,1,100000,2,2,1,54,62,111,1,15,721.780.344.064.548
604919,1,3,70,2,40,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,54,,,,15,10.795.534.899.142
604927,1,4,70,12,40,1,,2,3,1,,3,1,,,,,,,,,,1,,1,300000,2,2,1,97,97,5125,51,15,138.842.076.122.659
604935,1,3,70,6,48,8,,2,8,8,,4,1,,,,,,,,,,1,,2,,2,2,1,62,62,111,1,15,969.560.083.320.503
604965,1,3,70,143,36,1,,2,148,1,,4,1,,,,,,,,,,1,,2,,2,2,1,60,60,121,1,15,111.277.866.498.963
604968,1,6,70,8,40,1,,2,52,3,,1,8,,,,,,,,,,1,,2,,2,2,1,45,54,9500,95,15,108.539.021.061.191
605050,1,1,70,4,25,3,,2,24,3,,1,1,,,,,,,,,,1,,2,,2,2,1,54,54,9500,95,23,182.988.546.808.206
605050,1,4,70,12,45,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,54,,,,23,182.988.546.808.206
605054,1,2,70,8,54,1,,2,8,1,,4,4,,,,,,,,,,1,,2,,2,2,1,97,97,4521,45,23,143.836.594.747.739
605056,1,4,70,4,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,95,,,,23,176.895.912.104.562
605063,1,3,70,12,48,3,,2,12,3,,1,4,,,,,,,,,,1,,2,,2,2,1,54,54,9500,95,23,164.921.439.479.223
605892,1,5,70,12,40,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,54,,,,19,328.788.612.624.698
605917,1,1,70,26,45,2,,2,26,2,,9,1,,,,,,,,,,1,,2,,2,2,1,59,59,8512,85,19,28.066.948.998.231
606026,1,3,70,7,40,2,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,3,,,,19,246.518.639.106.267
606026,1,4,70,7,40,2,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,3,,,,19,246.518.639.106.267
606068,1,5,70,1,48,2,,2,54,1,,6,4,,,,,,,,,,1,,2,,2,2,1,55,95,4530,45,19,267.310.991.082.832
606071,1,2,70,1,40,1,,2,24,1,,3,1,,,,,,,,,,1,,2,,2,2,1,45,45,5233,52,19,28.014.063.806.196
606071,1,3,70,1,48,8,,2,4,8,,2,1,,,,,,,,,,1,,2,,2,2,1,62,62,111,1,19,28.014.063.806.196
606081,1,1,70,4,45,1,,2,8,1,,2,1,,,,,,,,,,1,,2,,2,2,1,45,45,5233,52,19,220.386.136.994.662
606083,1,1,70,1,40,8,,2,24,8,,2,6,,,,,,,,,,1,,2,,2,2,1,62,62,111,1,19,246.015.889.886.663
