DIRECTORIO;AREA;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;P5070;DPTO;ORDEN;fex_c_2011
590777;5;1;12;4;1;1;1;1;4;4;;;;700000;;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;2;2;1;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;1;1;5;1;102.504.303.344.291
590780;5;1;2;2;1;1;1;1;3;1;;;15000000;100000;;1;1;2;1;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;1;1;5;1;595.825.098.075.643
590781;5;1;3;2;1;1;1;1;3;4;;;;120000;;1;1;2;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;2;2;1;1;3;5;1;789.962.525.434.962
590782;5;1;2;2;1;1;1;1;1;3;;;;;100000;2;2;2;1;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;1;3;5;1;699.078.951.928.497
590783;5;1;2;2;1;1;1;1;4;1;;;18000000;150000;;1;2;2;2;1;1;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;1;1;5;1;736.455.838.096.397
590785;5;1;3;2;1;1;1;1;4;4;;;;150000;;1;2;2;2;1;1;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;1;1;5;1;862.811.927.391.713
590786;5;1;1;1;1;2;1;1;4;4;;;;60000;;1;2;2;2;1;1;2;2;2;2;1;1;2;2;2;2;2;1;2;2;2;1;3;2;2;1;2;1;1;1;2;2;1;1;2;5;1;834.536.791.075.913
590787;5;1;5;1;1;1;1;1;;4;;;;200000;;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;1;6;5;1;955.544.041.112.868
590788;5;1;5;4;1;1;1;1;4;1;;;30000000;200000;;1;2;2;1;1;1;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;1;1;5;1;111.278.653.234.321
590789;5;1;4;2;1;1;1;1;4;1;;;100000000;450000;;1;2;2;1;1;1;2;2;2;2;1;1;1;2;2;2;2;2;1;2;2;1;1;1;4;1;2;1;1;1;3;2;1;1;1;5;1;750.220.337.076.306
590790;5;1;5;3;1;1;1;1;3;1;;;60000000;250000;;1;1;2;2;1;1;2;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;1;1;5;1;621.170.614.977.585
590791;5;1;7;4;1;1;1;1;3;1;;;60000000;400000;;1;1;2;1;1;1;1;1;2;2;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;1;1;5;1;836.173.995.958.644
590792;5;1;2;2;1;1;1;1;3;1;;;50000000;150000;;1;2;2;2;1;2;2;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;1;1;4;1;1;1;1;1;2;2;1;1;1;5;1;957.467.263.041.372
590793;5;1;2;1;1;1;1;1;3;1;;;99;160000;;1;2;2;2;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;1;2;1;1;2;5;1;649.002.595.485.058
590794;5;1;3;1;1;1;1;1;1;1;;;30000000;200000;;1;1;2;2;1;2;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;1;1;5;1;111.686.593.554.475
590796;5;1;2;1;1;1;1;1;3;4;;;;150000;;1;2;2;2;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;1;1;5;1;107.712.590.789.309
590798;5;1;3;3;1;1;1;1;4;1;;;25000000;200000;;1;2;2;1;1;1;1;1;2;2;1;1;2;1;2;2;2;1;1;2;2;1;1;1;4;1;2;1;1;1;2;2;1;1;1;5;1;786.178.193.459.372
590799;5;1;1;1;1;1;1;1;1;1;;;30000000;200000;;2;2;2;2;1;1;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;1;2;5;1;79.573.604.594.446
590800;5;1;5;3;1;1;1;1;3;3;;;;;280000;1;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;2;1;2;1;1;1;1;1;3;2;1;1;1;5;1;870.845.916.486.194
590801;5;1;2;2;1;1;1;1;1;3;;;;;150000;1;2;2;2;1;1;1;1;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;3;2;1;1;1;5;1;997.477.108.920.958
590802;5;1;1;1;1;1;1;1;4;4;;;;160000;;1;1;2;1;1;1;2;2;1;1;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;1;1;5;1;876.877.990.529.433
590803;5;1;3;1;1;1;1;1;1;3;;;;;220000;1;2;2;2;1;1;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;1;1;5;1;12.556.506.635.923
590804;5;1;2;2;1;1;1;1;4;3;;;;;130000;1;2;2;2;1;2;2;1;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;1;1;5;1;635.045.029.761.432
590805;5;1;2;1;1;1;1;1;4;3;;;;;110000;1;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;1;1;5;1;637.908.622.898.362
590806;5;1;1;1;1;1;1;1;1;3;;;;;160000;1;2;2;1;1;1;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;1;1;5;1;719.741.693.995.875
590807;5;1;3;2;1;1;1;1;3;1;;;45000000;350000;;1;2;2;1;1;1;2;1;2;1;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;1;1;5;1;110.467.405.485.872
590808;5;1;4;3;1;1;1;1;4;3;;;;;150000;1;2;2;2;2;1;2;1;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;1;1;5;1;748.935.903.988.338
