Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011;Area
3883816;1;6;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;12;41;182,559149952804;41
3883817;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;12;41;162,61611099925;41
3883817;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;12;41;162,61611099925;41
3883820;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;4;2;1;12;41;106,602637796593;41
3883820;1;3;1;80;1;1;4;3; ;2; ;2; ; ; ; ;8;2;1;12;41;106,602637796593;41
3883820;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;12;41;106,602637796593;41
3883822;1;4;1;80;1;1;4;3; ;2; ;2; ; ; ; ;4;2;1;12;41;100,469896844107;41
3883822;1;5;1;80;1;1;4;7; ;2; ;2; ; ; ; ;4;2;1;12;41;100,469896844107;41
3883823;1;1;1;80;1;1;2;9;CAMBIO DE CIUDAD;2; ;2; ; ; ; ;2;2;1;12;41;152,428773714842;41
3883823;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;12;41;152,428773714842;41
3883823;1;3;1;80;1;1;2;2; ;2; ;2; ; ; ; ;2;2;1;12;41;152,428773714842;41
3883825;1;1;1;80;1;1;4;3; ;3; ;2; ; ; ; ;9;2;1;12;41;131,903434335263;41
3883826;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;4;2;1;12;41;112,127764918726;41
3883826;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;12;41;112,127764918726;41
3883827;1;1;1;80;1;1;2;3; ;2; ;2; ; ; ; ;9;2;1;12;41;134,858997703269;41
3883828;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;12;41;141,938150814091;41
3883829;1;2;1;80;1;1;2;8; ;2; ;2; ; ; ; ;8;2;1;12;41;93,0310072118282;41
3883829;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;12;41;93,0310072118282;41
3883829;1;7;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;12;41;93,0310072118282;41
3883830;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;12;41;138,615126830283;41
3883830;1;3;1;80;1;1;4;3; ;2; ;2; ; ; ; ;4;2;1;12;41;138,615126830283;41
3883831;2;1;2;80;1;1;2;4; ;2; ;2; ; ; ; ;4;2;1;12;41;134,52117578992;41
3883831;2;2;2;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;12;41;134,52117578992;41
