Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P6440;P6450;P6460;P6460s1;P6400;P6422;P6424s2;P6424s3;P6424s1;P6426;P6430s1;P6480;P6480s1;P6500;P6510;P6510s1;P6510s2;P6590;P6590s1;P6600;P6600s1;P6610;P6610s1;P6620;P6620s1;P6585s2a1;P6585s3a1;P6585s4a1;P6585s3a2;P6585s2a2;P6585s1a2;P6585s2;P6585s3;P6585s1a1;P6585s4;P6585s1;P6580;P6580s1;P6580s2;P6630s3;P6630s4a1;P6630s3a1;P6630s2a1;P6630s1a1;P6630s4;P6630s2;P6630s1;P6640;P6765;P6765s1;P6772;P6750;P6760;P550;P6780;P6780s1;P6790;P6410;P6640s1;P9440;P6630s6;P6630s6a1;P6410s1;P6545s1;P6545;P6545s2;P6585s4a2;P6773s1;P6775;P6772s1;P388;P6800;P6810;P6810s1;P6850;P6830;P6830s1;P6870;P6880;P6880s1;P6920;P6930;P6940;P6960;P6980;P6980s1;P6980s2;P6980s3;P6980s4;P6980s5;P6980s6;P6980s7;P6980s8;P6980s7a1;P6990;P7020;P7026;P7028;P7028s1;P7040;P7045;P7050;P7050s1;P7070;P760;P9450;P6915s1;P6915;P7075;P7077;P390;P7090;P7100;P7110;P7120;P7130;P7140;P7140s1;P7140s2;P7140s3;P7140s4;P7140s5;P7140s6;P7140s7;P7140s8;P7140s9;P7140s9a1;P7150;P7160;P7170s1;P7170s5;P7170s6;P7180;P7240;P7240s1;P514;P515;P6430;Oficio;Rama2d;Oci;Rama4d;Rama4dp8;Rama2dp8;Inglabo;Mes;Dpto;Fex_c_2011
3887964;1;1;1;60;2;1;2;1; ;1;1;2;1;1;334; ;1; ;2500000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ;2500000;2500000;2;1;1;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;5;25;3;ES LO ESTIPULADO POR EL CONTRATO;25; ; ;9;7; ;1;3;1;30;1;1; ; ; ; ; ; ; ; ;1;2; ; ; ;2; ; ; ; ; ;1; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;2; ;1;1;2;13;80;1;8042; ; ;2500000;12;05;1753,79635393522
3887964;1;2;1;60;2;2; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;300000;1; ;3; ;12; ; ; ; ; ; ; ; ; ; ; ;2; ;5;40; ;.;40; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;5;4; ;2; ; ; ; ;0;2; ;3; ; ; ;2; ; ; ;1;1;2;1;1;1;2;1;1;2;2; ;1;1;2;2;1;2;3; ;2;1;4;61;01;1;0111; ; ;300000;12;05;1753,79635393522
3887971;1;1;1;60;2;1;2;1; ;1;1;2;1;1;36; ;1; ;1126000;2; ; ;2; ;2; ;2; ;2; ; ;50000; ;2; ; ;2;1; ;2;2;2; ; ;2; ; ; ;1126000;2;2;1;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;5;45; ;.;45; ; ;9;7; ;1;1;1;10;1;1; ; ; ; ; ; ; ; ;1;1;1;4; ;1;15;4; ; ;0;1; ;1;1;7;5;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;3; ;1;1;2;39;85;1;8511; ; ;1126000;12;05;4227,57146354642
3887972;1;1;1;60;2;2; ; ; ; ; ; ; ; ;120; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;350000;1;98;3; ;12; ; ; ; ; ; ; ; ; ; ; ;2; ;5;45; ;.;45; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;60;8; ;1;20;4; ; ;0;2; ;2;1;8;5;2; ; ; ;1;1;2;1;2;2;2;1;2;2;2; ;2;1;2;2;1;2;9; ;1;1;4;61;01;1;0111; ; ;350000;12;05;3530,16696182714
3887973;1;1;1;60;2;1;1; ; ;1;1;2;2;2;36; ;1; ;400000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;5;48; ;.;48; ; ;3;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;24;4; ;2; ; ; ; ;0;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;3; ;2;2;8;62;01;1;0111; ; ;400000;12;05;3873,82890432829
3887974;1;2;1;60;2;2; ; ; ; ; ; ; ; ;24; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ; ; ; ; ; ;5;20;2; ;20; ; ;2;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;120;3; ;2; ; ; ; ;98;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;3; ;1;1;6;45;52;1;5224; ; ; ;12;05;1735,3257803272
3887974;1;3;1;60;2;2; ; ; ; ; ; ; ; ;24; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ;1;98;3; ;12; ; ; ; ; ; ; ; ; ; ; ;2; ;5;30;2; ;30; ; ;2;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;120;3; ;2; ; ; ; ;12;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;3; ;1;1;4;41;52;1;5224; ; ; ;12;05;1735,3257803272
3887979;1;1;1;60;2;2; ; ; ; ; ; ; ; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;300000;1;98;3; ;12; ; ; ; ; ; ; ; ; ; ; ;2; ;5;40; ;.;40; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;1;4; ;2; ; ; ; ;2;2; ;2; ; ; ;2; ; ; ;1;1;2;1;1;1;2;1;2;2;2; ;2;1;2;2;1;2;3; ;2;1;4;61;01;1;0111; ; ;300000;12;05;1785,56461495991
3887980;1;2;1;60;2;2; ; ; ; ; ; ; ; ;96; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;300000;1;98;3; ;12; ; ; ; ; ; ; ; ; ; ; ;2; ;5;40; ;.;40; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;156;1; ;2; ; ; ; ;2;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;3; ;1;1;4;61;01;1;0111; ; ;300000;12;05;2103,00732277491
3887981;1;1;1;60;2;2; ; ; ; ; ; ; ; ;156; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ;1;98;3; ;12; ; ; ; ; ; ; ; ; ; ; ;2; ;5;40; ;.;40; ; ;2;7; ;2; ; ; ;1; ; ; ;1; ; ; ; ; ;2;1;150;4; ;1;98;4; ; ;0;2; ;2;1;8;5;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;3; ;1;1;4;41;52;1;5225; ; ; ;12;05;2103,00732277491
