DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6440;P6450;P6460;P6460S1;P6400;P6422;P6424;P6424S2;P6424S3;P6424S1;P6426;P6430S1;P6480;P6480S1;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585;P6585S2A1;P6585S3A1;P6585S4A1;P6585S3A2;P6585S2A2;P6585S1A2;P6585S2;P6585S3;P6585S1A1;P6585S4;P6585S1;P6580;P6580S1;P6580S2;P6630;P6630S3;P6630S4A1;P6630S3A1;P6630S2A1;P6630S1A1;P6630S4;P6630S2;P6630S1;P6640;P6642S2;P6642S1;P6765;P6765S1;P6772;P6750;P6760;P550;P6780;P6780S1;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6835;P6835S1;P6835S2;P6836;P6836S1;P6836S2;P6837;P6837S1;P6837S2;P6870;P6880;P6880S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S8;P6980S7A1;P6990;P7020;P7026;P7028;P7028S1;P7040;P7045;P7050;P7050S1;P7070;P760;P6410;P6640S1;P6642S11;P6642S7;P6642S8;P6642S9;P6642S10;P6642S12;P6642S5;P6642S4;P6642S3;P6642S6;P9440;P9450;P6630S6;P6630S6A1;P6410S1;P6545S1;P6545;P6545S2;P6915S1;P6915;P6585S4A2;P6773;P6773S1;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170;P7170S1;P7170S2;P7170S3;P7170S4;P7170S5;P7170S6;P7180;P7190;P7200;P7240;P7240S1;OFICIO;RAMA2D;RAMA2DP8;OCI;P6430;P6420S1;RAMA4D;RAMA4DP8;INGLABO;DPTO;fex_c_2011
781275;1;1;1;60;2;1;1;;;1;2;;2;2;2;36;;1;;461500;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;;2;;;;;2;2;2;2;;;;;;;;;;;12;48;;.;48;;;2;;;;;;;;;3;6;;2;;;;1;;;;;;;;1;;2;1;120;1;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;1;1;1;1;1;1;2;2;2;2;2;;2;1;;3;3;3;3;3;3;2;2;3;8;;45;15;;1;1;;1594;;461500;25;266.996.402.541.386
781281;1;1;1;60;2;1;2;1;;1;1;;1;1;1;144;;1;;900000;2;;;2;;1;250000;2;;2;;;72000;36000;;2;2;2;1;1;72000;2;1;2;;;;1;;560000;560000;;2;1;2;2;;;;;;;;;;;12;48;;.;48;;;1;6;14;2;;;;;;9;8;;1;1;1;12;1;1;;;;;;;;;1;1;96;1;;2;;;;;12;;;;;;;;;;;;;2;1;2;;;;2;;;1;;;;2;;;;2;;;;;;;;;;;;;;;1;1;1;1;1;1;2;3;3;1;;5;1;;1;1;;112;;1150000;25;351.969.844.424.714
781281;1;2;1;60;2;2;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;100000;1;600000;3;;12;6;2;;6;;;2;;;;;;;;;1;3;;2;;;;1;;;;;;;;1;;2;1;30;1;;2;;;;;72;;;;;;;;;;;;;;1;;;;;;;;1;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;3;4;8;;41;52;;1;4;;5229;;100000;25;351.969.844.424.714
781282;1;1;1;60;2;2;;;;;;;;;;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;800000;4;2400000;3;;10;35;2;;35;;;2;;;;;;;;;1;1;;2;;;;1;;;;;;;;1;;2;1;120;1;;2;;;;;84;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;1;2;1;2;2;2;2;3;3;8;;62;1;;1;4;;123;;800000;25;283.028.392.883.071
781282;1;2;1;60;2;1;1;;;1;2;;2;2;2;3;;1;;480000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;;2;;;;;2;2;2;2;;;;;;;;;;;3;66;;.;66;;;1;7;18;2;;;;;;2;7;;2;;;;1;;;;;;;;1;;2;1;9;1;;2;;;;;9;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;3;2;3;3;3;2;2;2;8;;45;52;;1;1;;5241;;480000;25;283.028.392.883.071
781282;1;3;1;60;2;2;;;;;;;;;;6;;1;;100000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;;2;;;;;2;2;2;2;;;;;;;;;;;6;30;2;;30;;;2;;;;;;;;;2;7;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;3;3;2;2;2;3;3;;45;52;;1;1;;5244;;100000;25;283.028.392.883.071
781285;1;1;1;60;2;2;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;300000;1;3000000;3;;12;84;;.;84;;;2;;;;;;;;;1;5;;1;1;1;30;1;1;;;;;;;;;2;1;78;1;;2;;;;;6;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;3;3;3;3;3;3;2;2;3;8;;45;52;;1;4;;5262;;300000;25;24.306.256.191.174
781285;1;2;1;60;2;1;2;1;;1;1;;1;1;1;36;;1;;461500;2;;;2;;2;;2;;2;;;;18000;;2;;;2;1;;2;2;2;;;;2;;;461500;;2;1;2;2;;;;;;;;;;;12;48;;.;48;;;2;;;;;;;;;9;8;;1;1;1;3;1;1;;1;;;;;;;1;2;;;;2;;;;;;;;;;;;;;;;;;2;1;2;;;;2;;;1;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;3;8;;39;1;;1;1;;112;;461500;25;24.306.256.191.174
781299;1;1;1;60;2;1;2;1;;1;1;;1;1;1;120;;1;;461500;2;;;2;;2;;1;60000;2;;;55000;36000;;2;2;;1;1;;2;2;2;;;;1;;250000;250000;;2;1;2;2;;;;;;;;;;;12;48;;.;48;;;2;;;;;;;;;9;7;;1;1;1;10;1;1;;;;;;;;;2;1;24;1;;2;;;;;0;;;;;;;;;;;;;2;1;2;;;;2;;;1;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;3;3;8;;77;15;;1;1;;1551;;461500;25;240.354.541.451.366
781387;1;1;1;60;2;2;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;1;1200000;1;6000000;3;;6;84;;.;84;;;1;10;22;2;;;;;;2;1;;2;;;;1;;;;1;;;;;;2;1;122;1;;2;;;;;6;;;;;;;;;;;;;;2;;;;;;;;2;;1;2008;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;3;4;3;;41;55;;1;4;;5530;;1200000;25;167.628.135.106.534
