DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;fex_c_2011
781387;1;2;1;70;2;3;48;1;;2;3;1;;9;1;;;;;;;;;;1;;1;750000;2;5;5;24;1;1;2424;25;167.628.135.106.534
781391;1;2;1;70;2;8;48;3;;2;60;8;;4;1;;;;;;;;;;1;;2;;2;54;62;1;1;1;116;25;289.059.434.554.868
781411;1;2;1;70;2;28;48;3;;2;30;3;;1;8;;;;;;;;;;1;;2;;2;53;54;95;1;2;9500;25;274.390.468.486.456
781426;1;2;1;70;2;8;48;8;;1;;;.;;;.;.;;;;;;;;;.;;;;62;;;1;1;;25;293.912.404.148.295
781469;1;1;1;70;2;4;48;1;;2;4;1;;3;3;;;;;;;;;;1;;1;500000;2;58;58;55;1;1;5512;25;269.074.049.590.961
781473;1;2;1;70;2;1;48;1;;2;1;1;;2;1;;;;;;;;;;1;;1;461500;2;0;62;1;1;1;117;25;329.827.837.114.055
782400;1;2;1;70;2;8;48;3;;2;8;3;;1;1;;;;;;;;;;1;;2;;2;54;54;95;1;1;9500;15;249.178.129.148.909
782414;1;3;1;70;2;16;48;1;;2;16;1;;3;1;;;;;;;;;;1;;2;;2;39;39;55;1;2;5511;15;259.822.640.153.598
782562;1;3;1;70;2;4;48;3;;2;4;3;;1;4;;;;;;;;;;1;;2;;2;54;54;95;1;1;9500;15;390.077.527.299.475
786723;1;3;1;70;2;4;56;1;;2;4;1;;2;8;;;;;;;;;;1;;2;;2;58;58;63;1;1;6331;50;382.484.332.929.608
786795;1;2;1;70;2;48;56;1;;2;59;1;;9;2;;;;;;;;;;1;;2;;2;53;95;45;1;2;4521;50;404.825.468.665.065
786795;1;4;1;70;2;4;94;8;;2;5;8;;9;4;;;;;;;;;;1;;2;;2;62;62;1;1;1;115;50;404.825.468.665.065
786801;1;3;1;70;2;10;56;1;;2;12;1;;4;1;;;;;;;;;;1;;2;;2;95;95;45;1;1;4521;50;459.632.463.881.865
786801;1;5;1;70;2;40;56;1;;2;40;1;;9;1;;;;;1;;;;;;;2;;2;97;97;11;1;2;1110;50;459.632.463.881.865
