DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S4;P7510S6;P7510S2A1;P7510S4A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;P7510S7A1;P7510S7;AREA;FT;DPTO;fex_c_2011
762232;1;1;1;95;1;;2;1;;461500;;2;2;;;;;;;;;;;;;;;5;1;5;63.758.895.927.029
762232;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;63.758.895.927.029
762232;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;63.758.895.927.029
762233;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;852.908.828.985.119
762233;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;852.908.828.985.119
762233;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;852.908.828.985.119
762233;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;852.908.828.985.119
762234;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;787.820.348.190.918
762234;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;787.820.348.190.918
762234;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;787.820.348.190.918
762234;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;787.820.348.190.918
762234;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;787.820.348.190.918
762235;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;648.329.201.373.338
762235;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;648.329.201.373.338
762235;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;648.329.201.373.338
762235;1;4;1;95;2;;;;;;;;1;2;;1;;;128000;;;1200000;2;1;2;;2;5;1;5;648.329.201.373.338
762237;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;740.069.255.125.658
762237;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;740.069.255.125.658
762238;1;1;1;95;2;;;;;;;;1;2;;1;;;168000;;;;2;2;2;;2;5;1;5;816.430.176.987.189
762238;1;2;1;95;2;;;;;;;;1;2;;2;;;;;;;2;2;2;800000;1;5;1;5;816.430.176.987.189
762239;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;816.430.176.987.189
762239;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;816.430.176.987.189
762240;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;74.696.484.681.594
762240;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;74.696.484.681.594
762241;1;1;1;95;2;;;;;;;;1;2;;1;;;90000;;;;2;2;2;;2;5;1;5;892.043.181.096.028
762241;1;2;1;95;2;;;;;;;;1;2;;1;;;166000;;;;2;2;2;;2;5;1;5;892.043.181.096.028
762241;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;892.043.181.096.028
762242;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;768.708.169.614.123
762242;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;768.708.169.614.123
762242;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;768.708.169.614.123
762242;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;768.708.169.614.123
762243;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;811.089.691.069.039
762243;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;811.089.691.069.039
762243;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;811.089.691.069.039
762244;1;1;1;95;1;;2;1;;461500;;2;2;;;;;;;;;;;;;;;5;1;5;660.952.763.264.849
762244;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;660.952.763.264.849
762244;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;660.952.763.264.849
762245;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;714.265.469.806.531
762245;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;714.265.469.806.531
762245;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;714.265.469.806.531
762245;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;714.265.469.806.531
762246;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;777.661.887.028.856
762246;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;777.661.887.028.856
762246;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;777.661.887.028.856
762246;1;6;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;777.661.887.028.856
762247;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;922.643.519.528.563
762247;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;922.643.519.528.563
762247;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;922.643.519.528.563
762247;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;922.643.519.528.563
762248;1;1;1;95;2;;;;;;;;1;2;;1;;;53000;;;;2;2;2;;2;5;1;5;656.018.939.118.828
762248;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;1;5;656.018.939.118.828
