DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;CLASE;P5070;DPTO;ORDEN;AREA;fex_c_2011
762232;1;4;3;1;1;1;1;3;1;;;25000000;200000;;1;1;2;2;1;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;1;1;1;5;1;5;63.758.895.927.029
762233;1;3;2;1;1;1;1;4;1;;;20000000;150000;;1;1;2;1;1;2;1;2;2;2;1;1;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;1;1;1;1;2;1;1;1;1;5;1;5;852.908.828.985.119
762234;1;3;2;1;1;1;1;1;1;;;34000000;200000;;2;1;2;2;1;1;1;1;2;2;1;1;1;1;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;1;1;1;5;1;5;787.820.348.190.918
762235;1;6;5;1;1;1;1;1;4;;;;200000;;1;2;2;1;1;1;1;1;1;2;1;1;1;2;2;2;1;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;1;1;1;5;1;5;648.329.201.373.338
762237;1;4;2;1;1;1;1;4;6;VIVEN DONDE  TRABAJAN;;;300000;;1;1;2;1;1;1;1;1;1;2;1;2;2;2;2;2;1;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;1;1;1;5;1;5;740.069.255.125.658
762238;1;3;1;1;1;1;1;3;1;;;40000000;200000;;1;1;2;1;1;1;1;1;1;2;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;1;1;1;5;1;5;816.430.176.987.189
762239;1;3;1;1;1;1;1;3;1;;;35000000;250000;;1;1;2;1;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;1;1;1;5;1;5;816.430.176.987.189
762240;1;4;2;1;1;1;1;3;1;;;20000000;240000;;1;1;2;1;1;1;1;1;1;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;1;1;1;5;1;5;74.696.484.681.594
762241;1;4;3;1;1;1;1;4;3;;;;;260000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;1;1;1;5;1;5;892.043.181.096.028
762242;1;4;3;1;1;1;1;4;3;;;;;80000;1;1;2;1;1;1;1;1;1;2;1;1;1;1;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;1;1;1;5;1;5;768.708.169.614.123
