Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3748463;1;4;1;70;54;4;48;1; ;2;4;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;1;450000;2;58;58;75;1;1;7522;06;54;624,120321199858
3748489;1;1;1;70;17;40;42;3; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;2; ;06;17;263,606669213255
3748516;1;4;1;70;17;8;48;1; ;2;3;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;70000;2;83;95;45;1;1;4521;06;17;192,457780617327
3748517;1;3;1;70;17;1;20;1; ;2;24;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;39;92;1;1;9214;06;17;214,104697975293
3748518;1;2;1;70;17;16;60;3; ;2;260;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;55;74;1;2;7493;06;17;194,099626985447
3748519;1;2;1;70;17;1;48;1; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;1;7493;06;17;206,927667032435
3748521;1;1;1;70;17;3;60;1; ;2;28;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;1;6031;06;17;212,698344006659
3748522;1;2;1;70;17;1;48;1; ;2;52;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;1;5521;06;17;189,865405739729
3748523;1;1;1;70;17;4;40;1; ;2;8;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;1;8512;06;17;209,003413982151
3748524;1;3;1;70;17;2;40;1; ;2;6;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;33;52;1;1;5211;06;17;166,361154205659
3748529;1;1;1;70;76;104;45;1; ;2;208;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;75;1;2;7523;06;76;1147,25864848462
3748529;1;2;1;70;76;8;30;4; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;17;17;92;1;1;9214;06;76;1147,25864848462
3748532;1;1;1;70;76;13;48;1; ;2;14;1; ;3;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;06;76;1381,67560876508
3748549;1;1;1;70;76;6;48;1; ;2;7;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;15;1;1;1581;06;76;965,969864226351
3748558;1;3;1;70;76;4;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;55; ; ;1;1; ;06;76;767,486582118048
3748740;1;2;1;70;73;48;20;4; ;2;96;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;90;38;64;1;2;6421;06;73;213,479289317611
3748742;1;3;1;70;73;2;48;1; ;2;2;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;644350;2;45;45;24;1;1;2424;06;73;191,902198054481
3748743;1;1;1;70;73;8;48;1; ;2;6;1; ;7;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;51;1;1;5139;06;73;239,507051059391
3748749;1;2;1;70;73;2;40;4; ;2;7;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;85;1;1;8532;06;73;249,652966362913
3748755;1;1;1;70;73;12;48;4; ;2;99;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;70;1;1;7020;06;73;229,442365046659
3748760;1;3;1;70;73;24;20;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;99; ; ;1;2; ;06;73;323,088983972923
3748762;1;2;1;70;73;2;48;8; ;2;2;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;62;62;01;1;1;0111;06;73;374,022991978727
3748763;1;1;1;70;73;2;48;8; ;2;3;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;800000;2;62;62;01;1;1;0111;06;73;271,406661116216
3748763;1;7;1;70;73;2;48;4; ;2;12;4; ;1;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;51;1;1;5155;06;73;271,406661116216
3748766;1;7;1;70;73;24;48;1; ;2;24;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;79;19;1;2;1939;06;73;377,850072905756
3748770;1;3;1;70;73;18;48;1; ;2;65;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;07;07;85;1;2;8513;06;73;150,019131275715
3748772;1;1;1;70;73;12;80;1; ;2;56;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;1;6042;06;73;235,861353760094
3748774;1;4;1;70;73;12;48;1; ;2;120;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8060;06;73;209,312993021196
3748783;1;4;1;70;68;4;40;1; ;2;156;4; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;12;59;85;1;1;8531;06;68;462,947860039123
3748786;1;5;1;70;68;4;20;4; ;2;156;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;57;57;93;1;1;9309;06;68;612,569498024066
3748796;1;4;1;70;68;20;48;1; ;2;24;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;08;38;74;1;2;7499;06;68;582,170102702459
3748798;2;5;2;70;68;3;50;1; ;2;3;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;120000;2;93;55;45;1;1;4521;06;68;492,541875875527
3748800;1;7;1;70;68;4;48;1; ;2;52;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;80;19;1;1;1921;06;68;442,113280478592
3748806;1;2;1;70;68;8;48;1; ;2;8;1; ;9;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;39;98;51;1;1;5125;06;68;275,755273707239
3748807;1;2;1;70;68;8;48;1; ;2;24;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;80;19;1;1;1921;06;68;563,075485655512
3748811;1;1;1;70;68;2;60;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;98;98;60;1;1;6031;06;68;635,929877959635
3748813;1;3;1;70;68;52;48;4; ;2;52;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;350000;2;95;95;36;1;2;3611;06;68;491,564677306469
3748831;1;3;1;70;52;2;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;07; ; ;1;1; ;06;52;172,943470849609
3748832;1;2;1;70;52;26;40;4; ;2;8;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;80;1;2;8011;06;52;227,782523087701
3748835;1;2;1;70;52;28;50;1; ;2;28;1; ;5;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2;58;53;55;1;2;5521;06;52;227,782523087701
3748844;1;1;1;70;52;52;24;1; ;2;8;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;18;92;1;2;9241;06;52;193,263450996897
3748851;1;2;1;70;52;52;48;4; ;2;52;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;2;6042;06;52;169,449346249418
3748851;1;3;1;70;52;104;48;1; ;2;104;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5211;06;52;169,449346249418
3748855;1;3;1;70;52;22;44;1; ;2;38;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;45;50;1;2;5030;06;52;226,026204706868
3748881;1;1;1;70;52;156;24;3; ;2;364;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;45;52;1;2;5235;06;52;185,197139762099
3748882;1;2;1;70;52;4;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;06;52;164,735499510664
3748884;1;1;1;70;52;2;40;2; ;2;3;4; ;1;2; ; ; ; ; ; ; ; ;1; ;ESTUDIANDO;1;200000;2;12;12;74;1;1;7411;06;52;162,112658762651
3748889;1;11;1;70;52;22;56;2; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;2; ;06;52;244,803097991497
3748904;1;3;1;70;52;24;48;1; ;2;24;4; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8050;06;52;175,180922776291
3748910;1;2;1;70;52;104;48;3; ;2;98;5; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;51;55;1;2;5529;06;52;183,162824541623
3748910;1;3;1;70;52;2;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;12; ; ;1;1; ;06;52;183,162824541623
3748913;1;2;1;70;52;34;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;06;52;233,08879235155
