DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
5494237;1;3;1;70;05;2;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;908526; ; ; ;03; ;1;1;   .;07;05;870,829140775727
5494249;1;2;1;70;05;100;48;1; ;2;100;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;84;11;11;1;2;8412;07;05;1215,32607214556
5494253;1;1;1;70;05;12;48;1; ;2;16;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;41;95;95;1;1;4112;07;05;1677,42221735423
5494253;2;1;2;70;05;8;48;1; ;2;20;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;55;45;1;1;4729;07;05;1677,42221735423
5494254;1;1;1;70;05;4;48;1; ;2;12;1; ;5;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;68;58;58;1;1;6820;07;05;2367,9388653391
5494255;1;2;1;70;05;4;48;1; ;2;28;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;41;95;95;1;1;4112;07;05;1489,35658097011
5494255;1;3;1;70;05;24;48;1; ;2;28;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;45;45;1;2;4711;07;05;1489,35658097011
5494255;1;4;1;70;05;20;48;1; ;2;20;1; ;6;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;41;95;95;1;2;4111;07;05;1489,35658097011
5494255;1;7;1;70;05;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;908526; ; ; ;45; ;1;1;   .;07;05;1489,35658097011
5494259;1;1;1;70;05;8;48;1; ;2;8;1; ;7;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;94;11;33;1;1;9499;07;05;992,666463675625
5494266;1;3;1;70;05;8;48;4; ;2;8;4; ;2;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;96;57;57;1;1;9602;07;05;1283,97280726522
5494270;1;4;1;70;05;1;60;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;920000; ; ; ;97; ;1;1;   .;07;05;1102,47045943144
5494272;1;3;1;70;05;8;48;1; ;2;11;1; ;7;1;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;1;1;07;32;32;1;1;0722;07;05;1667,52579261298
5494274;1;1;1;70;05;58;48;3; ;2;58;3; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;97;54;54;1;2;9700;07;05;1315,63125203365
5494274;1;2;1;70;05;52;48;3; ;2;54;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;97;54;54;1;2;9700;07;05;1315,63125203365
5494275;1;1;1;70;05;32;48;4; ;2;66;4; ;1;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;14;79;79;1;2;1410;07;05;1131,66070081413
5494275;1;2;1;70;05;4;48;1; ;2;5;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;56;53;53;1;1;5611;07;05;1131,66070081413
5494276;1;1;1;70;05;16;48;1; ;2;20;1; ;9;2;3; ; ;1; ; ; ; ; ; ; ; ;2; ;1000000;2; ;29;95;03;1;2;2910;07;05;848,152406193074
5494276;1;4;1;70;05;20;48;1; ;2;20;1; ;5;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;41;95;95;1;2;4111;07;05;848,152406193074
5494280;1;2;1;70;05;52;48;1; ;2;66;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;49;98;98;1;2;4921;07;05;872,490838028517
5494280;1;4;1;70;05;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;908526; ; ; ;38; ;1;2;   .;07;05;872,490838028517
5494282;1;2;1;70;05;24;48;1; ;2;170;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;85;32;32;1;2;8544;07;05;1924,44071144886
5494284;1;1;1;70;05;12;50;1; ;2;24;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;25;21;21;1;1;2591;07;05;1325,60527305141
5494293;1;2;1;70;05;28;48;1; ;2;28;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;82;45;33;1;2;8291;07;05;828,321030080446
5494294;1;3;1;70;05;20;48;1; ;2;52;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;10;97;55;1;2;1011;07;05;2480,15990710634
5494295;1;2;1;70;05;16;48;1; ;2;16;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;22;39;39;1;2;2221;07;05;994,328160928415
5494296;1;3;1;70;05;52;48;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;56;45;53;1;2;5619;07;05;1160,61182014058
5494306;1;2;1;70;05;4;48;1; ;2;4;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;53;53;1;1;4729;07;05;1019,83784420238
5494307;1;2;1;70;05;52;48;1; ;2;52;1; ;9;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;3000000;2; ;85;07;13;1;2;8544;07;05;1805,02043456039
5494310;1;1;1;70;05;52;48;4; ;2;52;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;3500000;2; ;90;16;16;1;2;9005;07;05;1325,60527305141
5494314;1;3;1;70;05;8;48;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;27;02;02;1;1;2711;07;05;697,501996994771
5494315;1;4;1;70;05;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;908526; ; ; ;38; ;1;1;   .;07;05;1045,93602335638
5494334;1;2;1;70;05;28;48;4; ;2;28;1; ;7;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;650000;2; ;41;95;95;1;2;4111;07;05;634,238795139703
5494334;1;3;1;70;05;24;48;1; ;2;24;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;31;95;93;1;2;3110;07;05;634,238795139703
5494336;1;1;1;70;05;24;72;1; ;2;24;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;50000;908526;2; ;86;58;55;1;2;8610;07;05;1060,42138748398
5494339;1;2;1;70;05;60;48;2; ;2;60;1; ;7;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;85;13;13;1;2;8530;07;05;1167,65530470937
