DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5498845;1;1;1;70;2;8;48;1; ;2;8;1; ;4;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;96;59;57;1;1;07;9602;15;2430,31435646858
5499636;1;3;1;70;2;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;950000; ; ; ;59; ;1;1;07;   .;41;2520,69937051148
5499639;1;1;1;70;2;2;48;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;01;61;61;1;1;07;0161;41;1899,95666362679
5503147;1;2;1;70;2;8;40;3; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;920000;2; ;81;54;54;1;1;07;8121;50;704,270795500922
5503149;1;3;1;70;2;8;50;8; ;2;8;8; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;01;62;62;1;1;07;0141;50;672,608484983592
5503156;1;3;1;70;2;52;48;1; ;2;52;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;85;13;13;1;2;07;8553;50;672,608484983592
5503163;1;1;1;70;2;2;48;4; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;800000;2; ;56;53;53;1;1;07;5611;50;2261,52061022993
5503170;1;1;1;70;2;8;50;8; ;2;8;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;01;62;62;1;1;07;0141;50;2690,43393993437
5503963;1;1;1;70;2;4;36;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;80000;250000;2; ;01;62;62;1;1;07;0111;23;4836,47044364529
5503966;1;1;1;70;2;4;48;8; ;2;6;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;01;62;62;1;1;07;0161;23;6954,62555666739
5503971;1;1;1;70;2;4;48;4; ;2;6;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;01;62;62;1;1;07;0161;23;6142,94767136211
5504006;1;1;1;70;2;4;42;4; ;2;62;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;200000;2; ;95;80;80;1;1;07;9523;23;3618,31216719247
5504014;1;1;1;70;2;8;48;1; ;2;8;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;01;95;62;1;1;07;0141;23;1088,98303027696
