DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6410S1;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P6790;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P1879;P1805;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P1880;P1881;P1882;P3148;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P7240;P7240S1;OFICIO;RAMA2D_R4;OCI;MES;P6430;RAMA4D_R4;INGLABO;DPTO;fex_c_2011;RAMA4DP8_R4
5498842;1;1;1;60;2;15;2; ; ; ; ; ; ; ; ; ; ;400; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;600000;1;98;3; ;12;2; ; ; ; ;3;1;1;50; ;                                                                                                                                                                                                                                                         .;20;6; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;40;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;1;2; ;61;01;1;07;4;0161;600000;15;2430,31435646858; 
5498843;1;1;1;60;2;15;2; ; ; ; ; ; ; ; ; ; ;120; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;1;1;2021;2;500000;1;8000000;3; ;12;1;1;0;1;0;2;6;2;30;2; ;30; ; ;2;8; ;2; ;1;4;2;15;1;1; ; ; ; ; ; ; ; ;2;2;1;0;36;1; ;2; ; ; ; ; ; ; ;10;3;2; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;2; ;62;01;1;07;4;0141;500000;15;8824,47746837621; 
5498843;1;2;1;60;2;15;2; ; ; ; ; ; ; ; ; ; ;132; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;1;1;2021;2;100000;1;8000000;3; ;12;1;1;0;1;0;2;6;2;15;2; ;15; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;2; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;2; ;62;01;1;07;4;0141;100000;15;8824,47746837621; 
5498844;1;1;1;60;2;15;2; ; ; ; ; ; ; ; ; ; ;120; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;800000;1;98;3; ;12;2; ; ; ; ;3;3;2;60; ;                                                                                                                                                                                                                                                         .;60; ; ;1;8; ;2; ;2; ; ; ;1; ; ;1; ; ; ; ; ; ;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;11;20; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;2; ;62;01;1;07;4;0161;800000;15;4807,33810236247; 
5498845;1;2;1;60;2;15;2; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;0;1;0;3; ;12;2; ; ; ; ;3;1;1;50; ;                                                                                                                                                                                                                                                         .;50; ; ;1;7; ;5; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;33;1; ;2; ; ; ; ; ; ; ;1;3;5; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;1;5; ;45;47;1;07;4;4711;0;15;2430,31435646858; 
5498847;1;1;1;60;2;15;2; ; ; ; ; ; ; ; ; ; ;56; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;700000;1;8000000;3; ;12;2; ; ; ; ;3;1;1;50; ;                                                                                                                                                                                                                                                         .;35;6; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;2;23;1; ;2; ; ; ; ; ; ; ;9;3;40;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;1;2; ;61;01;1;07;4;0161;700000;15;4923,45555260565; 
5498848;1;1;1;60;2;15;2; ; ; ; ; ; ; ; ; ; ;420; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;1;1;2021;2; ;1;98;3; ;12;2; ; ; ; ;2;9;2;30;2; ;30; ; ;1;8; ;1; ;1;2;2;15;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;2; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;2; ;61;01;1;07;4;0141; ;15;2430,31435646858; 
5498850;1;4;1;60;2;15;1;1; ; ;1; ; ;1;2;2;2;12; ;1; ;2;500000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;12; ; ; ; ; ; ; ; ;40; ;                                                                                                                                                                                                                                                         .;40; ; ;3;7; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;3;36;1; ;2; ; ; ; ; ; ; ;2;3;20; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;1;2; ;53;56;1;07;1;5611;500000;15;2430,31435646858; 
5499636;1;1;1;60;2;41;2; ; ; ; ; ; ; ; ; ; ;240; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;600000;1;5000000;1; ;12;2; ; ; ; ;2;1;2;45; ;                                                                                                                                                                                                                                                         .;32;6; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;1;24;4; ;2; ; ; ; ; ; ; ;3;11;15;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;1;5; ;61;01;1;07;4;0123;600000;41;2520,69937051148; 
5499636;1;4;1;60;2;41;2; ; ; ; ; ; ; ; ; ; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;300000;1;4000000;1; ;12;2; ; ; ; ;2;1;2;45; ;                                                                                                                                                                                                                                                         .;32;6; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;1;2;4; ;2; ; ; ; ; ; ; ;3;11;15;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;1;3; ;61;01;1;07;4;0123;300000;41;2520,69937051148; 
