DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5392695;1;2;1;80;17;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;17;248,98908871742
5392696;1;2;1;80;17;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;17;173,619280222673
5392696;1;4;1;80;17;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;4;17;173,619280222673
5392697;1;2;1;80;17;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;4;17;262,179502115593
5392697;1;3;1;80;17;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;17;262,179502115593
5392698;1;1;1;80;17;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;4;17;187,418830239973
5392698;1;2;1;80;17;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;4;17;187,418830239973
5392699;1;2;1;80;17;2; ; ; ;2; ; ;.;2; ;2; ;2; ;908526;2;1;03; ;17;250,588087160557
5392700;1;1;1;80;17;1;3; ;2; ; ;12;RRCIBE PENSION POR SUSTITUCION Y NO NECESITA TRABAJAR;3; ;2; ; ; ; ;3;1;03;4;17;199,494317252986
5392701;1;1;1;80;17;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;4;17;230,83690968429
5392702;1;1;1;80;17;1;8; ;1; ;1;9; ;2; ;2; ;1;48;908526;2;1;03;1,2;17;243,320630068696
5392703;1;2;1;80;17;1;8; ;1; ;3;9; ;2; ;2; ;1;24;500000;2;1;03;3;17;322,875176055679
5392705;1;1;1;80;17;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;4;17;236,86395225838
5392708;1;2;1;80;17;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;4;17;159,895145320495
5392853;1;2;1;80;50;1;3; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;2;50;368,800818024197
5392853;1;3;1;80;50;1;6; ;2; ; ;3; ;2; ;2; ; ; ; ;2;1;03;1,2;50;368,800818024197
5392854;1;4;1;80;50;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;50;319,778569820478
5392856;1;3;1;80;50;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;50;203,690383308724
5392858;1;1;1;80;50;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;4;50;185,983358204528
5392858;1;2;1;80;50;1;7; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;2;50;185,983358204528
5392858;1;3;1;80;50;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;4;50;185,983358204528
5392858;1;4;1;80;50;2; ; ; ;1;2;2; ;2; ;2; ; ; ; ;2;1;03; ;50;185,983358204528
5392859;1;1;1;80;50;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;3;50;298,422835538184
5392859;1;4;1;80;50;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03; ;50;298,422835538184
5392859;1;5;1;80;50;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;50;298,422835538184
5392860;1;1;1;80;50;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;3;50;200,559521778547
5392861;1;1;1;80;50;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;4;50;210,840410338471
5392862;1;2;1;80;50;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;50;248,204530285922
5392862;1;3;1;80;50;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03; ;50;248,204530285922
5392863;1;1;1;80;50;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;4;50;235,638063128968
5392863;1;2;1;80;50;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;50;235,638063128968
5392864;1;1;1;80;50;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;4;50;185,983358204528
5392864;1;2;1;80;50;1;3; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;4;50;185,983358204528
5392864;1;4;1;80;50;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;03;2;50;185,983358204528
5392865;1;1;1;80;50;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;2;50;210,840410338471
5392867;1;2;1;80;50;1;9;POR LA PANDEMIA DEL COVID 19;2; ; ;9; ;2; ;2; ;1;24;500000;2;1;03;2;50;237,604511175229
5392867;1;4;1;80;50;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;50;237,604511175229
5392867;1;5;1;80;50;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03; ;50;237,604511175229
5392867;1;6;1;80;50;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;4;50;237,604511175229
5392868;1;1;1;80;50;1;3; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;4;50;229,62888341841
5392870;1;2;1;80;50;1;3; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;4;50;203,690383308724
