DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;FT;DPTO;fex_c_2011
5392695;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;17;248,98908871742
5392695;1;2;1;50;17; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;248,98908871742
5392696;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;17;173,619280222673
5392696;1;2;1;50;17; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;173,619280222673
5392696;1;3;1;50;17; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;17;173,619280222673
5392696;1;4;1;50;17; ; ;4;6;DESCANSAR;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;173,619280222673
5392697;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;17;262,179502115593
5392697;1;2;1;50;17; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;262,179502115593
5392697;1;3;1;50;17; ; ;3;6;VER TELEVISION;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;262,179502115593
5392698;1;1;1;50;17; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;187,418830239973
5392698;1;2;1;50;17; ; ;2;6;DESCANSAR;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;187,418830239973
5392699;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;17;250,588087160557
5392699;1;2;1;50;17; ; ;1;3; ;2;2;2;2;1;12; ; ; ; ; ; ;03;1;17;250,588087160557
5392700;1;1;1;50;17; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;199,494317252986
5392701;1;1;1;50;17; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;230,83690968429
5392701;1;2;1;50;17;1; ;2;6;DESCANSAR;2;2;2;1; ; ; ; ; ; ; ;1;03;1;17;230,83690968429
5392702;1;1;1;50;17; ; ;1;4; ;2;2;2;2;1;13;FALTA DE RECURSOS ECONOMICOS; ; ; ; ; ;03;1;17;243,320630068696
5392703;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;17;322,875176055679
5392703;1;2;1;50;17; ; ;2;4; ;2;2;2;2;1;6; ;2; ;2; ; ;03;1;17;322,875176055679
5392705;1;1;1;50;17; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;236,86395225838
5392705;1;2;1;50;17;2; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;03;1;17;236,86395225838
5392707;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;17;274,663222499999
5392707;1;2;1;50;17;2; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;03;1;17;274,663222499999
5392708;1;1;1;50;17;1; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;03;1;17;159,895145320495
5392708;1;2;1;50;17; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;159,895145320495
5392708;1;3;1;50;17; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;17;159,895145320495
5392708;1;4;1;50;17; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;17;159,895145320495
5392852;1;1;1;50;50; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;50;331,223871864319
5392853;1;1;1;50;50; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;50;368,800818024197
5392853;1;2;1;50;50; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;50;368,800818024197
5392853;1;3;1;50;50; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;50;368,800818024197
5392854;1;1;1;50;50; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;50;319,778569820478
5392854;1;2;1;50;50; ; ;2;6;TRABAJADOR FAMILIAR SIN REMUNERACION;2;2;1; ; ; ; ; ; ; ; ; ;03;1;50;319,778569820478
5392854;1;3;1;50;50;2; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;03;1;50;319,778569820478
5392854;1;4;1;50;50; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;50;319,778569820478
5392855;1;1;1;50;50; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;50;314,933803593837
5392856;1;1;1;50;50; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;50;203,690383308724
5392856;1;2;1;50;50; ; ;2;6;TRABAJADOR FAMILIAR SIN REMUNERACION;2;2;1; ; ; ; ; ; ; ; ; ;03;1;50;203,690383308724
5392856;1;3;1;50;50; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;50;203,690383308724
5392857;1;1;1;50;50; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;50;331,223871864319
5392858;1;1;1;50;50; ; ;1;6;DESCANSANDO PENSIONADO;2;2;2;2;2; ; ; ; ; ; ; ;03;1;50;185,983358204528
5392858;1;2;1;50;50; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;50;185,983358204528
5392858;1;3;1;50;50; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;50;185,983358204528
5392858;1;4;1;50;50; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;50;185,983358204528
5392859;1;1;1;50;50; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;50;298,422835538184
5392859;1;2;1;50;50; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;50;298,422835538184
5392859;1;4;1;50;50; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;50;298,422835538184
5392859;1;5;1;50;50; ; ;5;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;50;298,422835538184
5392859;1;6;1;50;50; ; ;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;50;298,422835538184
