Directorio;Secuencia_p;Orden;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Clase;Dpto;Area;Fex_c_2011
304154;2;2;80;1;3;0; ;2; ; ; ; ; ;1;17;17;170,897998971769
304155;2;1;80;1;4;5; ;2; ; ; ; ; ;1;17;17;181,998389172594
304155;2;2;80;2; ; ; ; ; ; ; ; ; ;1;17;17;181,998389172594
304156;2;1;80;1;4;4; ;3; ; ; ; ; ;1;17;17;160,287507242698
304157;2;3;80;2; ; ; ; ; ; ; ; ; ;1;17;17;236,054450671726
304158;2;1;80;1;3;4; ;3; ; ; ; ; ;1;17;17;160,287507242698
304159;2;2;80;1;4;3; ;2; ; ; ; ; ;1;17;17;217,007202993655
304160;2;2;80;2; ; ; ; ; ; ; ; ; ;1;17;17;152,353737223927
304161;2;2;80;2; ; ; ; ; ; ; ; ; ;1;17;17;213,655989621144
304161;2;5;80;2; ; ; ; ; ; ; ; ; ;1;17;17;213,655989621144
304162;2;2;80;2; ; ; ; ; ; ; ; ; ;1;17;17;176,118074967553
304162;2;3;80;2; ; ; ; ; ; ; ; ; ;1;17;17;176,118074967553
304163;2;2;80;2; ; ; ; ; ; ; ; ; ;1;17;17;214,478102161125
304163;2;5;80;2; ; ; ; ; ; ; ; ; ;1;17;17;214,478102161125
304165;2;2;80;1;1;8;POR TEMPORADA;2; ; ; ; ; ;1;17;17;168,368898139239
304167;2;2;80;1;2;2; ;2; ; ; ; ; ;1;17;17;143,964090345365
304167;2;3;80;2; ; ; ; ; ; ; ; ; ;1;17;17;143,964090345365
304167;3;2;80;2; ; ; ; ; ; ; ; ; ;1;17;17;143,964090345365
304167;3;4;80;2; ; ; ; ; ; ; ; ; ;1;17;17;143,964090345365
304167;3;6;80;2; ; ; ; ; ; ; ; ; ;1;17;17;143,964090345365
304167;3;7;80;2; ; ; ; ; ; ; ; ; ;1;17;17;143,964090345365
304167;4;1;80;2; ; ; ; ; ; ; ; ; ;1;17;17;143,964090345365
304168;2;3;80;1;1;7; ;2; ; ; ; ; ;1;17;17;249,023703495825
304168;2;5;80;2; ; ; ; ; ; ; ; ; ;1;17;17;249,023703495825
304170;2;2;80;1;4;6; ;2; ; ; ; ; ;1;17;17;172,29420985812
304172;2;3;80;2; ; ; ; ; ; ; ; ; ;1;17;17;178,073077453713
304174;2;1;80;1;4;4; ;3; ; ; ; ; ;1;17;17;172,29420985812
304174;2;2;80;2; ; ; ; ; ; ; ; ; ;1;17;17;172,29420985812
304175;2;3;80;2; ; ; ; ; ; ; ; ; ;1;17;17;169,807093366716
304175;2;4;80;2; ; ; ; ; ; ; ; ; ;1;17;17;169,807093366716
304176;2;1;80;2; ; ; ; ; ; ; ; ; ;1;17;17;160,287507242698
304179;2;1;80;1;1;3; ;3; ; ; ; ; ;1;17;17;137,889046192116
304179;2;2;80;2; ; ; ; ; ; ; ; ; ;1;17;17;137,889046192116
304180;2;2;80;1;1;7; ;2; ; ; ; ; ;1;17;17;184,456377588983
304181;2;4;80;2; ; ; ; ; ; ; ; ; ;1;17;17;247,875506803085
304181;2;5;80;2; ; ; ; ; ; ; ; ; ;1;17;17;247,875506803085
304181;2;6;80;2; ; ; ; ; ; ; ; ; ;1;17;17;247,875506803085
304184;2;2;80;2; ; ; ; ; ; ; ; ; ;1;18;18;61,5259301506411
304184;2;3;80;2; ; ; ; ; ; ; ; ; ;1;18;18;61,5259301506411
304184;2;4;80;2; ; ; ; ; ; ; ; ; ;1;18;18;61,5259301506411
304184;3;2;80;1;4;2; ;2; ; ; ; ; ;1;18;18;61,5259301506411
304186;2;1;80;1;3;7; ;2; ; ; ; ; ;1;18;18;54,2468173722886
304187;2;1;80;2; ; ; ; ; ; ; ; ; ;1;18;18;93,1135168148302
304187;2;3;80;1;1;3; ;2; ; ; ; ; ;1;18;18;93,1135168148302
304187;2;4;80;2; ; ; ; ; ; ; ; ; ;1;18;18;93,1135168148302
304187;2;12;80;1;1;2; ;2; ; ; ; ; ;1;18;18;93,1135168148302
304188;2;2;80;2; ; ; ; ; ; ; ; ; ;1;18;18;41,9940659192478
304189;2;2;80;1;4;6; ;3; ; ; ; ; ;1;18;18;77,1145970613151
304190;2;2;80;1;3;0; ;2; ; ; ; ; ;1;18;18;68,4121880917653
304191;2;2;80;1;4;2; ;2; ; ; ; ; ;1;18;18;67,1559443532361
304194;2;1;80;2; ; ; ; ; ; ; ; ; ;1;18;18;58,262322235723
304195;2;2;80;2; ; ; ; ; ; ; ; ; ;1;18;18;58,6715310838584
304196;2;2;80;1;1;2; ;2; ; ; ; ; ;1;18;18;58,9389976923207
304196;2;3;80;2; ; ; ; ; ; ; ; ; ;1;18;18;58,9389976923207
304196;2;4;80;2; ; ; ; ; ; ; ; ; ;1;18;18;58,9389976923207
304197;2;2;80;2; ; ; ; ; ; ; ; ; ;1;18;18;30,2894370681888
304197;2;3;80;2; ; ; ; ; ; ; ; ; ;1;18;18;30,2894370681888
304197;2;4;80;2; ; ; ; ; ; ; ; ; ;1;18;18;30,2894370681888
304197;2;5;80;2; ; ; ; ; ; ; ; ; ;1;18;18;30,2894370681888
304198;2;1;80;1;4;3; ;2; ; ; ; ; ;1;18;18;67,1559443532361
304198;2;2;80;2; ; ; ; ; ; ; ; ; ;1;18;18;67,1559443532361
304200;2;3;80;2; ; ; ; ; ; ; ; ; ;1;18;18;68,4179349851385
304201;2;2;80;1;4;2; ;2; ; ; ; ; ;1;18;18;71,6886890684712
304202;2;3;80;2; ; ; ; ; ; ; ; ; ;1;18;18;68,4179349851385
