Directorio;Secuencia_p;Orden;Regis;P6230;P6240;P6240s1;P6250;P6260;P6270;P6280;P6290;P6290s1;P6300;P6310;P6310s1;P6320;P6330;P6340;P6350;P6351;Clase;Dpto;Area;Fex_c_2011
304110;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2522,05210003979
304110;2;2;50;2;4; ;2;2;2;2; ; ;1;10; ; ; ; ; ; ;1;11;11;2522,05210003979
304111;2;1;50;1;6;DESCANSANDO;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;11;11;1736,21534251841
304111;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;11;11;1736,21534251841
304111;2;3;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;1736,21534251841
304111;2;4;50;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;1736,21534251841
304112;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2560,11440107108
304112;2;2;50;2;4; ;2;2;2;2; ; ;1;10; ; ; ; ; ; ;1;11;11;2560,11440107108
304112;2;3;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;11;11;2560,11440107108
304113;2;1;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;11;11;1621,99972761103
304113;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;11;11;1621,99972761103
304114;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2053,93087636199
304114;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2053,93087636199
304114;2;3;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2053,93087636199
304114;2;4;50;4;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;11;11;2053,93087636199
304114;2;5;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;11;11;2053,93087636199
304114;2;6;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;11;11;2053,93087636199
304115;2;1;50;1;6;ENFERMO;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;11;11;1621,99972761103
304115;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;11;11;1621,99972761103
304116;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2346,2130451577
304116;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;11;11;2346,2130451577
304117;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2008,89163047698
304117;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2008,89163047698
304117;2;3;50;3;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;11;11;2008,89163047698
304118;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2127,54414403016
304118;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2127,54414403016
304118;2;3;50;3;4; ;2;2;2;1;1; ; ; ; ; ; ; ; ;1;1;11;11;2127,54414403016
304118;2;4;50;4;6;DORMIR;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;11;11;2127,54414403016
304118;2;5;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;11;11;2127,54414403016
304119;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2411,29279866256
304119;2;2;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2411,29279866256
304119;2;3;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;11;11;2411,29279866256
304120;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2094,66327388211
304120;2;2;50;2;4; ;2;2;2;2; ; ;1;10; ; ; ; ; ; ;1;11;11;2094,66327388211
304120;2;5;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2094,66327388211
304120;2;6;50;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2094,66327388211
304121;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2733,64592808599
304121;2;2;50;2;4; ;2;2;2;2; ; ;1;11; ; ; ; ; ; ;1;11;11;2733,64592808599
304121;2;3;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;11;11;2733,64592808599
304121;2;7;50;7;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2733,64592808599
304121;2;8;50;8;3; ;2;2;2;1;3; ; ; ; ; ; ; ; ;1;1;11;11;2733,64592808599
304122;2;1;50;1;6;DESCANSAR;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2554,27554709787
304122;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;11;11;2554,27554709787
304122;2;3;50;3;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;11;11;2554,27554709787
304122;2;4;50;4;6;DESCANZAR;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;11;11;2554,27554709787
304122;3;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2554,27554709787
304122;3;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2554,27554709787
304123;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2460,03456481163
304123;2;2;50;2;4; ;2;2;2;2; ; ;1;10; ; ; ; ; ; ;1;11;11;2460,03456481163
304124;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2359,72177139449
304124;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;11;11;2359,72177139449
304125;2;1;50;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;258,448601362915
304125;2;2;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;13;13;258,448601362915
304125;2;3;50;3;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;13;13;258,448601362915
304126;2;1;50;1;6;JUGA R  CARTAS;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;13;13;280,340723973245
304127;2;1;50;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;174,137370221468
304127;2;2;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;13;13;174,137370221468
304127;2;3;50;3;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;13;13;174,137370221468
304127;2;4;50;4;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;13;13;174,137370221468
304127;2;5;50;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;174,137370221468
304127;2;6;50;6;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;174,137370221468
304127;2;7;50;7;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;174,137370221468
304127;2;8;50;8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;174,137370221468
304128;2;1;50;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;274,255822332884
304128;2;2;50;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;274,255822332884
