DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,CLASE,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,AREA,fex_c_2011
570754,1,6,70,3,48,1,,2,5,1,,3,7,,,,,,,,,,1,,1,600000,2,1,1,16,16,7499,74,5,5,107.845.157.267.357
570755,1,3,70,3,48,1,,2,4,1,,9,3,,,,,,,,,,1,,1,1300000,2,1,1,3,3,4530,45,5,5,115.983.303.958.299
570761,1,1,70,4,60,4,,2,4,4,,1,1,,,,,,,,,,1,,1,400000,2,1,1,93,93,4552,45,5,5,134.264.545.644.506
570763,1,3,70,20,48,1,,2,30,4,,2,1,,,,,,,,,,1,,2,,2,1,1,58,95,4521,45,5,5,125.964.733.599.213
570764,1,2,70,8,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,45,,,,5,5,131.656.397.935.622
570768,1,1,70,4,48,1,,2,8,2,,9,2,,,,,,,,,,1,,2,,2,1,1,21,13,8050,80,5,5,102.256.298.988.687
570772,1,1,70,30,50,1,,2,1,4,,1,4,,,,,,,,,,1,,2,,2,1,1,45,77,1551,15,5,5,92.334.863.532.115
570772,1,2,70,6,24,1,,2,18,1,,9,4,,,,,,,,,,1,,2,,2,1,1,45,97,1810,18,5,5,92.334.863.532.115
570778,1,1,70,4,48,1,,2,4,1,,2,4,,,,,,,,,,1,,1,300000,2,1,1,93,83,2892,28,5,5,100.967.981.364.278
570778,1,6,70,16,48,3,,2,16,1,,2,1,,,,,,,,,,1,,2,,2,1,1,54,55,5511,55,5,5,100.967.981.364.278
570788,1,2,70,4,48,1,,2,8,1,,2,1,,,,,,,,,,1,,2,,2,1,1,5,5,7499,74,5,5,128.196.596.453.475
