DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6050;P6060;P6060S1;P6070;P6081S1;P6081;P6082;P6083S1;P6083;P6084;P6085;P6071S1;P6071;P6085S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6992;P6992S1;P6160;P6170;P6175;P6180;P6180S1;P6180S2;P6190;P6190S1;P6200;P6200S1;P6210;P6210S1;P6220;P6177;P6177S1;P6040;DPTO;fex_c_2011
570752;1;1;5;10;1;1;1;6;1941;1;2;;3;;3;1;;3;1;2;2;1;;1;;;1;5;;2;;.;2;2;;;;;;;;;1;0;;;;66;5;806.125.192.271.945
570752;1;2;5;10;2;2;1;11;1945;2;2;;3;;3;1;;2;1;2;1;1;;1;;;1;2;54200;2;;.;2;2;;;;;;;;;3;1;;;;62;5;806.125.192.271.945
570752;1;3;5;10;3;2;1;11;1973;3;2;;6;1;1;;2;1;;2;;;;2;1;36;;;;2;1;;1;2;;;;;;;;;4;8;;;;34;5;806.125.192.271.945
570752;1;4;5;10;3;2;1;12;1993;4;2;;6;;2;2;3;1;;2;;;;2;1;36;;;;2;1;;1;1;1;2;;;2;;2;;4;8;;;;14;5;806.125.192.271.945
570753;1;1;5;10;1;1;1;4;1960;1;2;;3;;3;2;;2;2;2;2;1;;1;;;1;5;;2;;.;1;2;;;;;;;;;4;7;;;;47;5;901.516.038.599.554
570753;1;2;5;10;2;2;1;10;1964;2;2;;3;;2;2;;2;2;2;1;1;;1;;;1;3;56000;2;;.;1;2;;;;;;;;;4;8;;;;43;5;901.516.038.599.554
570753;1;3;5;10;3;2;1;11;1985;3;2;;6;1;1;;2;1;;2;;;;1;;;1;1;17348;2;;.;1;2;;;;;;;;;6;3;3;9;;22;5;901.516.038.599.554
570753;1;4;5;10;2;2;1;12;1992;3;2;;6;1;1;;2;1;;2;;;;1;;;1;5;;2;;.;1;1;1;2;;;2;;2;;4;9;;;;15;5;901.516.038.599.554
570754;1;1;5;10;1;1;1;5;1963;1;2;;3;;3;5;;3;2;2;2;1;;1;;;1;5;;2;;.;1;2;;;;;;;;;5;11;2;;;44;5;107.845.157.267.357
570754;1;2;5;10;2;2;1;5;1968;2;2;;3;;2;2;;2;2;2;1;1;;1;;;1;1;22000;2;;.;1;2;;;;;;;;;5;11;2;;;39;5;107.845.157.267.357
570754;1;3;5;10;1;1;1;4;1991;3;2;;6;1;1;;2;1;;2;;;;1;;;1;5;;2;;.;1;1;1;2;;;2;;2;;4;8;;;;16;5;107.845.157.267.357
570754;1;4;5;10;1;1;1;10;1993;3;2;;6;1;1;;2;1;;2;;;;1;;;1;5;;2;;.;1;1;1;2;;;2;;2;;4;0;;;;14;5;107.845.157.267.357
570754;1;5;5;10;1;1;1;5;2001;3;2;;;1;1;;2;1;;2;;;;1;;;1;5;;2;;.;2;1;1;2;;;2;;2;;3;0;;;;6;5;107.845.157.267.357
570754;1;6;5;10;6;1;1;8;1985;3;2;;2;1;1;;2;1;;2;7;1;;2;1;1;;;;2;1;;1;2;;;;;;;;;6;2;3;9;;22;5;107.845.157.267.357
570754;1;7;5;10;6;2;1;8;1990;5;2;;2;;2;3;;2;3;2;6;1;;1;;;1;5;;2;;.;1;1;1;2;;;2;;2;;6;0;2;;;17;5;107.845.157.267.357
570754;1;8;5;10;6;2;1;9;2007;4;2;;;6;1;;7;1;;2;;;;2;1;3;;;;2;1;;;;;;;;;;;;;;;;;0;5;107.845.157.267.357
570755;1;1;5;10;1;1;1;4;1950;1;2;;3;;3;2;;3;2;2;2;1;;1;;;3;;;2;;.;1;2;;;;;;;;;3;5;;;;57;5;115.983.303.958.299
570755;1;2;5;10;2;2;1;8;1950;2;2;;3;;3;3;;3;3;2;1;1;;1;;;3;;;2;;.;1;2;;;;;;;;;3;3;;;;57;5;115.983.303.958.299
570755;1;3;5;10;3;1;1;1;1976;3;2;;6;1;1;;2;1;;2;;;;2;1;1;;;;2;1;;1;2;;;;;;;;;6;3;3;;;32;5;115.983.303.958.299
570755;1;4;5;10;4;2;1;6;1979;3;2;;6;1;1;;2;1;;2;;;;1;;;1;4;;2;;.;1;2;;;;;;;;;5;11;2;;;28;5;115.983.303.958.299
570757;1;1;5;10;1;1;1;8;1985;1;2;;2;;2;2;;2;2;2;2;1;;1;;;1;1;30000;2;;.;1;2;;;;;;;;;5;10;1;9;;22;5;103.654.030.213.307
570757;1;2;5;10;2;2;1;2;1984;2;2;;2;;2;2;;2;2;2;1;1;;1;;;1;5;;2;;.;1;2;;;;;;;;;5;11;2;10;;23;5;103.654.030.213.307
570758;1;1;5;10;1;1;1;3;1974;1;2;;2;;2;1;;2;2;2;2;1;;1;;;1;1;17348;2;;.;1;2;;;;;;;;;3;5;;;;33;5;116.200.262.260.862
570758;1;2;5;10;2;2;1;2;1980;2;2;;2;;2;2;;2;2;2;1;1;;1;;;1;1;17348;2;;.;1;2;;;;;;;;;4;8;;;;27;5;116.200.262.260.862
570758;1;3;5;10;1;1;1;9;1999;3;2;;;1;1;;2;1;;2;;;;1;;;1;5;;2;;.;1;1;1;2;;;2;;2;;3;2;;;;8;5;116.200.262.260.862
570759;1;1;5;10;1;1;1;1;1969;1;2;;3;;2;2;;2;2;1;2;1;2;1;;;3;;;2;;.;1;2;;;;;;;;;3;4;;;;39;5;131.624.661.645.156
570759;1;2;5;10;2;2;1;5;1972;2;2;;3;;3;2;;3;2;1;1;1;2;1;;;3;;;2;;.;1;2;;;;;;;;;3;4;;;;35;5;131.624.661.645.156
570759;1;3;5;10;2;1;1;9;1991;3;2;;6;1;1;;2;1;;1;;;2;1;;;3;;;2;;.;1;1;1;2;;;2;;2;;4;7;;;;16;5;131.624.661.645.156
570759;1;4;5;10;2;1;1;12;1995;3;2;;6;1;1;;2;1;;1;;;2;1;;;3;;;2;;.;1;1;1;1;200;2000;2;;2;;4;6;;;;12;5;131.624.661.645.156
570759;1;5;5;10;2;2;1;6;2005;3;2;;;1;1;;2;1;;1;;;2;1;;;3;;;2;;.;;;;;;;;;;;;;;;;2;5;131.624.661.645.156
570760;1;1;5;10;1;2;1;5;1959;1;2;;4;;2;2;;3;2;1;;;2;1;;;3;;;2;;.;1;2;;;;;;;;;3;3;;;;48;5;973.865.757.834.864
570761;1;1;5;10;1;1;1;10;1956;1;2;;6;;2;2;;3;2;1;;;2;1;;;3;;;1;;.;1;2;;;;;;;;;5;11;2;;;51;5;134.264.545.644.506
570762;1;1;5;10;1;1;1;5;1929;1;2;;2;;3;2;;3;2;2;2;1;;1;;;1;2;54200;2;;.;1;2;;;;;;;;;4;8;;;;78;5;119.888.821.607.824
570762;1;2;5;10;2;2;1;1;1957;2;2;;2;;3;1;;3;1;2;1;1;;1;;;1;5;;2;;.;1;2;;;;;;;;;3;5;;;;51;5;119.888.821.607.824
570763;1;1;5;10;1;1;1;11;1958;1;2;;3;;2;2;;2;2;1;2;1;2;1;;;1;5;;2;;.;1;2;;;;;;;;;3;4;;;;49;5;125.964.733.599.213
