DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;CLASE;P5070;DPTO;ORDEN;fex_c_2011
581101;1;3;3;6;;4;1;5;1;;;1500000;30000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;1;2;2;2;2;1;;;2;1;2;1;25;1;243.025.248.225.897
581102;1;3;3;2;1;1;1;4;1;;;10000000;400000;;2;2;2;2;2;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;1;1;1;1;2;1;2;1;25;1;23.482.481.600.437
581103;1;3;2;2;1;1;1;4;3;;;;;80000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;3;1;2;2;1;1;1;1;2;1;2;1;25;1;235.458.127.332.476
581104;1;2;2;4;1;4;6;5;1;;;2000000;30000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;2;2;2;2;2;2;;;;1;2;1;25;1;175.068.246.537.686
581105;1;2;2;6;;4;6;5;1;;;2000000;20000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;1;2;2;2;2;2;;;;1;2;1;25;1;224.687.966.128.005
581106;1;2;1;3;1;4;6;5;4;;;;20000;;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;;;1;2;1;25;1;181.385.621.676.325
581109;1;3;2;2;2;4;1;4;4;;;;150000;;2;1;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;2;;1;1;2;1;25;1;599.542.263.296.061
581110;1;3;2;2;1;4;1;4;3;;;;;100000;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;2;;1;1;2;1;25;1;59.532.758.597.749
581111;1;2;1;2;1;4;6;4;3;;;;;50000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;25;1;451.985.587.914.661
581112;1;1;1;2;1;3;6;4;4;;;;100000;;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;25;1;53.561.841.041.064
