DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,DPTO,fex_c_2011
570752,1,2,5,80,1,4,4,,3,,2,,,,,10,2,1,5,806.125.192.271.945
570752,1,4,5,80,2,,,,2,,2,,2,,.,,,1,5,806.125.192.271.945
570753,1,4,5,80,2,,,,2,,2,,2,,.,,,1,5,901.516.038.599.554
570754,1,3,5,80,2,,,,2,,2,,2,,.,,,1,5,107.845.157.267.357
570754,1,4,5,80,2,,,,2,,2,,2,,.,,,1,5,107.845.157.267.357
570754,1,7,5,80,2,,,,2,,2,,2,,.,,,1,5,107.845.157.267.357
570755,1,1,5,80,1,2,3,,2,,2,,,,,4,2,1,5,115.983.303.958.299
570755,1,2,5,80,2,,,,2,,2,,2,,.,,,1,5,115.983.303.958.299
570757,1,2,5,80,2,,,,2,,2,,1,1,,1,,1,5,103.654.030.213.307
570759,1,2,5,80,2,,,,2,,2,,2,,.,,,1,5,131.624.661.645.156
570759,1,3,5,80,2,,,,2,,2,,2,,.,,,1,5,131.624.661.645.156
570759,1,4,5,80,2,,,,2,,2,,2,,.,,,1,5,131.624.661.645.156
570760,1,1,5,80,1,3,3,,2,,2,,,,,4,2,1,5,973.865.757.834.864
570762,1,1,5,80,1,4,4,,3,,2,,,4,,4,1,1,5,119.888.821.607.824
570762,1,2,5,80,1,4,2,,2,,2,,,,,9,2,1,5,119.888.821.607.824
570763,1,4,5,80,1,1,7,,2,,2,,,,,6,2,1,5,125.964.733.599.213
570763,1,5,5,80,2,,,,2,,2,,2,,.,,,1,5,125.964.733.599.213
570765,1,2,5,80,2,,,,2,,2,,2,,.,,,1,5,107.887.903.197.806
570769,1,3,5,80,2,,,,2,,2,,2,,.,,,1,5,109.183.680.310.574
570772,1,4,5,80,2,,,,2,,2,,2,,.,,,1,5,92.334.863.532.115
570777,1,2,5,80,2,,,,2,,2,,2,,.,,,1,5,879.865.780.856.436
570778,1,2,5,80,1,1,2,,2,,2,,,,,9,2,1,5,100.967.981.364.278
570778,1,3,5,80,2,,,,2,,2,,2,,.,,,1,5,100.967.981.364.278
570778,1,4,5,80,2,,,,2,,2,,2,,.,,,1,5,100.967.981.364.278
570779,1,4,5,80,1,4,2,,2,,2,,,,,4,2,1,5,749.803.842.122.833
570782,1,3,5,80,1,3,6,,2,,2,,,,,9,2,1,5,142.684.125.367.759
570787,1,2,5,80,1,4,4,,3,,2,,,,,10,2,1,5,117.067.632.584.971
570797,1,1,5,80,1,2,5,,2,,2,,,,,8,2,1,5,899.724.226.492.148
570797,1,2,5,80,2,,,,2,,2,,2,,.,,,1,5,899.724.226.492.148
570798,1,1,5,80,2,,,,2,,2,,2,,.,,,1,5,177.421.552.748.905
570799,1,1,5,80,2,,,,2,,2,,1,2,,8,,1,5,113.942.407.609.087
570800,1,2,5,80,1,1,2,,2,,2,,,,,9,2,1,5,131.439.532.598.469
570800,1,3,5,80,2,,,,2,,2,,2,,.,,,1,5,131.439.532.598.469
