DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,fex_c_2011
570754,1,6,5,70,3,48,1,,2,5,1,,3,7,,,,,,,,,,1,,1,600000,2,1,16,16,7499,74,5,107.845.157.267.357
570755,1,3,5,70,3,48,1,,2,4,1,,9,3,,,,,,,,,,1,,1,1300000,2,1,3,3,4530,45,5,115.983.303.958.299
570761,1,1,5,70,4,60,4,,2,4,4,,1,1,,,,,,,,,,1,,1,400000,2,1,93,93,4552,45,5,134.264.545.644.506
570763,1,3,5,70,20,48,1,,2,30,4,,2,1,,,,,,,,,,1,,2,,2,1,58,95,4521,45,5,125.964.733.599.213
570764,1,2,5,70,8,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,45,,,,5,131.656.397.935.622
570768,1,1,5,70,4,48,1,,2,8,2,,9,2,,,,,,,,,,1,,2,,2,1,21,13,8050,80,5,102.256.298.988.687
570772,1,1,5,70,30,50,1,,2,1,4,,1,4,,,,,,,,,,1,,2,,2,1,45,77,1551,15,5,92.334.863.532.115
570772,1,2,5,70,6,24,1,,2,18,1,,9,4,,,,,,,,,,1,,2,,2,1,45,97,1810,18,5,92.334.863.532.115
570778,1,1,5,70,4,48,1,,2,4,1,,2,4,,,,,,,,,,1,,1,300000,2,1,93,83,2892,28,5,100.967.981.364.278
570778,1,6,5,70,16,48,3,,2,16,1,,2,1,,,,,,,,,,1,,2,,2,1,54,55,5511,55,5,100.967.981.364.278
570788,1,2,5,70,4,48,1,,2,8,1,,2,1,,,,,,,,,,1,,2,,2,1,5,5,7499,74,5,128.196.596.453.475
570794,1,2,5,70,14,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,45,,,,5,101.107.332.768.053
570818,1,2,5,70,28,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,55,,,,5,148.936.657.587.851
570818,1,3,5,70,10,48,1,,2,12,1,,4,4,,,,,,,,,,1,,2,,2,1,84,3,5170,51,5,148.936.657.587.851
570818,1,4,5,70,25,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,38,,,,5,148.936.657.587.851
570820,1,6,5,70,25,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,45,,,,5,11.979.755.729.311
570829,1,3,5,70,4,18,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,3,,,,5,140.353.260.975.468
570841,1,3,5,70,32,48,1,,2,32,1,,6,9,ESTA COTIZANDO A SALUD,,,,,,,,,1,,2,,2,1,9,9,6599,65,5,217.774.155.310.655
570842,1,2,5,70,16,48,1,,2,16,1,,9,9,CON LA EPS,,,,,,,,,1,,2,,2,1,21,30,8050,80,5,171.938.163.827.998
570845,1,1,5,70,16,84,1,,2,16,4,,1,8,,,,,,,,,,1,,2,,2,1,2,2,4530,45,5,226.710.981.714.465
570855,1,4,5,70,2,48,1,,2,2,1,,7,9,TIENE CUBRIMIENTO POR UN MES EN LA EPS DEL EMPLEO ANTERIOR,,,,,,,,,1,,1,450000,2,1,37,37,1730,17,5,12.770.564.826.322
570856,1,1,5,70,2,48,1,,2,9,1,,6,4,,,,,,,,,,1,,2,,2,1,32,32,5125,51,5,116.279.054.270.795
570857,1,4,5,70,4,48,1,,2,48,1,,8,4,,,,,,,,,,1,,2,,2,1,13,13,8043,80,5,115.983.303.958.299
570858,1,3,5,70,2,60,1,,2,3,1,,8,4,,,,,,,,,,1,,1,500000,2,1,45,97,5137,51,5,144.299.410.792.692
570858,1,4,5,70,48,48,1,,2,28,1,,9,4,,,,,,,,,,1,,2,,2,1,39,62,113,1,5,144.299.410.792.692
570863,1,2,5,70,20,48,1,,2,28,4,,4,2,,,,,,,,,,1,,2,,2,1,55,79,1810,18,5,135.288.247.369.381
570875,1,1,5,70,6,48,1,,2,96,1,,9,1,,,,,,,,,,1,,2,,2,1,21,55,2899,28,5,126.070.944.385.669
570884,1,3,5,70,8,48,1,,2,60,4,,1,9,EL PATRON PAGABA,,,,,,,,,1,,2,,2,1,98,98,6031,60,5,113.802.725.292.318
570903,1,2,5,70,2,48,1,,2,48,4,,9,1,,,,,,,,,,1,,2,,2,1,2,21,8050,80,5,175.267.489.785.575
570910,1,2,5,70,8,48,1,,2,3,4,,2,4,,,,,,,,,,1,,1,200000,2,1,79,79,1810,18,5,664.444.821.444.573
570910,1,6,5,70,4,48,1,,2,4,5,,3,4,,,,,,,,,,1,,2,,2,1,45,61,111,1,5,664.444.821.444.573
570920,1,1,5,70,200,48,1,,2,200,1,,9,1,,,,,,,,,,1,,1,120000,2,1,58,58,7020,70,5,860.275.001.185.658
