Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area;Directorio
1;1;1;70;1;8;48;1; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;87;87;50;1;1;5020;03;05;1077,52093724564;05;4003296
1;1;1;70;1;4;48;4; ;2;8;5; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;1;1810;03;05;920,034258014783;05;4003302
1;1;1;70;1;16;48;1; ;2;16;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;03;05;915,990697551322;05;4003307
1;2;1;70;1;4;48;1; ;2;4;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;45;45;15;1;1;1551;03;05;915,990697551322;05;4003307
1;3;1;70;1;3;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;83; ; ;1;1; ;03;05;912,415992130969;05;4003308
1;2;1;70;1;8;48;2; ;2;8;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8042;03;05;1052,84589418152;05;4003312
1;1;1;70;1;20;30;3; ;2;20;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;03;05;1240,91644365665;05;4003320
1;1;1;70;1;24;48;5; ;2;24;5; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;03;05;662,824864822079;05;4003328
1;3;1;70;1;4;48;1; ;2;32;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5225;03;05;662,824864822079;05;4003328
1;3;1;70;1;1;16;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;84; ; ;1;1; ;03;05;1048,80233371806;05;4003336
1;3;1;70;1;8;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;1; ;03;05;934,202035874662;05;4003342
1;3;1;70;1;2;72;1; ;2;4;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;1;720000;2;39;84;52;1;1;5237;03;05;988,885800185587;05;4003343
1;2;1;70;1;4;48;1; ;2;4;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;1;2000000;2;38;45;51;1;1;5127;03;05;1194,7692834309;05;4003345
