Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P6290;P6290s1;P6230;P6240;P6240s1;P6250;P6260;P6270;P6280;P6300;P6310;P6310s1;P6320;P6330;P6340;P6350;P6351;Mes;Ft;Dpto;Fex_c_2011
3905890;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;17;188,873926157834
3905890;1;2;1;50;17; ; ;2;4; ;2;2;1; ; ; ; ; ; ; ; ; ;01;1;17;188,873926157834
3905890;1;3;1;50;17; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;17;188,873926157834
3905890;1;4;1;50;17; ; ;1;6;JUGAR;2;2;2;2;2; ; ; ; ; ; ; ;01;1;17;188,873926157834
3905891;1;1;1;50;17; ; ;1;4; ;2;1; ; ; ; ; ; ; ; ; ; ;01;1;17;189,512382314498
3905891;1;2;1;50;17; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;17;189,512382314498
3905892;1;1;1;50;17; ; ;1;6;DESCANSAR;2;1; ; ; ; ; ; ; ; ; ; ;01;1;17;196,832960547116
3905893;1;1;1;50;17; ; ;1;6;DESCANSAR;2;1; ; ; ; ; ; ; ; ; ; ;01;1;17;216,255949596019
3905893;1;2;1;50;17; ; ;2;6;DESCANSAR;2;2;2;2;1;10; ; ; ; ; ; ;01;1;17;216,255949596019
3905894;1;1;1;50;17; ; ;1;6;DESCANSAR;2;1; ; ; ; ; ; ; ; ; ; ;01;1;17;134,222090167102
3905894;1;2;1;50;17; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;1;17;134,222090167102
3905894;1;3;1;50;17; ; ;3;6;DESCANSAR;2;2;1; ; ; ; ; ; ; ; ; ;01;1;17;134,222090167102
3905895;1;1;1;50;17; ; ;1;6;DESCANSAR;2;2;2;2;1;3; ;2; ;1;2;1;01;1;17;142,792917674491
3905895;1;2;1;50;17;2; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;01;1;17;142,792917674491
3905895;1;3;1;50;17; ; ;3;6;DESCANSAR;2;2;2;2;2; ; ; ; ; ; ; ;01;1;17;142,792917674491
3905895;1;4;1;50;17; ; ;1;6;DESCANSAR;2;2;2;2;2; ; ; ; ; ; ; ;01;1;17;142,792917674491
3905896;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;17;156,677950478752
