Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P6440;P6450;P6460;P6460s1;P6400;P6422;P6424s2;P6424s3;P6424s1;P6426;P6430s1;P6480;P6480s1;P6500;P6510;P6510s1;P6510s2;P6590;P6590s1;P6600;P6600s1;P6610;P6610s1;P6620;P6620s1;P6585s2a1;P6585s3a1;P6585s4a1;P6585s3a2;P6585s2a2;P6585s1a2;P6585s2;P6585s3;P6585s1a1;P6585s4;P6585s1;P6580;P6580s1;P6580s2;P6630s3;P6630s4a1;P6630s3a1;P6630s2a1;P6630s1a1;P6630s4;P6630s2;P6630s1;P6640;P6765;P6765s1;P6772;P6750;P6760;P550;P6780;P6780s1;P6790;P6410;P6640s1;P9440;P6630s6;P6630s6a1;P6410s1;P6545s1;P6545;P6545s2;P6585s4a2;P6773s1;P6775;P6772s1;P388;P6800;P6810;P6810s1;P6850;P6830;P6830s1;P6870;P6880;P6880s1;P6920;P6930;P6940;P6960;P6980;P6980s1;P6980s2;P6980s3;P6980s4;P6980s5;P6980s6;P6980s7;P6980s8;P6980s7a1;P6990;P7020;P7026;P7028;P7028s1;P7040;P7045;P7050;P7050s1;P7070;P760;P9450;P6915s1;P6915;P7075;P7077;P390;P7090;P7100;P7110;P7120;P7130;P7140;P7140s1;P7140s2;P7140s3;P7140s4;P7140s5;P7140s6;P7140s7;P7140s8;P7140s9;P7140s9a1;P7150;P7160;P7170s1;P7170s5;P7170s6;P7180;P7240;P7240s1;P514;P515;P6430;Oficio;Rama2d;Oci;Rama4d;Rama4dp8;Rama2dp8;Inglabo;Mes;Dpto;Fex_c_2011
3917487;1;1;1;60;2;1;1; ; ;1;1;2;2;2;108; ;1; ;240000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;17;40; ;.;40; ; ;4;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;6;8; ;2; ; ; ; ;2;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;3; ;2;1;8;62;01;1;0111; ; ;240000;01;17;1527,83266097756
3917487;1;3;1;60;2;1;1; ; ;1;2;2;2;2;2; ;1; ;480000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;17;55; ;.;55; ; ;4;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;8;8; ;2; ; ; ; ;0;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;3; ;1;1;8;62;01;1;0111; ; ;480000;01;17;1527,83266097756
3917488;1;1;1;60;2;2; ; ; ; ; ; ; ; ;30; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2;7000000;1;50000000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;1; ;17;50; ;.;50; ; ;5;8; ;1;2;2;18;1; ;1; ; ; ; ; ; ; ;2;1;60;1; ;2; ; ; ; ;98;2; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2; ;1;1;5;61;01;1;0111; ; ;7000000;01;17;1812,91499972414
3917489;1;1;1;60;2;1;1; ; ;1;1;2;2;2;0; ;1; ;600000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;17;50; ;.;50; ; ;4;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;2;8; ;2; ; ; ; ;0;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;5; ;1;1;8;62;01;1;0111; ; ;600000;01;17;2036,55826441796
3917489;1;2;1;60;2;2; ; ; ; ; ; ; ; ;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;90000;1;720000;3; ;8; ; ; ; ; ; ; ; ; ; ; ;2; ;17;32;2; ;32; ; ;1;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;2; ; ; ;2; ; ; ; ; ;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;3; ;1;1;4;38;64;1;6421; ; ;90000;01;17;2036,55826441796
3917491;1;3;1;60;2;1;1; ; ;1;1;2;2;2;360; ;1; ;300000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;17;40; ;.;40; ; ;3;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;2; ; ; ;2; ; ; ; ; ;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;3; ;1;1;8;62;01;1;0111; ; ;300000;01;17;1112,10852043667
3917492;1;1;1;60;2;2; ; ; ; ; ; ; ; ;360; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;700000;1;8400000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;2; ;17;50; ;.;50; ; ;1;9; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;60;5; ;2; ; ; ; ;0;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;8; ;1;1;4;95;45;1;4521; ; ;700000;01;17;755,105735556983
3917492;1;2;1;60;2;2; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;250000;1;500000;1; ;12; ; ; ; ; ; ; ; ; ; ; ;2; ;17;40; ;.;40; ; ;1;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;12;8; ;2; ; ; ; ;0;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;3; ;1;1;4;53;55;1;5529; ; ;250000;01;17;755,105735556983
3917492;1;3;1;60;2;2; ; ; ; ; ; ; ; ;120; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2;1000000;1;12000000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;2; ;17;84; ;.;84; ; ;1;7; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;2; ; ; ;2; ; ; ; ; ;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;8; ;1;1;4;41;52;1;5211; ; ;1000000;01;17;755,105735556983
3917493;1;1;1;60;2;1;1; ; ;1;1;2;2;2;12; ;1; ;600000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;17;45; ;.;45; ; ;3;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;24;8; ;1;20;4; ;200000;0;2; ;3;1;8;17;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;3; ;1;1;8;62;01;1;0111; ; ;800000;01;17;755,105735556983
