Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011;Area
3905862;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;48; ; ; ; ; ; ; ; ;1;01;18;71,2290175528889;18
3905862;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;18;71,2290175528889;18
3905862;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;40; ; ; ; ; ; ; ; ;1;01;18;71,2290175528889;18
3905863;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;14; ;6; ; ; ; ; ; ;1;01;18;81,828012494155;18
3905863;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;14; ;7; ; ; ; ; ; ;1;01;18;81,828012494155;18
3905864;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;18;68,9212474346893;18
3905864;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;01;18;68,9212474346893;18
3905865;1;1;1;90;2;1;2;2;1;2;2;2;2;2; ;20; ; ;15; ; ; ; ; ;1;01;18;50,8770443812827;18
3905865;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;18;50,8770443812827;18
3905865;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;01;18;50,8770443812827;18
3905866;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;1;01;18;68,9212474346893;18
3905866;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;01;18;68,9212474346893;18
3905867;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;1;01;18;72,2122398713255;18
3905867;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;30; ;15; ; ; ; ; ; ;1;01;18;72,2122398713255;18
3905868;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;14; ;35; ; ; ; ; ; ;1;01;18;62,2388550272233;18
3905869;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;18;83,168640054262;18
3905870;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;1;01;18;68,9212474346893;18
3905870;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;18;68,9212474346893;18
3905871;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;1;01;18;68,9212474346893;18
3905871;1;2;1;90;2;1;1;2;1;2;2;2;2;2; ;25;14; ;16; ; ; ; ; ;1;01;18;68,9212474346893;18
3905872;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;1;01;18;54,9469191766526;18
3905872;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;1;01;18;54,9469191766526;18
3905872;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;18;54,9469191766526;18
3905873;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;1;01;18;66,172871068568;18
