DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,OFICIO1,OFICIO2,RAMA2D_D,DSI,DSCY,RAMA4D_D,MES,DPTO,AREA,fex_c_2011
2752734,1,2,1,70,1,52,48,1,,2,52,2,,9,4,,,,,,,,,,1,,2,,2,97,58,75,1,2,7522,8,15,15,106.000.566.080.565
2752734,1,3,1,70,1,52,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,59,,,1,2,,8,15,15,106.000.566.080.565
2752736,1,1,1,70,1,24,48,1,,2,24,1,,9,1,,,,,,,,,,1,,2,,2,98,35,60,1,2,6022,8,15,15,910.442.399.848.549
2752739,1,3,1,70,1,12,40,1,,2,12,1,,2,1,,,,,,,,,,1,,1,535000,2,98,83,28,1,1,2811,8,15,15,908.942.750.220.664
2752740,1,2,1,70,1,4,40,1,,2,4,1,,2,4,,,,,,,,,,1,,1,535600,2,37,37,64,1,1,6412,8,15,15,625.507.531.781.862
2752752,1,1,1,70,1,4,40,1,,2,48,1,,6,1,,,,,,,,,,1,,2,,2,45,45,51,1,1,5125,8,15,15,899.375.699.040.984
2752760,1,3,1,70,1,8,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,1,,8,73,73,256.187.789.923.296
2752765,1,4,1,70,1,4,48,1,,2,4,3,,1,1,,,,,,,,,,1,,1,250000,2,53,54,95,1,1,9500,8,73,73,366.940.994.001.983
2752766,1,3,1,70,1,4,44,1,,2,4,1,,5,4,,,,,,,,,,1,,1,600000,2,58,95,45,1,1,4521,8,73,73,363.150.899.375.325
2752768,1,2,1,70,1,4,40,1,,2,8,1,,3,2,,,,,,,,,,1,,2,,2,45,17,92,1,1,9249,8,73,73,400.253.696.269.742
2752769,1,2,1,70,1,4,40,1,,2,28,1,,9,4,,,,,,,,,,1,,2,,2,98,58,74,1,1,7492,8,73,73,179.576.581.376.379
2752773,1,1,1,70,1,8,25,4,,2,50,4,,1,4,,,,,,,,,,1,,2,,2,41,41,52,1,1,5233,8,63,63,223.830.866.949.493
2752780,1,2,1,70,1,8,40,4,,2,56,1,,4,1,,,,,,,,,,1,,2,,2,55,56,55,1,1,5529,8,63,63,153.172.051.435.234
2752782,1,2,1,70,1,22,48,1,,2,36,4,,1,1,,,,,,,,,,1,,2,,2,45,41,52,1,2,5239,8,63,63,123.023.078.416.657
2752783,1,2,1,70,1,84,48,1,,2,123,1,,2,2,,,,,,,,,,1,,2,,2,3,33,52,1,2,5219,8,63,63,306.344.102.870.468
2752784,1,3,1,70,1,96,48,2,,2,102,1,,4,1,,,,,,,,,,1,,2,,2,18,38,65,1,2,6512,8,63,63,30.304.707.425.095
2752789,1,2,1,70,1,8,48,1,,2,4,1,,4,1,,,,,,,,,,1,,1,350000,2,39,39,52,1,1,5235,8,63,63,122.426.075.482.684
2752796,1,1,1,70,1,3,40,4,,2,3,4,,1,2,,,,,,,,,,1,,1,80000,2,58,58,70,1,1,7020,8,63,63,15.604.114.646.359
2752806,1,2,1,70,1,30,40,1,,1,,,.,,,.,.,,,,,,,,,.,,,,3,,,1,2,,8,20,20,1.202.028.235.695
2752806,1,3,1,70,1,15,40,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,2,,8,20,20,1.202.028.235.695
2752806,1,5,1,70,1,24,40,4,,2,30,4,,1,3,,,,,,,,,,1,,2,,2,98,98,60,1,2,6031,8,20,20,1.202.028.235.695
2752810,1,6,1,70,1,2,48,4,,2,2,4,,3,1,,,,,,,,,,1,,2,,2,95,95,45,1,1,4521,8,20,20,127.484.882.635.466
2752817,1,1,1,70,1,20,48,3,,2,20,3,,1,1,,,,,,,,,,1,,2,,2,54,54,95,1,2,9500,8,20,20,153.945.376.378.188
2752820,1,4,1,70,1,30,48,1,,2,260,1,,9,1,,,,,,,,,,1,,2,,2,32,32,15,1,2,1571,8,66,66,297.101.964.924.415
2752827,1,1,1,70,1,36,40,1,,2,52,1,,2,1,,,,,,,,,,1,,2,,2,33,53,55,1,2,5521,8,66,66,304.047.821.625.225
2752832,1,2,1,70,1,8,40,1,,2,32,5,,2,1,,,,,,,,,,1,,2,,2,32,41,52,1,1,5234,8,66,66,349.773.114.077.494
2752845,1,1,1,70,1,52,48,1,,2,52,4,,9,2,,,,,,,,,,1,,2,,2,11,11,85,1,2,8511,8,66,66,291.082.967.133.412
2752863,1,2,1,70,1,16,48,1,,2,16,1,,2,1,,,,,,,,,,1,,2,,2,45,44,65,1,2,6599,8,18,18,454.408.010.493.608
2752874,1,2,1,70,1,52,48,2,,2,58,1,,5,3,,,,,,,,,,1,,2,,2,59,59,85,1,2,8511,8,17,17,158.077.704.941.356
2752879,1,2,1,70,1,2,48,1,,2,2,1,,9,1,,,,,,,,,,1,,1,535600,2,38,38,64,1,1,6421,8,17,17,179.128.798.161.309
2752881,1,3,1,70,1,8,48,1,,2,8,1,,9,4,,,,,,,,,,1,,2,,2,32,59,64,1,1,6422,8,17,17,142.361.825.475.002
2752888,1,2,1,70,1,192,50,3,,2,192,3,,1,1,,,,,,,,,,1,,2,,2,53,53,95,1,2,9500,8,17,17,170.382.389.092.102
2752890,1,2,1,70,1,2,48,1,,2,2,1,,3,7,,,,,,,,,,1,,1,100000,2,45,53,55,1,1,5530,8,17,17,145.484.639.191.852
