DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,fex_c_2011
2752758,1,3,1,80,73,2,,,,2,,2,,2,,.,,,1,8,73,192.261.573.335.854
2752758,1,4,1,80,73,2,,,,2,,2,,2,,.,,,1,8,73,192.261.573.335.854
2752759,1,3,1,80,73,2,,,,2,,2,,2,,.,,,1,8,73,200.621.584.910.602
2752764,1,1,1,80,73,1,3,5,,3,,2,,,,,10,2,1,8,73,519.895.194.465.067
2752765,1,2,1,80,73,1,2,3,,2,,2,,,,,9,2,1,8,73,366.940.994.001.983
2752766,1,4,1,80,73,2,,,,2,,2,,2,,.,,,1,8,73,363.150.899.375.325
2752766,1,5,1,80,73,1,4,3,,2,,2,,,,,9,2,1,8,73,363.150.899.375.325
2752769,1,1,1,80,73,1,4,4,,2,,2,,,,,4,2,1,8,73,179.576.581.376.379
2752819,1,2,1,80,66,1,1,2,,2,,2,,,,,2,2,1,8,66,293.623.343.581.974
2752820,1,2,1,80,66,1,2,7,,2,,2,,,,,4,2,1,8,66,297.101.964.924.415
2752821,1,3,1,80,66,2,,,,2,,2,,2,,.,,,1,8,66,170.112.521.488.537
2752821,1,4,1,80,66,2,,,,2,,2,,2,,.,,,1,8,66,170.112.521.488.537
2752822,1,2,1,80,66,1,2,3,,2,,2,,,,,9,2,1,8,66,215.042.449.653.916
2752822,1,3,1,80,66,2,,,,2,,2,,2,,.,,,1,8,66,215.042.449.653.916
2752822,1,6,1,80,66,1,4,8,,2,,2,,,,,11,2,1,8,66,215.042.449.653.916
2752823,1,2,1,80,66,2,,,,2,,2,,2,,.,,,1,8,66,291.651.409.682.588
2752825,1,4,1,80,66,2,,,,2,,2,,2,,.,,,1,8,66,210.977.167.316.946
2752826,1,3,1,80,66,2,,,,2,,2,,2,,.,,,1,8,66,274.236.180.932.302
2752826,1,4,1,80,66,2,,,,2,,2,,2,,.,,,1,8,66,274.236.180.932.302
2752826,1,5,1,80,66,1,4,4,,2,,2,,,,,4,2,1,8,66,274.236.180.932.302
2752831,1,1,1,80,66,1,1,8,,2,,2,,,,,9,2,1,8,66,304.047.821.625.225
2752833,1,1,1,80,66,1,4,5,,3,,2,,,,,10,2,1,8,66,27.574.297.415.848
