DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,AREA,fex_c_2011
2752730,1,1,1,80,1,1,3,4,,2,,2,,,,,8,2,1,8,15,15,740.496.006.319.319
2752730,1,2,1,80,1,1,4,5,,3,,2,,,,,10,2,1,8,15,15,740.496.006.319.319
2752732,1,2,1,80,1,1,2,2,,2,,2,,,,,2,2,1,8,15,15,996.656.444.005.858
2752733,1,1,1,80,1,1,3,2,,2,,2,,,,,2,2,1,8,15,15,691.634.990.755.124
2752733,2,1,2,80,1,1,2,2,,2,,2,,,,,2,2,1,8,15,15,691.634.990.755.124
2752733,3,1,3,80,1,1,2,2,,2,,2,,,,,2,2,1,8,15,15,691.634.990.755.124
2752734,1,1,1,80,1,1,3,3,,2,,2,,,,,8,2,1,8,15,15,106.000.566.080.565
2752734,1,4,1,80,1,1,4,4,,2,,2,,,,,8,2,1,8,15,15,106.000.566.080.565
2752737,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,8,15,15,781.459.169.095.998
2752738,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,8,15,15,781.459.169.095.998
2752739,1,1,1,80,1,2,,,,2,,2,,2,,.,,,1,8,15,15,908.942.750.220.664
2752739,1,2,1,80,1,1,4,8,,2,,2,,,,,9,2,1,8,15,15,908.942.750.220.664
2752739,1,6,1,80,1,2,,,,2,,2,,2,,.,,,1,8,15,15,908.942.750.220.664
2752740,1,3,1,80,1,1,1,2,,2,,2,,,,,2,2,1,8,15,15,625.507.531.781.862
2752740,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,8,15,15,625.507.531.781.862
2752741,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,8,15,15,82.083.454.070.834
2752743,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,8,15,15,82.083.454.070.834
2752745,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,8,15,15,724.699.964.167.293
2752746,1,2,1,80,1,1,1,4,,2,,2,,,,,4,2,1,8,15,15,731.960.812.199.286
