DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4804535;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;05;930,626304647455
4804537;1;2;1;80;05;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;01;05;827,29749635946
4804537;1;5;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01;05;827,29749635946
4804538;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;1019,26442661415
4804539;1;1;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;01;05;970,52164929621
4804540;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;966,772056793869
4804541;1;2;1;80;05;1;4;8; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;05;1400,42867693967
4804543;1;3;1;80;05;1;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;01;05;996,979622702889
4804545;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;01;05;1096,55119097287
4804545;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;1096,55119097287
4804546;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;938,986212670371
4804546;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;938,986212670371
4804547;1;4;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01;05;1001,05494757403
4804548;1;1;1;80;05;1;4;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;01;05;1000,74042902516
4804549;1;1;1;80;05;1;1;9;PORQUE TIENE LA CASA POR CARCEL;2; ; ;12;PORQUE TIENE LA CASA POR CARCEL;1; ;2; ;2; ;1500000;2;1;01;05;1040,95029222279
4804550;1;1;1;80;05;1;1;4; ;2; ; ;4; ;2; ;2; ;1;48;781242;2;1;01;05;987,789976593826
4804551;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;01;05;1022,04722317515
4804551;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;05;1022,04722317515
4804552;1;1;1;80;05;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;01;05;1022,04722317515
4804552;1;2;1;80;05;1;1;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;01;05;1022,04722317515
4804553;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;1026,12254804629
4804555;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;05;1572,45354177994
4804557;1;3;1;80;05;1;3;7; ;2; ; ;12;NO DESEA TRABAJAR MAS ESTA EN ESPERA DE LA JUBILACION YA TIENE EL TIEMPO;1; ;2; ; ; ; ;2;1;01;05;1021,00822680837
4804558;1;1;1;80;05;1;2;5; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;01;05;1022,04722317515
4804560;1;2;1;80;05;1;4;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;05;1117,85798512286
4804560;1;3;1;80;05;1;4;8; ;2; ; ;12;PRIVACION DE LA LIBERTAD;2; ;2; ; ; ; ;2;1;01;05;1117,85798512286
4804562;1;1;1;80;05;1;1;8; ;2; ; ;5; ;3; ;2; ;1;48;781242;3;1;01;05;1016,93290193723
4804562;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;05;1016,93290193723
4804563;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;05;1500,98590248658
4804565;1;1;1;80;05;1;2;4; ;2; ; ;4; ;2; ;2; ;1;48;781242;2;1;01;05;1088,40054123059
4804567;1;2;1;80;05;1;4;3; ;2; ; ;11; ;2; ;2; ; ; ; ;2;1;01;05;975,672828552893
4804567;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;975,672828552893
4804568;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;05;971,886378031791
4804569;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;05;1141,5075177697
4804570;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;1047,42934219629
4804574;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;521,677008662573
4804578;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;921,436658538392
4804578;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;921,436658538392
4804580;1;2;1;80;05;1;1;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;01;05;1473,2610449686
4804583;1;1;1;80;05;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;01;05;1021,00822680837
4804583;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;1021,00822680837
4804584;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01;05;570,071394517061
4804585;1;5;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;1595,05802971668
4804586;1;2;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;01;05;949,214855146215
4804586;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;949,214855146215
4804587;1;2;1;80;05;1;4;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;01;05;1022,04722317515
4804588;1;4;1;80;05;1;1;8; ;2; ; ;2; ;2; ;2; ;2; ;800000;2;1;01;05;484,058962096924
4804589;1;1;1;80;05;1;4;3; ;2; ; ;9; ;1;2;2; ; ; ; ;1;1;01;05;1028,01105361138
4804590;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;1019,64349807279
4804594;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;1047,42934219629
4804595;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01;05;848,604290509456
4804598;1;1;1;80;05;1;3;7; ;2; ; ;9; ;2; ;2; ;2; ;800000;2;1;01;05;1382,37511709034
4804599;1;1;1;80;05;1;4;8; ;2; ; ;11; ;2; ;2; ; ; ; ;2;1;01;05;1093,51486246851
4804601;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;01;05;1033,1253748493
4804603;1;2;1;80;05;1;4;4; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;05;511,023611587576
4804604;1;1;1;80;05;1;2;8; ;2; ; ;8; ;3; ;2; ;1;48;1000000;3;1;01;05;485,943189015895
4804605;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;1239,65496987094
4804606;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01;05;1040,95029222279
4804607;1;2;1;80;05;1;4;7; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;01;05;975,672828552893
4804607;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;975,672828552893
4804610;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;1;150000; ; ; ;2;1;01;05;898,765135652816
4804610;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;898,765135652816
