DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;FT;DPTO;fex_c_2011
5080301;1;1;1;50; ;1; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;12;1;76;4193,11901700753
5080301;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;12;1;76;4193,11901700753
5080301;1;3;1;50; ;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;12;1;76;4193,11901700753
5080301;1;4;1;50; ;1; ; ;4;4; ;2;2;2;2;1;10; ; ; ; ; ; ;12;1;76;4193,11901700753
5080302;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;12;1;76;2417,85790812058
5080302;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;12;1;76;2417,85790812058
5080302;1;3;1;50; ;1; ; ;3;3; ;2;2;2;2;1;12; ; ; ; ; ; ;12;1;76;2417,85790812058
5080303;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;12;1;76;3432,34428460222
5080303;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;12;1;76;3432,34428460222
5080306;1;1;1;50; ;1;1; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;12;1;76;3224,77926738621
5080308;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;12;1;76;4376,47672790261
5080308;1;2;1;50; ;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;12;1;76;4376,47672790261
5080309;1;1;1;50; ;1; ; ;1;6;INCAPACITADO TEMPORALMENTE;2;1; ; ; ; ; ; ; ; ; ; ;12;1;76;2726,89572448642
5080309;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;12;1;76;2726,89572448642
5080311;1;1;1;50; ;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;12;1;76;4086,05061749755
5080311;1;3;1;50; ;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;12;1;76;4086,05061749755
5080311;1;4;1;50; ;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;12;1;76;4086,05061749755
5080314;1;1;1;50; ;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;12;1;76;5553,74480822358
5080314;1;2;1;50; ;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;12;1;76;5553,74480822358
5080315;1;1;1;50; ;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;12;1;76;3224,77926738621
5080316;1;1;1;50; ;1; ; ;1;4; ;2;1; ; ; ; ; ; ; ; ; ; ;12;1;76;2936,22723294282
5080316;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;12;1;76;2936,22723294282
5080316;1;3;1;50; ;1; ; ;3;3; ;2;2;2;2;1;12; ; ; ; ; ; ;12;1;76;2936,22723294282
5080320;1;1;1;50; ;1; ; ;1;6;DELIGENCIAS PERSONALES;2;2;2;2;1;9; ; ; ; ; ; ;12;1;76;2653,39462699315
5080320;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;12;1;76;2653,39462699315
5080321;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;12;1;76;2539,97533523748
5080321;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;12;1;76;2539,97533523748
5080321;1;3;1;50; ;1;1; ;3;6;JUGAR FUTBOL;2;2;2;1; ; ; ; ; ; ; ;1;12;1;76;2539,97533523748
5080321;1;4;1;50; ;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;12;1;76;2539,97533523748
