DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011;AREA
5080306;1;1;1;70;1;3;48;3; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;300000;2; ;54;99;55;1;1;12;5529;76;3224,77926738621; 
5080321;1;3;1;70;1;50;48;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;98; ; ;1;2;12; ;76;2539,97533523748; 
5080322;1;5;1;70;1;12;48;1; ;2;12;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;32;32;85;1;1;12;8532;76;2548,20343030446; 
5080343;1;2;1;70;1;8;48;1; ;2;20;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;850000;2; ;44;44;64;1;1;12;6421;76;2754,34042025267; 
5080366;1;4;1;70;1;3;50;1; ;2;42;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;900000; ; ;77;53;55;1;1;12;5529;05;1299,84968949148;05
5080368;1;3;1;70;1;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;45; ; ;1;1;12; ;05;937,790200962941;05
5080369;1;1;1;70;1;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;828116;2; ;97;97;17;1;1;12;1720;05;1207,39064978871;05
5080389;1;1;1;70;1;4;48;1; ;2;4;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;828116;2; ;79;79;19;1;1;12;1939;05;937,162842083322;05
5080390;1;2;1;70;1;52;48;1; ;2;72;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;19;19;45;1;2;12;4542;05;2119,28681715083;05
5080391;1;3;1;70;1;52;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1000000; ; ;53; ; ;1;2;12; ;05;936,607904677141;05
5080406;1;5;1;70;1;1;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;45; ; ;1;1;12; ;05;1778,74751469946;05
5080411;1;3;1;70;1;58;48;1; ;2;104;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;97;97;36;1;2;12;3691;05;2662,30276149621;05
5080415;1;1;1;70;1;5;48;1; ;2;5;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;03;03;74;1;1;12;7421;05;1260,71214439558;05
5080426;1;1;1;70;1;52;48;1; ;2;52;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;95;95;45;1;2;12;4521;05;799,709217627823;05
5080431;1;5;1;70;1;4;48;1; ;2;4;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;80;80;19;1;1;12;1929;05;1175,29985007964;05
5080463;1;3;1;70;1;104;48;1; ;2;104;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;32;38;75;1;2;12;7512;05;853,787360455641;05
5080471;1;2;1;70;1;24;48;1; ;2;24;1; ;9;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;828116;2; ;45;45;18;1;2;12;1810;05;767,448128263819;05
5080473;1;2;1;70;1;52;48;1; ;2;64;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;79;79;18;1;2;12;1810;05;937,790200962941;05
5080476;1;2;1;70;1;3;48;1; ;2;4;1; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;1;300000;828116;2; ;55;55;50;1;1;12;5020;05;852,93284405319;05
5080485;1;2;1;70;1;156;48;2; ;2;8;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2500000;2; ;05;19;91;1;2;12;9192;05;1521,90531244682;05
5080487;1;6;1;70;1;36;48;1; ;2;4;1; ;2;1;1; ; ; ; ; ; ; ; ; ; ;1;1;120000;828116;2; ;45;55;52;1;2;12;5211;05;838,557271544357;05
5080506;1;2;1;70;1;2;48;3; ;2;2;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;1;828116;828116;2; ;54;54;95;1;1;12;9500;05;971,161165139307;05
5080506;1;3;1;70;1;24;48;1; ;2;24;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1700000;2; ;59;59;85;1;2;12;8512;05;971,161165139307;05
5080510;1;2;1;70;1;4;48;1; ;2;4;1; ;7;2;7; ; ; ; ; ; ; ; ; ; ;1;1;828000;828000;2; ;95;37;45;1;1;12;4530;05;1279,01218242704;05
5080516;1;1;1;70;1;12;48;4; ;2;106;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;54;54;74;1;1;12;7493;05;844,724053820681;05
5080516;1;9;1;70;1;8;48;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;62;01;1;1;12;0140;05;844,724053820681;05
5080528;1;3;1;70;1;40;48;1; ;2;40;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;32;50;55;1;2;12;5530;05;1075,34169359994;05
5080530;1;2;1;70;1;52;72;2; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;3500000;2; ;12;39;74;1;2;12;7491;05;1241,38897284469;05
5080531;1;2;1;70;1;1;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;33; ; ;1;1;12; ;05;903,791877906956;05
5080542;1;1;1;70;1;1;60;5; ;2;74;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;53;98;60;1;1;12;6041;05;1207,39064978871;05
5080544;1;3;1;70;1;24;48;1; ;2;24;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;98;83;28;1;2;12;2811;05;937,790200962941;05
5080549;1;2;1;70;1;24;48;1; ;2;24;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;53;53;55;1;2;12;5529;05;1056,01852204906;05
5080557;1;2;1;70;1;2;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;45; ; ;1;1;12; ;05;974,786051665663;05
5080558;1;3;1;70;1;2;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;45; ; ;1;1;12; ;05;1160,1565024613;05
5080559;1;1;1;70;1;20;48;1; ;2;24;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;55;79;18;1;2;12;1810;05;969,978868853507;05
5080560;1;2;1;70;1;104;48;1; ;2;104;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;03;03;45;1;2;12;4530;05;1162,89867169812;05
5080571;1;2;1;70;1;52;48;1; ;2;78;1; ;6;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;84;84;50;1;2;12;5020;05;903,791877906956;05
5080576;1;4;1;70;1;24;48;1; ;2;24;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;45;55;1;2;12;5530;05;1175,85478748583;05
5080579;1;4;1;70;1;8;48;1; ;2;8;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;97;52;1;1;12;5211;05;938,644717365392;05
5080580;1;2;1;70;1;3;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;97; ; ;1;1;12; ;05;1056,01852204906;05
5080585;1;1;1;70;1;4;24;1; ;2;52;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;79;79;18;1;1;12;1810;05;1559,52852202916;05
5080588;1;1;1;70;1;50;40;1; ;2;57;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1800000;2; ;19;19;85;1;2;12;8532;05;1726,59893479334;05
5080589;1;1;1;70;1;8;48;1; ;2;8;1; ;4;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;45;45;52;1;1;12;5231;05;1022,02019899307;05
5080595;1;1;1;70;1;3;48;4; ;2;3;8; ;4;2;7; ; ; ; ; ;1; ; ; ; ; ;1;400000;828116;2; ;45;32;01;1;1;12;0111;05;1054,83622576326;05
5080600;1;3;1;70;1;10;48;1; ;2;12;4; ;9;2;3; ; ; ; ;1; ; ; ; ; ; ;2; ;1500000;2; ;03;03;75;1;1;12;7512;05;1277,82988614124;05
5080606;1;2;1;70;1;2;48;1; ;2;2;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;1;1180000;1200000;2; ;13;13;80;1;1;12;8042;05;1521,90531244682;05
5080609;1;1;1;70;1;32;48;1; ;2;32;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1800000;2; ;06;06;85;1;2;12;8513;05;937,162842083322;05
5080609;1;2;1;70;1;4;48;1; ;2;28;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;32;32;74;1;1;12;7430;05;937,162842083322;05
5080617;1;1;1;70;1;40;48;3; ;2;72;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;54;54;95;1;2;12;9500;05;995,591098498616;05
5080617;1;4;1;70;1;6;48;1; ;2;50;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;32;32;91;1;1;12;9199;05;995,591098498616;05
5080623;1;3;1;70;1;12;48;1; ;2;12;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;98;98;15;1;1;12;1530;05;1351,63566122114;05
5080623;1;6;1;70;1;7;48;1; ;2;7;1; ;8;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;37;37;18;1;1;12;1810;05;1351,63566122114;05
5080625;1;2;1;70;1;48;48;1; ;2;40;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;32;39;93;1;2;12;9303;05;1327,22691522548;05
5080626;1;4;1;70;1;12;48;1; ;2;12;1; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;53;53;55;1;1;12;5521;05;1251,67750474143;05
5080639;1;7;1;70;1;1;24;1; ;2;98;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;480000;2; ;45;79;18;1;1;12;1810;05;1908,04150774325;05
5080655;1;2;1;70;1;32;48;1; ;2;32;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;55;39;55;1;2;12;5512;05;1521,90531244682;05
5080691;1;2;1;70;1;76;48;3; ;2;8;3; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;54;54;95;1;2;12;9500;08;624,015472546785;08
5080691;1;4;1;70;1;52;48;1; ;2;78;1; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;200000;2; ;45;45;52;1;2;12;5233;08;624,015472546785;08
5080691;1;6;1;70;1;259;48;3; ;2;300;1; ;2;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;54;53;55;1;2;12;5521;08;624,015472546785;08
5080691;1;13;1;70;1;20;48;3; ;2;20;1; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;200000;2; ;54;53;55;1;2;12;5521;08;624,015472546785;08
