DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
5080366;1;4;1;70;05;3;50;1; ;2;42;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;900000; ; ;77;53;55;1;1;5529;12;05;1299,84968949148
5080368;1;3;1;70;05;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;45; ; ;1;1; ;12;05;937,790200962941
5080369;1;1;1;70;05;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;828116;2; ;97;97;17;1;1;1720;12;05;1207,39064978871
5080389;1;1;1;70;05;4;48;1; ;2;4;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;828116;2; ;79;79;19;1;1;1939;12;05;937,162842083322
5080390;1;2;1;70;05;52;48;1; ;2;72;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;19;19;45;1;2;4542;12;05;2119,28681715083
5080391;1;3;1;70;05;52;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1000000; ; ;53; ; ;1;2; ;12;05;936,607904677141
5080406;1;5;1;70;05;1;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;45; ; ;1;1; ;12;05;1778,74751469946
5080411;1;3;1;70;05;58;48;1; ;2;104;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;97;97;36;1;2;3691;12;05;2662,30276149621
5080415;1;1;1;70;05;5;48;1; ;2;5;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;03;03;74;1;1;7421;12;05;1260,71214439558
5080426;1;1;1;70;05;52;48;1; ;2;52;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;95;95;45;1;2;4521;12;05;799,709217627823
5080431;1;5;1;70;05;4;48;1; ;2;4;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;80;80;19;1;1;1929;12;05;1175,29985007964
5080463;1;3;1;70;05;104;48;1; ;2;104;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;32;38;75;1;2;7512;12;05;853,787360455641
5080471;1;2;1;70;05;24;48;1; ;2;24;1; ;9;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;828116;2; ;45;45;18;1;2;1810;12;05;767,448128263819
5080473;1;2;1;70;05;52;48;1; ;2;64;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;79;79;18;1;2;1810;12;05;937,790200962941
5080476;1;2;1;70;05;3;48;1; ;2;4;1; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;1;300000;828116;2; ;55;55;50;1;1;5020;12;05;852,93284405319
5080485;1;2;1;70;05;156;48;2; ;2;8;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2500000;2; ;05;19;91;1;2;9192;12;05;1521,90531244682
5080487;1;6;1;70;05;36;48;1; ;2;4;1; ;2;1;1; ; ; ; ; ; ; ; ; ; ;1;1;120000;828116;2; ;45;55;52;1;2;5211;12;05;838,557271544357
5080506;1;2;1;70;05;2;48;3; ;2;2;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;1;828116;828116;2; ;54;54;95;1;1;9500;12;05;971,161165139307
5080506;1;3;1;70;05;24;48;1; ;2;24;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1700000;2; ;59;59;85;1;2;8512;12;05;971,161165139307
5080510;1;2;1;70;05;4;48;1; ;2;4;1; ;7;2;7; ; ; ; ; ; ; ; ; ; ;1;1;828000;828000;2; ;95;37;45;1;1;4530;12;05;1279,01218242704
5080516;1;1;1;70;05;12;48;4; ;2;106;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;54;54;74;1;1;7493;12;05;844,724053820681
5080516;1;9;1;70;05;8;48;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;62;01;1;1;0140;12;05;844,724053820681
5080528;1;3;1;70;05;40;48;1; ;2;40;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;32;50;55;1;2;5530;12;05;1075,34169359994
5080530;1;2;1;70;05;52;72;2; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;3500000;2; ;12;39;74;1;2;7491;12;05;1241,38897284469
5080531;1;2;1;70;05;1;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;33; ; ;1;1; ;12;05;903,791877906956
5080542;1;1;1;70;05;1;60;5; ;2;74;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;53;98;60;1;1;6041;12;05;1207,39064978871
5080544;1;3;1;70;05;24;48;1; ;2;24;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;98;83;28;1;2;2811;12;05;937,790200962941
5080549;1;2;1;70;05;24;48;1; ;2;24;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;53;53;55;1;2;5529;12;05;1056,01852204906
5080557;1;2;1;70;05;2;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;45; ; ;1;1; ;12;05;974,786051665663
5080558;1;3;1;70;05;2;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;45; ; ;1;1; ;12;05;1160,1565024613
5080559;1;1;1;70;05;20;48;1; ;2;24;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;55;79;18;1;2;1810;12;05;969,978868853507
5080560;1;2;1;70;05;104;48;1; ;2;104;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;03;03;45;1;2;4530;12;05;1162,89867169812
5080571;1;2;1;70;05;52;48;1; ;2;78;1; ;6;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;84;84;50;1;2;5020;12;05;903,791877906956
5080576;1;4;1;70;05;24;48;1; ;2;24;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;45;55;1;2;5530;12;05;1175,85478748583
5080579;1;4;1;70;05;8;48;1; ;2;8;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;97;52;1;1;5211;12;05;938,644717365392
