DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5332772;1;1;1;80;68;1;9;AISLAMIENTO PREVENTIVO OBLIGATORIO;2; ; ;12;TEMOR AL CONTAGIO COVID 19;2; ;2; ; ; ; ;2;1;01;1,4;68;299,79015098077
5332772;1;3;1;80;68;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;68;299,79015098077
5332774;1;2;1;80;68;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01; ;68;360,181162546514
5332784;1;2;1;80;68;1;8; ;2; ; ;9; ;1;1;2; ; ; ; ;1;1;01;1,2;68;419,268750141252
5332785;1;3;1;80;68;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;01;3;68;740,642592375762
5332785;1;4;1;80;68;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;01;2;68;740,642592375762
5332786;1;3;1;80;68;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;68;655,70021548814
5332787;1;2;1;80;68;1;7; ;2; ; ;9; ;3; ;2; ;2; ;800000;3;1;01;1,4;68;366,809016035234
5332787;2;1;2;80;68;1;8; ;2; ; ;8; ;3; ;2; ; ; ; ;3;1;01;2;68;366,809016035234
5332794;1;1;1;80;50;1;6; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;01;4;50;208,072240903004
5332795;1;1;1;80;50;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;01;4;50;243,101864943183
5332795;1;3;1;80;50;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01; ;50;243,101864943183
5332796;1;2;1;80;50;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;1,3;50;410,422257603088
5332797;1;2;1;80;50;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;1,4;50;367,371701481918
5332803;1;1;1;80;50;1;3; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;01;4;50;277,632189417553
5332804;1;2;1;80;50;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;50;186,907559545824
5332805;1;1;1;80;50;1;3; ;2; ; ;12;POR LA PANDEMIA;2; ;2; ; ; ; ;2;1;01;2;50;292,172422184435
5332805;1;4;1;80;50;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01; ;50;292,172422184435
5332806;1;1;1;80;50;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;3;50;307,576210982075
5332808;1;2;1;80;50;1;8; ;2; ; ;9; ;2; ;2; ;1;48;800000;2;1;01;1,2;50;318,829124451182
5332809;1;3;1;80;50;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01; ;50;361,879680572352
5332810;1;3;1;80;50;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;50;145,34567474771
5332810;1;4;1;80;50;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;01;4;50;145,34567474771
5332810;1;5;1;80;50;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;50;145,34567474771
5332842;1;1;1;80;54;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;01;4;54;343,56265745386
5332842;1;2;1;80;54;1;8; ;2; ; ;9; ;2; ;2; ;2; ;800000;2;1;01;2;54;343,56265745386
5332843;1;2;1;80;54;1;8; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;4;54;419,965690421424
5332847;1;1;1;80;76;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;01;3;76;932,221919012983
5332848;1;2;1;80;76;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;76;946,790455308104
5332849;1;1;1;80;76;1;7; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;01;4;76;809,302885860188
5332849;1;2;1;80;76;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;76;809,302885860188
5332850;1;1;1;80;76;1;8; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;01;4;76;1307,23180222038
5332850;1;4;1;80;76;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01; ;76;1307,23180222038
5332850;1;5;1;80;76;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;76;1307,23180222038
5332851;1;1;1;80;76;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;76;919,745575915215
5332852;1;2;1;80;76;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;76;1104,80166321647
5332853;1;1;1;80;76;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;3;76;943,658142991854
5332855;1;1;1;80;76;1;1; ;2; ; ;4; ;2; ;2; ;2; ;1000000;2;1;01;1,2;76;966,477152399326
5332855;1;2;1;80;76;1;1; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;01;3;76;966,477152399326
5332855;1;5;1;80;76;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01; ;76;966,477152399326
5332855;1;7;1;80;76;1;7; ;2; ; ;9; ;2; ;2; ;2; ;800000;2;1;01;4;76;966,477152399326
5332855;1;8;1;80;76;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;76;966,477152399326
5332864;1;2;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ;2; ;877803;2;1;01; ;05;1226,71291717634
5332864;1;3;1;80;05;1;8; ;1; ;1;9; ;2; ;2; ; ; ;1100000;2;1;01;1,3;05;1226,71291717634
5332871;1;3;1;80;17;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01; ;17;201,379887099304
5332875;1;3;1;80;17;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;17;201,869025294108
5332875;1;4;1;80;17;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;01;4;17;201,869025294108
5332876;1;2;1;80;17;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;17;245,150747472213
5332876;1;4;1;80;17;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;17;245,150747472213
5332897;1;1;1;80;05;1;5; ;2; ; ;8; ;3; ;2; ; ; ; ;3;1;01;4;05;1188,37856320462
5332898;1;1;1;80;05;1;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;01;4;05;1325,64498530406
5332898;1;2;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;4;05;1325,64498530406
5332900;1;1;1;80;05;1;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;01;4;05;1278,45358326375
5332911;1;2;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;01;4;05;1106,35857982022
5332911;1;3;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;05;1106,35857982022
5332912;1;1;1;80;05;1;4; ;2; ; ;4; ;1;2;2; ; ; ; ;1;1;01;3;05;1271,44053351686
5332912;1;2;1;80;05;1;9;CAMBIO DE PAIS;2; ; ;11; ;2; ;1;4000000; ; ; ;2;1;01;1,2;05;1271,44053351686
5332913;1;3;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;05;831,02372422748
5332913;1;4;1;80;05;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;01;4;05;831,02372422748
5332914;1;4;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;05;1495,05005385848
5332914;1;6;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;05;1495,05005385848
5332914;1;8;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;05;1495,05005385848
5332949;1;3;1;80;52;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01; ;52;255,379718428194
5332951;1;2;1;80;52;1;6; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;01;3;52;101,767397799958
5332953;1;1;1;80;52;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;01;4;52;181,190627437347
5332959;1;1;1;80;17;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;01;3;17;216,22327024885
5332960;1;2;1;80;17;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;01;4;17;200,680583900388
5332961;1;1;1;80;17;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;01;4;17;228,750255637575
5332961;1;2;1;80;17;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;17;228,750255637575
5332961;1;4;1;80;17;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;17;228,750255637575
5332962;1;1;1;80;17;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;01;3;17;186,811065985566
5332962;1;2;1;80;17;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;17;186,811065985566
5332963;1;1;1;80;17;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;01;4;17;201,34155909795
5332975;1;1;1;80;50;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;50;190,177128132385
5332976;1;1;1;80;50;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;01;2;50;403,780058301576
5332976;1;2;1;80;50;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;50;403,780058301576
