Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011
3731902;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;2;05;63;1447,41429020553
3731902;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;2;05;63;1447,41429020553
3731902;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;05;63;1447,41429020553
3731902;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;2;05;63;1447,41429020553
3731902;1;5;1;90;1;2;2;1;2;2;2;2;2;2;24; ; ;12; ; ; ; ; ; ;2;05;63;1447,41429020553
3731903;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;05;63;934,107938909098
3731903;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;42; ; ; ; ; ; ; ; ;2;05;63;934,107938909098
3731903;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;05;63;934,107938909098
3731904;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;05;63;795,751842351007
3731904;1;2;1;90;2;1;2;2;2;1;2;2;2;2; ;35; ; ; ;1; ; ; ; ;2;05;63;795,751842351007
3731904;1;3;1;90;2;1;1;2;2;2;2;2;2;2; ;3;5; ; ; ; ; ; ; ;2;05;63;795,751842351007
3731905;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;2;05;63;794,294520213496
3731950;1;1;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;10; ; ; ; ; ; ;2;05;13;1641,45630133681
3731950;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;10; ;10; ; ; ; ; ; ;2;05;13;1641,45630133681
3731950;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;2;05;13;1641,45630133681
3731950;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;2;05;13;1641,45630133681
3731958;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;21; ;7; ; ; ; ; ; ;2;05;13;4124,40447945654
3731958;1;2;1;90;1;1;2;1;1;2;2;2;2;2;7;5; ;3;14; ; ; ; ; ;2;05;13;4124,40447945654
3731959;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;05;13;4161,63300755634
3731959;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;2;05;13;4161,63300755634
3731960;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;05;13;3516,51851890272
