Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
3726225;1;1;1;70;1;8;48;1; ;2;8;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;45;52;1;1;5233;05;47;157,688803802015;47
3726264;1;1;1;70;1;2;48;1; ;2;2;4; ;5;1; ; ; ; ; ; ; ; ; ;1; ;1;800000;2;03;13;85;1;1;8531;05;15;112,685098420975;15
3726266;1;2;1;70;1;4;48;1; ;2;8;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;51;1;1;5127;05;15;112,969946480325;15
3726290;1;3;1;70;1;8;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;95; ; ;1;1; ;05;66;334,405279240697;66
3726307;1;1;1;70;1;8;48;1; ;2;8;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;41;55;1;1;5522;05;50;103,542887164998;50
3726320;1;1;1;70;1;12;48;1; ;2;40;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;57;93;1;1;9302;05;50;164,839984654998;50
3726322;1;2;1;70;1;53;48;1; ;2;53;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;44;66;1;2;6601;05;18;36,877103680846;18
3726324;1;1;1;70;1;104;48;2; ;2;104;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;75;1;2;7515;05;47;128,935287023432;47
3726330;1;2;1;70;1;52;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;2; ;05;47;186,588635581114;47
3726358;1;2;1;70;1;52;48;1; ;2;52;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;75;1;2;7523;05;17;167,601321146188;17
3726358;1;3;1;70;1;28;48;1; ;2;50;4; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;19;75;1;2;7512;05;17;167,601321146188;17
3726363;1;3;1;70;1;8;48;1; ;2;20;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;40;52;1;1;5223;05;17;172,986424183943;17
3726378;1;1;1;70;1;250;40;1; ;2;270;5; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;41;52;1;2;5211;05;15;86,8030107868085;15
3726393;1;3;1;70;1;6;48;1; ;2;52;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;03;45;1;1;4530;05;15;51,1012791205038;15
