DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S6,P7510S2A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,AREA,MES,DPTO,fex_c_2011
2659414,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,262.510.171.094.848
2659414,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,262.510.171.094.848
2659415,1,1,1,95,1,,2,1,,4000000,,2,2,,,,,,,,,,,,,73,4,73,255.898.439.671.426
2659415,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,255.898.439.671.426
2659415,1,3,1,95,2,,,,,,,,1,2,2,,,,,6000000,2,1,2,,2,73,4,73,255.898.439.671.426
2659416,1,1,1,95,1,,2,1,,1250000,,2,2,,,,,,,,,,,,,73,4,73,233.976.511.716.297
2659416,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,233.976.511.716.297
2659417,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,239.760.198.459.405
2659417,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,239.760.198.459.405
2659418,1,1,1,95,1,,1,2,,,450000,2,2,,,,,,,,,,,,,73,4,73,262.510.171.094.848
2659418,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,262.510.171.094.848
2659419,1,1,1,95,2,,,,,,,,1,2,1,,250000,,,,2,2,2,,2,73,4,73,2.602.430.955.803
2659419,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,2.602.430.955.803
2659419,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,2.602.430.955.803
2659420,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,249.097.859.567.045
2659420,1,2,1,95,2,,,,,,,,1,2,2,,,,,1500000,2,1,2,,2,73,4,73,249.097.859.567.045
2659421,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,524.635.640.231.364
2659421,1,3,1,95,2,,,,,,,,1,2,2,,,,,1800000,2,1,2,,2,73,4,73,524.635.640.231.364
2659422,1,1,1,95,2,,,,,,,,1,2,1,,90000,,,,2,2,2,,2,73,4,73,425.432.250.133.766
2659424,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,326.426.421.218.215
2659424,1,2,1,95,1,,1,2,,,400000,2,2,,,,,,,,,,,,,73,4,73,326.426.421.218.215
2659424,1,3,1,95,2,,,,,,,,1,2,2,4800000,,,,,2,2,1,,2,73,4,73,326.426.421.218.215
2659425,1,1,1,95,2,,,,,,,,1,2,1,,100000,,,,2,2,2,,2,73,4,73,38.777.647.671.974
2659425,1,2,1,95,2,,,,,,,,1,2,2,,,,,200000,2,1,2,,2,73,4,73,38.777.647.671.974
2659425,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,38.777.647.671.974
2659425,1,5,1,95,2,,,,,,,,1,2,2,,,,,60000,2,1,2,,2,73,4,73,38.777.647.671.974
2659425,1,6,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,38.777.647.671.974
2659425,1,7,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,38.777.647.671.974
2659426,1,1,1,95,1,,1,2,,,100000,2,1,2,2,,,,,1800000,2,1,2,,2,73,4,73,212.716.125.066.883
2659427,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,172.476.581.295.972
2659427,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,172.476.581.295.972
2659427,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,172.476.581.295.972
2659427,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,172.476.581.295.972
2659427,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,172.476.581.295.972
2659429,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,15.595.027.403.685
2659429,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,15.595.027.403.685
2659430,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,525.020.342.189.696
2659430,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,4,73,525.020.342.189.696
